segmento,mean_branch_dispersal_velocity_km_yr
L,2489.14
L,2183.18
L,2062.42
L,2230.89
L,2222.38
L,2172.73
L,3303.72
L,3807.26
L,4148.28
L,1990.7
L,2161.98
L,3710.09
L,4240.07
L,2781.25
L,6433.38
L,4128.15
L,6869.59
L,2698.81
L,2142.34
L,3051.63
L,2317.18
L,2416.37
L,2396.99
L,2256.82
L,3466.07
L,2210.08
L,3514.32
L,2305.63
L,2308.34
L,3839.12
L,2533.14
L,3982.94
L,2222.38
L,3005.26
L,2223.01
L,6768.85
L,3906.54
L,1676.58
L,4741.81
L,2637.33
L,1990.7
L,1957.36
L,2348.27
L,1784.63
L,2577.93
L,2419.94
L,2497.16
L,1915.05
L,3245.76
L,2034.15
L,2682.0
L,8001.21
L,1877.85
L,2244.42
L,3324.8
L,2078.0
L,2654.53
L,2847.91
L,2355.76
L,4059.75
L,2268.04
L,2905.21
L,2588.54
L,2161.98
L,2797.74
L,6869.59
L,2479.99
L,2579.89
L,2674.0
L,3392.18
L,2567.33
L,2903.84
L,2623.03
L,2850.5
L,1813.33
L,2297.53
L,2885.01
L,2240.9
L,2601.61
L,5165.94
L,2577.46
L,2960.4
L,2260.26
L,16017.65
L,2171.48
L,2122.42
L,3407.92
L,1701.02
L,1973.83
L,2102.8
L,3381.72
L,2675.82
L,2848.37
L,1966.5
L,2644.0
L,3262.46
L,1958.4
L,2098.04
L,2002.82
L,5534.44
M,1560.74
M,1492.27
M,1550.12
M,4382.39
M,2081.31
M,1446.4
M,2216.05
M,1731.32
M,2827.75
M,1746.13
M,2585.66
M,2899.08
M,1792.52
M,2099.07
M,2090.95
M,2560.78
M,3374.9
M,4826.44
M,1642.19
M,1983.68
M,2514.67
M,4153.79
M,3263.82
M,5193.44
M,1952.78
M,2030.68
M,2273.4
M,1491.55
M,1854.43
M,1154.02
M,3296.6
M,1641.72
M,1761.65
M,2294.31
M,3359.46
M,2755.68
M,2539.91
M,1794.88
M,2115.95
M,1990.39
M,4621.63
M,2484.03
M,1785.78
M,1742.38
M,1394.15
M,2836.41
M,1745.09
M,4190.69
M,4701.59
M,2010.32
M,1840.28
M,1901.59
M,2457.81
M,1878.71
M,1754.5
M,1868.52
M,2300.42
M,1543.88
M,2206.09
M,1366.13
M,2135.95
M,2067.67
M,4245.62
M,1501.16
M,1815.81
M,2052.42
M,2612.55
M,1700.13
M,1781.42
M,2468.48
M,3195.1
M,2332.66
M,5811.57
M,1813.23
M,2169.72
M,1617.88
M,2198.91
M,1585.48
M,3569.43
M,3032.99
M,2755.94
M,1852.02
M,1845.24
M,2715.27
M,1995.68
M,1930.76
M,2571.99
M,3277.26
M,2409.84
M,2549.96
M,2154.03
M,1569.46
M,3473.49
M,2209.2
M,2415.3
M,3324.27
M,1983.21
M,1644.75
M,1342.68
M,1871.13
S,1113.82
S,2463.03
S,1592.2
S,1268.02
S,894.4
S,1339.61
S,1485.56
S,2034.58
S,762.23
S,11386.08
S,3112.7
S,1153.26
S,856.99
S,1538.01
S,1431.48
S,4152.54
S,944.63
S,1065.14
S,2217.71
S,980.51
S,1448.29
S,1520.97
S,770.68
S,1125.87
S,2108.35
S,1043.47
S,961.25
S,1858.31
S,3634.73
S,1738.4
S,1216.74
S,1365.16
S,1165.07
S,1888.69
S,4285.28
S,2176.73
S,1185.78
S,1528.37
S,1046.9
S,2609.8
S,1202.34
S,1682.17
S,1288.8
S,1022.43
S,1863.67
S,8774.6
S,1580.96
S,1260.14
S,927.59
S,868.73
S,1246.11
S,1228.13
S,1743.09
S,2650.54
S,1452.32
S,2009.59
S,1598.39
S,1779.55
S,1072.58
S,1761.48
S,2288.99
S,1061.51
S,967.39
S,9503.56
S,5754.4
S,4989.92
S,888.68
S,1051.51
S,2554.48
S,6013.66
S,1300.51
S,1703.13
S,1670.0
S,1751.09
S,1490.61
S,1488.59
S,952.93
S,2727.01
S,1712.31
S,1325.53
S,1411.53
S,3385.11
S,2085.35
S,1691.24
S,2948.42
S,1582.49
S,3789.45
S,5337.19
S,1166.07
S,4073.36
S,1711.62
S,4039.34
S,1456.82
S,1251.58
S,846.57
S,4456.78
S,1473.28
S,2023.36
S,944.89
S,1288.86
