estado,anio,casos
AM,2023,452
AC,2023,175
RR,2023,153
RO,2023,42
RJ,2023,2
PA,2023,2
SP,2023,1
RS,2023,1
PR,2023,1
MS,2023,1
ES,2023,1
AM,2024,3168
RO,2024,1663
BA,2024,896
ES,2024,433
AC,2024,280
RR,2024,278
CE,2024,213
MG,2024,201
SC,2024,181
PE,2024,133
RJ,2024,120
PA,2024,99
AP,2024,73
MA,2024,37
MT,2024,37
PI,2024,30
SE,2024,23
SP,2024,16
PR,2024,10
TO,2024,9
MS,2024,8
AL,2024,7
PB,2024,6
GO,2024,4
RN,2024,3
RS,2024,2
DF,2024,1
