anio,semana_epi,casos
2023,1,4
2023,2,5
2023,4,2
2023,5,5
2023,6,14
2023,7,14
2023,8,6
2023,9,11
2023,10,13
2023,11,14
2023,12,17
2023,13,15
2023,14,10
2023,15,5
2023,16,2
2023,17,2
2023,19,3
2023,20,3
2023,21,1
2023,26,1
2023,28,5
2023,29,6
2023,30,9
2023,31,12
2023,32,13
2023,33,25
2023,34,23
2023,35,6
2023,36,20
2023,37,4
2023,40,1
2023,41,3
2023,42,7
2023,43,4
2023,44,7
2023,45,3
2023,46,1
2023,47,21
2023,48,34
2023,49,45
2023,50,99
2023,51,144
2023,52,192
2024,1,286
2024,2,327
2024,3,444
2024,4,537
2024,5,524
2024,6,395
2024,7,354
2024,8,471
2024,9,436
2024,10,342
2024,11,370
2024,12,323
2024,13,180
2024,14,253
2024,15,259
2024,16,259
2024,17,191
2024,18,195
2024,19,202
2024,20,251
2024,21,260
2024,22,112
2024,23,155
2024,24,139
2024,25,97
2024,26,88
2024,27,102
2024,28,86
2024,29,82
2024,30,50
2024,31,48
2024,32,57
2024,33,41
2024,34,10
2024,35,5
