lon,lat,periodo
-56.7331,-2.632,pre_mid2023
-63.5806,-11.5057,pre_mid2023
-63.8972,-8.7635,pre_mid2023
-60.5821,1.5958,pre_mid2023
-65.8561,-3.4168,pre_mid2023
-70.0302,-4.376,pre_mid2023
-60.0217,-3.119,pre_mid2023
-59.1345,-3.5789,pre_mid2023
-70.812,-9.0238,pre_mid2023
-43.1729,-22.9068,pre_mid2023
-52.7028,-6.2071,pre_mid2023
-48.0,-2.0,pre_mid2023
-48.5,-1.46,pre_mid2023
-49.67,-3.77,pre_mid2023
-48.63,-1.51,pre_mid2023
-48.45,-1.44,pre_mid2023
-48.49,-1.46,pre_mid2023
-59.7,-2.7,pre_mid2023
-48.0,-3.0,pre_mid2023
-46.0,-24.0,pre_mid2023
-48.45,-1.47,pre_mid2023
-48.41,-1.42,pre_mid2023
-50.06,-6.06,pre_mid2023
-67.06,-10.08,pre_mid2023
-68.5,-10.65,pre_mid2023
-51.29,-0.12,pre_mid2023
-60.02,-3.12,pre_mid2023
-62.92,-0.98,pre_mid2023
-39.07,-16.44,pre_mid2023
-45.25,-5.5,pre_mid2023
-47.4,-6.34,pre_mid2023
-56.13,-15.65,pre_mid2023
-56.08,-13.82,pre_mid2023
-56.1,-15.6,pre_mid2023
-48.88,-1.72,pre_mid2023
-52.21,-3.2,pre_mid2023
-54.95,-2.5,pre_mid2023
-48.37,-1.36,pre_mid2023
-46.64,-1.02,pre_mid2023
-49.68,-2.68,pre_mid2023
-48.47,-1.44,pre_mid2023
-54.93,-2.64,pre_mid2023
-48.3,-1.3,pre_mid2023
-46.78,-1.06,pre_mid2023
-52.54,-3.31,pre_mid2023
-47.18,-1.21,pre_mid2023
-48.15,-1.37,pre_mid2023
-46.72,-0.99,pre_mid2023
-47.92,-1.3,pre_mid2023
-47.86,-0.73,pre_mid2023
-47.62,-1.14,pre_mid2023
-49.33,-5.13,pre_mid2023
-47.6,-0.8,pre_mid2023
-47.45,-0.77,pre_mid2023
-54.64,-2.68,pre_mid2023
-55.42,-7.04,pre_mid2023
-55.86,-1.76,pre_mid2023
-56.23,-4.62,pre_mid2023
-49.9,-6.07,pre_mid2023
-52.23,-1.75,pre_mid2023
-48.04,-2.41,pre_mid2023
-48.16,-1.3,pre_mid2023
-54.7,-2.45,pre_mid2023
-49.67,-5.93,pre_mid2023
-48.15,-2.42,pre_mid2023
-56.02,-5.18,pre_mid2023
-49.68,-3.77,pre_mid2023
-48.14,-0.86,pre_mid2023
-46.14,-1.2,pre_mid2023
-52.01,-2.89,pre_mid2023
-63.03,-9.91,pre_mid2023
-62.26,-10.72,pre_mid2023
-47.88,-12.62,pre_mid2023
-47.42,-6.33,pre_mid2023
-61.3072,2.9886,pre_mid2023
-60.4383,0.9478,pre_mid2023
-59.9139,0.9511,pre_mid2023
-60.6056,2.6097,pre_mid2023
-60.5444,-13.1267,pre_mid2023
-64.2281,-12.4342,pre_mid2023
-63.2928,-10.3147,pre_mid2023
-60.9483,-12.9978,pre_mid2023
-63.5675,-12.0528,pre_mid2023
-64.7944,-7.2589,pre_mid2023
-61.3025,-5.8122,pre_mid2023
-67.81,-9.9747,pre_mid2023
-67.5569,-9.5833,pre_mid2023
-66.8839,-9.8239,pre_mid2023
-64.7242,-3.3683,pre_mid2023
-68.5038,-10.6528,pre_2024
-70.812,-9.0238,pre_2024
-68.6546,-9.0685,pre_2024
-56.7331,-2.632,pre_2024
-57.7205,-3.3941,pre_2024
-63.0299,-7.517,pre_2024
-67.6777,-10.5759,pre_2024
-65.3409,-10.7871,pre_2024
-70.7652,-8.1609,pre_2024
-63.5806,-11.5057,pre_2024
-54.8125,-22.2236,pre_2024
-52.7028,-6.2071,pre_2024
-46.6396,-23.5558,pre_2024
-65.8561,-3.4168,pre_2024
-63.8972,-8.7635,pre_2024
-60.5821,1.5958,pre_2024
-69.5672,-10.9395,pre_2024
-60.6738,2.8206,pre_2024
-67.1868,-10.3309,pre_2024
-70.0302,-4.376,pre_2024
-60.0236,-2.0533,pre_2024
-67.8098,-9.974,pre_2024
-63.1484,-4.0913,pre_2024
-58.4385,-3.135,pre_2024
-67.9511,-9.8276,pre_2024
-67.5411,-9.5936,pre_2024
