model,x_m,y_m
Born_et_al,809761.0,-2021332.4
Born_et_al,802793.8,-2023064.3
Born_et_al,795683.8,-2024502.3
Born_et_al,788476.8,-2025595.6
Born_et_al,781218.8,-2026293.2
Born_et_al,773955.9,-2026544.0
Born_et_al,766733.9,-2026297.2
Born_et_al,759598.8,-2025501.7
Born_et_al,752596.7,-2024106.6
Born_et_al,745773.5,-2022060.9
Born_et_al,745773.5,-2022060.9
Born_et_al,737262.7,-2019660.8
Born_et_al,729636.3,-2018707.7
Born_et_al,722798.4,-2019101.8
Born_et_al,716653.0,-2020743.1
Born_et_al,711104.2,-2023531.6
Born_et_al,706056.1,-2027367.5
Born_et_al,701412.8,-2032150.7
Born_et_al,697078.2,-2037781.4
Born_et_al,692956.4,-2044159.6
Born_et_al,692956.4,-2044159.6
Born_et_al,689620.8,-2046844.7
Born_et_al,686804.9,-2048290.6
Born_et_al,684488.6,-2048661.2
Born_et_al,682652.0,-2048120.4
Born_et_al,681275.1,-2046832.1
Born_et_al,680337.9,-2044960.1
Born_et_al,679820.4,-2042668.4
Born_et_al,679702.7,-2040120.9
Born_et_al,679964.7,-2037481.4
Born_et_al,679964.7,-2037481.4
Born_et_al,680560.9,-2035123.3
Born_et_al,681497.0,-2032818.1
Born_et_al,682707.8,-2030555.9
Born_et_al,684128.5,-2028326.7
Born_et_al,685694.1,-2026120.4
Born_et_al,687339.7,-2023927.2
Born_et_al,689000.3,-2021736.9
Born_et_al,690610.8,-2019539.7
Born_et_al,692106.5,-2017325.5
Born_et_al,692106.5,-2017325.5
Born_et_al,696519.2,-2013510.1
Born_et_al,699904.6,-2009584.8
Born_et_al,702296.7,-2005538.6
Born_et_al,703729.4,-2001360.5
Born_et_al,704236.7,-1997039.4
Born_et_al,703852.6,-1992564.5
Born_et_al,702611.1,-1987924.6
Born_et_al,700546.2,-1983108.9
Born_et_al,697691.8,-1978106.3
Born_et_al,697691.8,-1978106.3
Born_et_al,694436.1,-1972436.7
Born_et_al,691928.0,-1966765.0
Born_et_al,690249.3,-1961098.3
Born_et_al,689481.9,-1955443.7
Born_et_al,689707.9,-1949808.0
Born_et_al,691009.2,-1944198.3
Born_et_al,693467.8,-1938621.5
Born_et_al,697165.4,-1933084.8
Born_et_al,702184.2,-1927595.0
Born_et_al,702184.2,-1927595.0
Born_et_al,705562.3,-1932417.2
Born_et_al,708900.4,-1937175.5
Born_et_al,712203.5,-1941877.8
Born_et_al,715476.6,-1946532.1
Born_et_al,718724.8,-1951146.4
Born_et_al,721953.0,-1955728.8
Born_et_al,725166.1,-1960287.2
Born_et_al,728369.3,-1964829.6
Born_et_al,731567.5,-1969364.0
Born_et_al,731567.5,-1969364.0
Born_et_al,732233.1,-1968779.5
Born_et_al,732853.6,-1968160.1
Born_et_al,733429.3,-1967506.7
Born_et_al,733959.9,-1966820.3
Born_et_al,734445.6,-1966101.9
Born_et_al,734886.3,-1965352.6
Born_et_al,735282.0,-1964573.2
Born_et_al,735632.8,-1963764.9
Born_et_al,735938.6,-1962928.6
Born_et_al,735938.6,-1962928.6
Born_et_al,736075.3,-1958858.4
Born_et_al,735656.4,-1954966.1
Born_et_al,734773.8,-1951222.7
Born_et_al,733519.5,-1947599.2
Born_et_al,731985.4,-1944066.7
Born_et_al,730263.4,-1940596.1
Born_et_al,728445.4,-1937158.5
Born_et_al,726623.5,-1933724.9
Born_et_al,724889.5,-1930266.3
Born_et_al,724889.5,-1930266.3
Born_et_al,721977.8,-1925115.6
Born_et_al,718675.3,-1920891.3
Born_et_al,714996.1,-1917557.5
Born_et_al,710954.2,-1915078.1
Born_et_al,706563.5,-1913417.2
Born_et_al,701838.0,-1912538.7
Born_et_al,696791.7,-1912406.8
Born_et_al,691438.6,-1912985.4
Born_et_al,685792.7,-1914238.6
Born_et_al,685792.7,-1914238.6
Born_et_al,685757.9,-1913307.6
Born_et_al,685658.2,-1912375.5
Born_et_al,685500.4,-1911441.4
Born_et_al,685291.7,-1910504.4
Born_et_al,685039.1,-1909563.3
Born_et_al,684749.4,-1908617.3
Born_et_al,684429.8,-1907665.2
Born_et_al,684087.2,-1906706.2
Born_et_al,683728.6,-1905739.1
Born_et_al,683728.6,-1905739.1
Born_et_al,684058.1,-1904853.7
Born_et_al,684403.5,-1903980.3
Born_et_al,684771.9,-1903121.8
Born_et_al,685170.3,-1902281.4
Born_et_al,685605.7,-1901461.9
Born_et_al,686085.0,-1900666.4
Born_et_al,686615.4,-1899897.9
Born_et_al,687203.6,-1899159.4
Born_et_al,687856.9,-1898453.8
Born_et_al,687856.9,-1898453.8
Born_et_al,690014.9,-1895992.9
Born_et_al,692286.9,-1893589.0
Born_et_al,694561.9,-1891182.0
Born_et_al,696728.9,-1888712.1
Born_et_al,698677.1,-1886119.3
Born_et_al,700295.5,-1883343.6
Born_et_al,701473.2,-1880325.1
Born_et_al,702099.3,-1877003.7
Born_et_al,702062.8,-1873319.6
Born_et_al,702062.8,-1873319.6
Born_et_al,701487.2,-1871347.2
Born_et_al,700749.7,-1869466.8
Born_et_al,699877.3,-1867662.3
Born_et_al,698896.9,-1865917.7
Born_et_al,697835.7,-1864217.2
Born_et_al,696720.4,-1862544.6
Born_et_al,695578.2,-1860884.0
Born_et_al,694435.9,-1859219.4
Born_et_al,693320.7,-1857534.8
Born_et_al,693320.7,-1857534.8
