x_m,y_m
296632.2,-1184592.0
308948.9,-1201713.1
413037.8,-1114817.1
-138063.3,-1153874.0
-122406.9,-1189382.3
-193799.8,-1108115.5
349017.9,-1184758.5
-124086.9,-1136560.0
221504.6,-1345759.2
221468.8,-1354091.8
-123636.8,-1197937.3
-121673.4,-1205456.9
-128571.0,-1134201.9
182340.5,-1205355.8
273298.6,-1570038.0
311115.5,-1553747.5
237604.3,-1672511.2
-63787.9,-1802672.5
226630.8,-1408988.5
-123992.0,-1186319.2
-151455.3,-1202535.1
226985.8,-1418902.7
248401.4,-1301725.7
314766.3,-1561174.5
313679.4,-1572496.3
310325.9,-1607038.1
270016.4,-1564497.3
302561.2,-1309604.6
264943.4,-1303277.2
245541.5,-1311132.1
193672.3,-1382176.2
191847.5,-1374498.8
215245.2,-1364964.4
-257620.6,-1048311.7
296632.2,-1184592.0
308948.9,-1201713.1
-113564.1,-1227264.8
-157646.6,-1152677.0
-138082.5,-1153880.8
-122406.3,-1189384.5
-193806.2,-1108117.7
252533.0,-1665550.6
429273.0,-1553204.0
522337.2,-1546663.1
454203.2,-1577444.7
-194828.4,-1096188.8
267500.8,-1673020.9
252611.8,-1665513.0
252558.9,-1665486.3
212753.6,-1554501.7
69163.2,-1382163.7
