x_m,y_m
-91545.5,-1814523.4
-91805.0,-1814634.3
-92078.2,-1814750.9
-92351.4,-1814867.5
-92624.5,-1814984.4
-92897.5,-1815101.6
-93170.3,-1815219.2
-93443.0,-1815337.0
-93715.7,-1815454.8
-93988.4,-1815572.6
-94261.2,-1815690.2
-119352.2,-1826417.3
-119625.6,-1826533.6
-119899.4,-1826649.1
-120159.9,-1826757.9
-120434.4,-1826871.6
-120709.3,-1826984.4
-120984.5,-1827096.4
283607.6,-1287487.2
283880.5,-1287377.5
284154.5,-1287270.4
284429.1,-1287165.0
284703.7,-1287059.7
284977.6,-1286952.6
285250.6,-1286843.1
285522.8,-1286731.8
285794.6,-1286619.3
286052.3,-1286511.5
286323.4,-1286397.4
286594.4,-1286283.3
286866.0,-1286170.4
287138.1,-1286058.9
287410.7,-1285948.7
287684.2,-1285840.5
287958.5,-1285734.6
288233.3,-1285629.8
288507.8,-1285524.4
288768.0,-1285422.6
289040.9,-1285313.0
289312.7,-1285200.7
289583.5,-1285085.8
289853.7,-1284969.6
290124.1,-1284854.0
290395.5,-1284740.5
290667.8,-1284629.5
290941.3,-1284521.1
291215.5,-1284414.7
291490.1,-1284309.6
291751.1,-1284209.6
292025.0,-1284102.5
292297.9,-1283992.8
292570.0,-1283881.2
350713.7,-1165488.4
350686.9,-1165780.9
350660.0,-1166073.3
350632.4,-1166365.7
350604.3,-1166658.0
350576.2,-1166950.4
350548.5,-1167242.7
350522.4,-1167520.5
350495.0,-1167812.9
350468.0,-1168105.3
350441.0,-1168397.8
350414.4,-1168690.2
350388.3,-1168982.8
350362.4,-1169275.3
350336.9,-1169567.9
350311.7,-1169860.5
350286.6,-1170153.1
350261.8,-1170445.7
350238.3,-1170723.7
350213.8,-1171016.4
350189.4,-1171309.1
350164.7,-1171601.7
350138.9,-1171894.3
350114.7,-1172187.0
350093.3,-1172479.9
350072.8,-1172772.9
350051.7,-1173065.8
350030.5,-1173358.8
350010.4,-1173637.1
349989.0,-1173930.0
349967.4,-1174222.9
349945.7,-1174515.8
349924.0,-1174808.7
349902.1,-1175101.6
349880.0,-1175394.5
349857.4,-1175687.3
349834.3,-1175980.1
349811.1,-1176272.9
349787.4,-1176565.7
349764.4,-1176843.8
349739.9,-1177136.5
349714.5,-1177429.1
235526.8,-1656966.5
235777.2,-1657094.6
236040.9,-1657229.2
236304.6,-1657363.7
236581.7,-1657504.8
236845.6,-1657638.8
237109.7,-1657772.8
237373.7,-1657906.8
237637.9,-1658040.6
237902.2,-1658174.0
238153.6,-1658300.1
238418.4,-1658432.8
416601.8,-1144985.5
416482.0,-1144717.3
416362.2,-1144449.2
416248.1,-1144194.6
416128.0,-1143926.6
416007.8,-1143658.6
415887.6,-1143390.7
415767.4,-1143122.8
415647.3,-1142854.9
415527.4,-1142586.9
415407.6,-1142318.9
415216.0,-1141890.0
415096.2,-1141621.9
414975.6,-1141354.1
414854.1,-1141086.8
414737.5,-1140833.4
418285.1,-1148720.8
418165.0,-1148452.8
418044.4,-1148185.0
417923.5,-1147917.3
417808.2,-1147663.3
414465.8,-1140247.2
414342.5,-1139980.7
414219.7,-1139713.9
414097.8,-1139446.7
417443.7,-1146861.1
417322.8,-1146593.4
417202.2,-1146325.6
417082.0,-1146057.6
416961.9,-1145789.6
416841.7,-1145521.6
416721.7,-1145253.6
416601.8,-1144985.5
413072.3,-1137154.9
412953.0,-1136886.6
412833.5,-1136618.3
412713.8,-1136350.2
412593.8,-1136082.2
412473.6,-1135814.3
412353.0,-1135546.5
412232.4,-1135278.8
412111.6,-1135011.1
411990.9,-1134743.4
406524.0,-1122585.9
406403.8,-1122318.1
406283.7,-1122050.2
406163.8,-1121782.2
406044.1,-1121514.2
405924.4,-1121246.2
405804.7,-1120978.1
405684.9,-1120710.1
405565.1,-1120442.1
405451.0,-1120187.7
405330.7,-1119919.9
405210.3,-1119652.2
404860.1,-1118876.2
404739.3,-1118608.7
404618.2,-1118341.3
404496.9,-1118074.0
404375.5,-1117806.7
404254.3,-1117539.3
404133.4,-1117271.8
404013.1,-1117004.0
403899.2,-1116749.5
403779.5,-1116481.4
403659.9,-1116213.3
403540.3,-1115945.2
403420.7,-1115677.2
403300.9,-1115409.2
403181.0,-1115141.2
403061.0,-1114873.3
-98926.9,-1631431.4
-99198.6,-1631548.6
-99471.8,-1631662.0
-99746.6,-1631771.5
-100022.6,-1631878.3
-100299.2,-1631983.2
-100576.0,-1632087.6
-100852.7,-1632192.4
-101128.7,-1632298.9
-101403.7,-1632408.1
-101677.6,-1632520.1
-101950.1,-1632635.2
-102221.6,-1632752.9
-102492.1,-1632872.7
-102762.1,-1632993.7
-103032.0,-1633115.0
-103302.2,-1633235.4
-103573.4,-1633353.7
-103845.9,-1633468.8
-104120.1,-1633580.0
-104395.8,-1633687.6
-104672.1,-1633793.4
-104948.7,-1633898.3
-105225.3,-1634003.3
-105501.5,-1634109.4
-105777.0,-1634217.5
-106051.5,-1634327.9
-106324.8,-1634441.1
-106597.0,-1634557.1
-106868.1,-1634675.6
-107138.3,-1634796.2
-107407.9,-1634918.0
-107677.6,-1635039.8
-107947.9,-1635160.1
-108219.3,-1635277.7
-108492.4,-1635391.7
-118127.4,-1639338.2
-118404.6,-1639442.0
-118680.6,-1639548.5
-118955.3,-1639658.7
-119241.8,-1639778.9
-119512.8,-1639897.7
-119782.3,-1640019.9
-120051.0,-1640144.0
-120319.6,-1640268.2
-120602.5,-1640396.8
-120873.5,-1640515.6
-121146.9,-1640628.9
-121422.6,-1640736.4
-121714.0,-1640844.3
-121992.2,-1640945.0
248514.4,-1309923.4
248243.3,-1310037.8
247972.1,-1310151.8
247700.4,-1310264.6
247428.1,-1310375.9
247168.8,-1310480.3
246895.3,-1310588.6
246621.3,-1310695.6
246347.3,-1310802.8
246074.0,-1310911.7
245801.3,-1311022.1
245528.9,-1311133.3
245256.7,-1311244.8
244984.6,-1311356.7
244712.6,-1311468.8
244454.1,-1311575.1
244181.7,-1311686.2
243909.0,-1311796.6
243636.3,-1311906.8
243363.1,-1312016.1
243089.3,-1312123.8
242815.5,-1312231.3
242542.0,-1312339.8
242269.2,-1312449.9
242010.5,-1312555.7
241738.6,-1312668.1
241467.2,-1312781.6
241196.0,-1312895.7
240924.2,-1313008.2
240651.2,-1313117.8
-163835.6,-1089962.3
-163980.2,-1089593.9
-164124.5,-1089225.4
-164274.1,-1088843.3
-164418.7,-1088475.0
-164563.8,-1088106.8
-164709.2,-1087738.8
-164860.4,-1087357.3
-165006.4,-1086989.5
-165152.6,-1086621.8
-165299.0,-1086254.2
-165451.4,-1085873.1
-165599.0,-1085505.9
-155364.7,-1111487.6
-155514.8,-1111105.5
-155659.3,-1110737.0
-155803.7,-1110368.4
-155948.0,-1109999.8
-156097.1,-1109617.4
-156240.4,-1109248.4
-156383.8,-1108879.5
-156527.7,-1108510.7
-156677.9,-1108128.7
-156823.8,-1107760.7
-156970.4,-1107393.0
-157117.0,-1107025.3
-157268.6,-1106643.8
-157414.0,-1106275.7
-157558.7,-1105907.2
-157703.1,-1105538.7
-157852.8,-1105156.4
-157997.1,-1104787.9
-158141.5,-1104419.3
-158285.7,-1104050.7
-158435.2,-1103668.4
-158579.3,-1103299.7
-158723.4,-1102931.0
-158867.5,-1102562.4
-159011.7,-1102193.8
-159161.5,-1101811.6
-159306.2,-1101443.2
-159451.3,-1101074.9
-159596.5,-1100706.8
-159746.8,-1100324.9
-159891.6,-1099956.5
-160036.5,-1099588.3
-160181.8,-1099220.1
-160332.9,-1098838.6
-160479.1,-1098470.8
-160625.4,-1098103.1
-160771.7,-1097735.3
-160923.3,-1097353.9
-161069.3,-1096986.1
-161215.1,-1096618.2
-161360.7,-1096250.1
-161511.5,-1095868.4
-161656.6,-1095500.2
-161801.6,-1095132.0
-161946.5,-1094763.7
-162096.7,-1094381.7
-162241.8,-1094013.5
-162387.1,-1093645.3
-162532.4,-1093277.2
-162683.0,-1092895.4
-162827.9,-1092527.1
-162972.5,-1092158.7
294043.9,-1381587.2
294075.1,-1381294.2
294107.0,-1381001.4
294141.6,-1380708.8
294179.9,-1380416.7
294220.7,-1380125.0
294261.9,-1379833.3
294301.5,-1379541.3
294337.8,-1379249.0
294368.8,-1378970.9
294398.1,-1378677.8
294426.1,-1378384.5
294455.3,-1378091.4
294487.6,-1377798.6
294523.5,-1377506.2
294561.8,-1377214.1
294601.5,-1376922.2
294641.9,-1376630.4
294681.0,-1376338.4
294715.3,-1376060.7
294748.7,-1375768.0
294780.8,-1375475.2
294812.2,-1375182.3
-93289.3,-1219777.3
-93013.8,-1219675.9
-92738.3,-1219574.2
-92462.7,-1219472.6
-92187.3,-1219370.8
-91912.0,-1219268.8
-91636.7,-1219166.7
-91361.5,-1219064.7
-91100.0,-1218967.8
-90824.8,-1218865.7
-90549.3,-1218764.2
-90273.7,-1218663.2
-89997.9,-1218562.4
-89722.1,-1218461.4
-89446.4,-1218360.4
-89170.6,-1218259.5
-88894.9,-1218158.4
-88619.2,-1218057.2
-88343.8,-1217955.4
-115660.2,-1228035.2
-115384.3,-1227934.3
-115108.5,-1227833.5
-114832.7,-1227732.6
-114556.9,-1227631.6
-114281.2,-1227530.4
-114019.2,-1227434.3
-113743.4,-1227333.2
-113467.7,-1227232.1
-113192.0,-1227130.8
-112916.4,-1227029.2
-112641.0,-1226927.3
-112365.6,-1226825.1
-112090.3,-1226722.9
-111815.1,-1226620.4
-111539.9,-1226517.8
-111264.6,-1226415.6
-111002.8,-1226318.9
-110727.4,-1226217.1
-110451.8,-1226115.5
368738.6,-1180463.0
368478.2,-1180563.4
368204.4,-1180669.6
367930.9,-1180776.7
367671.5,-1180879.4
367398.8,-1180988.7
367140.2,-1181093.6
366868.2,-1181204.6
366596.5,-1181316.1
366338.4,-1181422.3
366066.6,-1181533.8
365808.0,-1181638.6
365535.1,-1181747.4
365262.1,-1181855.8
365002.3,-1181957.7
364728.4,-1182063.8
364468.0,-1182164.0
364193.8,-1182269.3
363933.3,-1182369.4
363659.4,-1182475.5
363385.8,-1182582.4
363126.1,-1182684.4
362853.1,-1182793.1
362594.4,-1182897.7
362322.4,-1183008.4
362050.5,-1183119.9
372109.0,-1179121.7
371836.6,-1179231.7
371578.0,-1179336.7
371306.1,-1179447.9
371047.8,-1179553.4
370775.5,-1179663.8
370517.0,-1179768.8
370244.4,-1179878.3
369971.3,-1179986.3
369711.3,-1180087.6
369437.4,-1180193.6
369177.1,-1180294.0
368903.0,-1180399.6
368629.0,-1180505.3
368368.7,-1180605.8
-182171.2,-1093633.9
-182311.2,-1093279.5
