t_gpx_s,log,fase,voltaje_v,corriente_a,potencia_w,rapidez_odometria_mps,temp_motor_max_c,temp_cuerpo_c
2218.46,1,carrera,64.59,3.882,250.74,2.543,52,38
2219.46,1,carrera,65.08,3.008,195.76,2.546,52,37
2220.46,1,carrera,64.39,3.83,246.61,2.74,52,38
2221.46,1,carrera,65.08,3.556,231.42,2.603,52,36
2222.46,1,carrera,65.83,3.326,218.95,2.511,52,37
2223.46,1,carrera,65.01,3.849,250.22,2.667,52,37
2224.46,1,carrera,64.36,6.806,438.03,2.683,52,37
2225.46,1,carrera,65.08,3.997,260.12,2.53,52,38
2226.46,1,carrera,65.11,1.726,112.38,2.626,52,37
2227.46,1,carrera,64.75,4.307,278.88,2.723,52,37
2228.46,1,carrera,64.62,5.611,362.58,2.596,52,37
2229.46,1,carrera,64.65,2.525,163.24,2.526,52,37
2230.46,1,carrera,65.34,5.138,335.72,2.653,52,38
2231.46,1,carrera,64.78,7.351,476.2,2.642,52,38
2232.46,1,carrera,64.69,4.244,274.54,2.597,52,38
2233.46,1,carrera,65.44,3.562,233.1,2.558,52,38
2234.46,1,carrera,64.91,4.768,309.49,2.694,52,37
2235.46,1,carrera,63.35,5.058,320.42,2.573,52,37
2236.46,1,carrera,64.69,2.508,162.24,2.56,52,37
2237.46,1,carrera,65.21,4.769,310.99,2.632,52,37
2238.46,1,carrera,63.81,6.765,431.67,2.667,52,38
2239.47,1,carrera,63.97,3.413,218.33,2.549,52,38
2240.47,1,carrera,64.88,3.199,207.55,2.606,52,37
2241.47,1,carrera,65.37,7.539,492.82,2.716,52,37
2242.47,1,carrera,64.85,4.47,289.88,2.534,52,37
2243.47,1,carrera,65.79,2.406,158.29,2.59,52,38
2244.47,1,carrera,64.78,3.709,240.27,2.731,52,36
2245.47,1,carrera,64.3,7.872,506.17,2.635,52,37
2246.47,1,carrera,63.94,4.213,269.38,2.573,52,37
2247.47,1,carrera,65.17,5.661,368.93,2.68,52,38
2248.47,1,carrera,64.95,8.247,535.64,2.718,52,38
2249.47,1,carrera,63.39,3.792,240.37,2.567,52,38
2250.47,1,carrera,65.17,2.498,162.79,2.537,52,38
2251.47,1,carrera,65.01,5.466,355.34,2.741,52,38
2252.47,1,carrera,64.33,4.673,300.61,2.579,52,38
2253.47,1,carrera,65.11,4.122,268.38,2.548,52,38
2254.47,1,carrera,63.97,4.281,273.86,2.697,52,37
2255.47,1,carrera,65.27,7.655,499.64,2.642,52,37
2256.47,1,carrera,64.88,3.05,197.88,2.523,52,38
2257.47,1,carrera,64.98,6.285,408.4,2.631,52,36
2258.47,1,carrera,63.61,5.731,364.55,2.634,52,38
2259.47,1,carrera,64.56,3.163,204.2,2.558,52,36
2260.47,1,carrera,65.3,4.22,275.57,2.68,52,37
2261.47,1,carrera,64.69,8.395,543.07,2.717,52,37
2262.47,1,carrera,65.11,4.423,287.98,2.571,52,38
2263.47,1,carrera,65.17,4.233,275.86,2.615,53,38
2264.47,1,carrera,64.88,5.821,377.67,2.761,52,38
2265.47,1,carrera,64.82,3.486,225.96,2.58,52,38
2266.47,1,carrera,65.79,3.631,238.88,2.591,52,37
2267.47,1,carrera,64.85,5.814,377.04,2.744,53,38
2268.47,1,carrera,64.33,4.023,258.8,2.585,53,38
2269.47,1,carrera,64.69,4.236,274.03,2.605,53,38
2270.47,1,carrera,64.65,4.116,266.1,2.78,53,39
2271.47,1,carrera,64.52,4.233,273.11,2.599,53,38
2272.47,1,carrera,64.65,3.407,220.26,2.587,52,37
2273.47,1,carrera,64.39,4.022,258.98,2.725,53,37
2274.47,1,carrera,65.27,7.069,461.39,2.641,52,38
2275.47,1,carrera,64.82,3.594,232.96,2.597,52,37
2276.47,1,carrera,65.63,4.899,321.52,2.734,53,38
2277.47,1,carrera,65.27,8.609,561.91,2.685,53,37
2278.47,1,carrera,64.91,3.436,223.03,2.56,53,38
2279.47,1,carrera,66.31,4.562,302.51,2.668,53,39
2280.47,1,carrera,64.59,5.573,359.96,2.756,53,39
2281.47,1,carrera,65.79,6.11,401.98,2.619,53,39
2282.47,1,carrera,64.56,2.923,188.71,2.597,53,37
2283.47,1,carrera,64.56,4.279,276.25,2.765,53,38
2284.47,1,carrera,64.72,5.051,326.9,2.701,53,37
2285.47,1,carrera,65.3,3.859,251.99,2.559,53,38
2286.47,1,carrera,65.21,4.341,283.08,2.614,53,39
2287.47,1,carrera,64.56,5.87,378.97,2.724,53,38
2288.47,1,carrera,65.3,4.222,275.7,2.574,53,38
2289.47,1,carrera,65.3,4.707,307.37,2.606,53,39
2290.47,1,carrera,65.57,4.749,311.39,2.763,53,39
2291.47,1,carrera,64.75,3.579,231.74,2.57,53,38
2292.47,1,carrera,65.79,2.601,171.12,2.566,53,37
2293.47,1,carrera,65.3,5.759,376.06,2.763,53,37
2294.47,1,carrera,64.2,6.325,406.07,2.592,53,37
2295.47,1,carrera,65.47,3.041,199.09,2.549,53,37
2296.47,1,carrera,65.44,3.808,249.2,2.747,52,38
2297.47,1,carrera,65.73,4.756,312.61,2.578,53,37
2298.47,1,carrera,64.85,2.695,174.77,2.6,53,38
2299.47,1,carrera,64.46,5.029,324.17,2.654,53,37
2300.47,1,carrera,64.98,6.808,442.38,2.642,53,37
2301.47,1,carrera,64.0,3.414,218.5,2.554,53,37
2302.47,1,carrera,64.33,5.268,338.89,2.723,53,38
2303.47,1,carrera,65.3,6.709,438.1,2.746,53,37
2304.47,1,carrera,64.39,3.538,227.81,2.605,53,37
2305.47,1,carrera,65.79,3.045,200.33,2.583,53,37
2306.47,1,carrera,65.11,3.923,255.43,2.757,53,38
2307.47,1,carrera,65.11,6.509,423.8,2.596,53,38
2308.47,1,carrera,64.59,3.512,226.84,2.569,53,37
2309.47,1,carrera,64.2,6.223,399.52,2.652,53,36
2310.47,1,carrera,64.43,5.248,338.13,2.737,53,37
2311.47,1,carrera,64.33,3.218,207.01,2.569,53,37
2312.47,1,carrera,65.27,4.731,308.79,2.542,52,37
2313.47,1,carrera,64.46,5.797,373.67,2.75,53,37
2314.47,1,carrera,64.52,7.335,473.25,2.778,53,38
2315.47,1,carrera,63.45,1.757,111.48,2.582,53,37
2316.47,1,carrera,65.27,2.484,162.13,2.622,53,37
2317.47,1,carrera,64.52,5.986,386.22,2.697,53,37
2318.47,1,carrera,64.3,7.417,476.91,2.717,53,36
2319.47,1,carrera,64.65,2.298,148.57,2.6,53,37
2320.47,1,carrera,65.76,2.809,184.72,2.593,53,39
2321.47,1,carrera,64.39,4.465,287.5,2.705,53,39
2322.47,1,carrera,64.88,3.388,219.81,2.577,53,37
2323.47,1,carrera,65.37,2.656,173.62,2.599,53,37
2324.47,1,carrera,64.85,4.646,301.29,2.698,53,37
2325.47,1,carrera,64.95,7.639,496.15,2.692,53,38
2326.47,1,carrera,64.75,4.166,269.75,2.568,52,38
2327.48,1,carrera,65.4,4.476,292.73,2.64,53,38
2328.48,1,carrera,64.91,4.341,281.77,2.783,52,38
2329.48,1,carrera,64.88,2.974,192.95,2.57,52,36
2330.48,1,carrera,65.08,2.4,156.19,2.608,53,39
2331.48,1,carrera,65.08,4.451,289.67,2.744,53,38
2332.48,1,carrera,64.82,8.802,570.55,2.696,53,36
2333.48,1,carrera,65.21,3.552,231.63,2.554,53,37
2334.48,1,carrera,64.52,4.008,258.6,2.656,53,38
2335.48,1,carrera,65.6,6.511,427.12,2.723,53,38
2336.48,1,carrera,64.82,5.958,386.2,2.609,53,37
2337.48,1,carrera,65.37,3.248,212.32,2.61,53,38
2338.48,1,carrera,64.95,4.319,280.52,2.717,53,37
2339.48,1,carrera,63.39,4.17,264.34,2.651,53,38
2340.48,1,carrera,65.04,3.154,205.14,2.549,53,37
2341.48,1,carrera,65.08,4.922,320.32,2.712,53,36
2342.48,1,carrera,64.72,7.005,453.36,2.646,53,36
2343.48,1,carrera,64.04,4.589,293.88,2.597,53,37
2344.48,1,carrera,64.85,4.426,287.03,2.676,53,38
2345.48,1,carrera,65.3,6.591,430.39,2.762,53,37
2346.48,1,carrera,64.17,5.412,347.29,2.61,53,37
2347.48,1,carrera,65.89,3.636,239.58,2.611,53,38
2348.48,1,carrera,64.56,3.956,255.4,2.745,52,39
2349.48,1,carrera,65.04,7.878,512.39,2.615,53,38
2350.48,1,carrera,64.56,3.553,229.38,2.542,53,38
2351.48,1,carrera,65.08,3.361,218.73,2.652,53,39
2352.48,1,carrera,65.04,7.289,474.08,2.723,53,38
2353.48,1,carrera,64.2,4.193,269.19,2.613,53,36
2354.48,1,carrera,65.34,3.858,252.08,2.614,53,38
2355.48,1,carrera,65.57,5.548,363.78,2.715,53,38
2356.48,1,carrera,64.98,8.281,538.1,2.661,53,37
2357.48,1,carrera,63.03,2.867,180.71,2.543,53,38
2358.48,1,carrera,64.95,3.337,216.74,2.639,53,39
2359.48,1,carrera,64.75,4.163,269.55,2.797,53,38
2360.48,1,carrera,65.14,5.344,348.11,2.564,53,36
2361.48,1,carrera,64.1,3.432,219.99,2.576,53,39
2362.48,1,carrera,63.94,5.498,351.54,2.708,53,37
2363.48,1,carrera,64.98,6.921,449.73,2.61,53,38
2364.48,1,carrera,64.69,3.027,195.82,2.567,53,38
2365.48,1,carrera,64.69,4.827,312.26,2.651,53,38
2366.48,1,carrera,65.53,6.507,426.4,2.746,53,37
2367.48,1,carrera,63.55,3.492,221.92,2.606,53,37
2368.48,1,carrera,64.52,3.386,218.46,2.581,53,37
2369.48,1,carrera,65.21,5.853,381.67,2.685,53,39
2370.48,1,carrera,63.29,5.208,329.61,2.676,53,38
2371.48,1,carrera,64.13,2.729,175.01,2.564,53,37
2372.48,1,carrera,64.95,3.809,247.39,2.648,53,38
2373.48,1,carrera,65.3,4.659,304.23,2.697,53,37
2374.48,1,carrera,64.13,4.387,281.34,2.561,53,39
2375.48,1,carrera,65.47,2.741,179.45,2.549,53,37
2376.48,1,carrera,64.07,4.249,272.23,2.717,53,37
2377.48,1,carrera,64.88,5.003,324.59,2.586,53,38
2378.48,1,carrera,65.11,2.443,159.06,2.551,53,37
2379.48,1,carrera,65.24,3.305,215.62,2.652,53,38
2380.48,1,carrera,64.98,7.346,477.34,2.723,53,38
2381.48,1,carrera,64.65,5.002,323.38,2.542,53,36
2382.48,1,carrera,65.53,3.066,200.91,2.597,53,39
2383.48,1,carrera,63.84,4.628,295.45,2.754,53,38
2384.48,1,carrera,65.11,7.078,460.85,2.65,53,39
2385.48,1,carrera,63.58,3.038,193.16,2.524,53,38
2386.48,1,carrera,65.6,3.73,244.69,2.566,53,39
2387.48,1,carrera,65.14,3.922,255.48,2.729,53,37
2388.48,1,carrera,64.88,5.607,363.78,2.594,53,38
2389.48,1,carrera,64.46,4.352,280.53,2.595,53,37
2390.48,1,carrera,65.14,4.459,290.46,2.673,53,38
2391.48,1,carrera,65.17,8.849,576.69,2.702,53,37
2392.48,1,carrera,64.1,5.649,362.1,2.562,53,39
2393.48,1,carrera,65.6,3.242,212.68,2.59,53,39
2394.48,1,carrera,64.82,4.609,298.76,2.715,53,37
2395.48,1,carrera,64.72,8.042,520.48,2.682,53,38
2396.48,1,carrera,65.11,4.474,291.3,2.566,53,38
2397.48,1,carrera,64.82,5.005,324.42,2.622,53,38
2398.48,1,carrera,64.69,5.646,365.24,2.722,53,37
2399.48,1,carrera,62.54,3.168,198.13,2.567,53,38
2400.48,1,carrera,65.27,2.912,190.07,2.543,53,38
2401.49,1,carrera,64.43,5.032,324.21,2.683,53,37
2402.49,1,carrera,65.21,5.218,340.27,2.724,53,38
2403.49,1,carrera,65.37,3.892,254.42,2.546,53,38
2404.49,1,carrera,63.94,3.6,230.18,2.584,53,39
2405.49,1,carrera,64.95,5.246,340.73,2.708,53,39
2406.49,1,carrera,63.81,3.845,245.35,2.532,53,36
2407.49,1,carrera,66.02,2.551,168.42,2.549,53,39
2408.49,1,carrera,65.73,5.155,338.84,2.723,53,38
2409.49,1,carrera,64.23,8.518,547.11,2.624,53,36
2410.49,1,carrera,63.48,3.353,212.85,2.556,53,38
2411.49,1,carrera,64.65,7.294,471.56,2.617,53,36
2412.49,1,carrera,65.27,5.671,370.15,2.721,53,37
2413.49,1,carrera,64.0,3.616,231.42,2.541,53,39
2414.49,1,carrera,65.57,3.12,204.58,2.571,53,38
2415.49,1,carrera,64.85,4.783,310.18,2.715,53,38
2416.49,1,carrera,65.76,5.89,387.33,2.61,53,38
2417.49,1,carrera,64.72,4.775,309.04,2.531,53,37
2418.49,1,carrera,64.98,5.56,361.29,2.656,53,38
2419.49,1,carrera,65.3,6.365,415.63,2.656,53,37
2420.49,1,carrera,64.75,4.244,274.8,2.523,53,37
2421.49,1,carrera,66.09,3.138,207.39,2.568,53,37
2422.49,1,carrera,65.27,4.14,270.22,2.72,53,37
2423.49,1,carrera,65.6,6.928,454.48,2.572,53,37
2424.49,1,carrera,64.98,3.728,242.25,2.565,53,38
2425.49,1,carrera,64.26,4.667,299.9,2.683,53,38
2426.49,1,carrera,64.82,5.843,378.74,2.585,53,36
2427.49,1,carrera,63.87,4.083,260.78,2.56,53,37
2428.49,1,carrera,64.98,6.051,393.19,2.649,52,37
2429.49,1,carrera,65.17,8.389,546.71,2.734,52,38
2430.49,1,carrera,63.29,3.507,221.96,2.546,52,39
2431.49,1,carrera,64.88,4.226,274.18,2.571,53,37
2432.49,1,carrera,65.21,3.928,256.14,2.707,53,37
2433.49,1,carrera,65.66,6.886,452.13,2.545,53,37
2434.49,1,carrera,64.43,3.535,227.76,2.512,52,38
2435.49,1,carrera,64.72,5.381,348.26,2.654,52,37
2436.49,1,carrera,64.39,7.492,482.41,2.64,53,36
2437.49,1,carrera,64.26,3.781,242.97,2.504,53,37
2438.49,1,carrera,65.6,4.535,297.5,2.641,53,38
2439.49,1,carrera,65.3,7.376,481.65,2.761,53,37
2440.49,1,carrera,65.08,5.418,352.6,2.586,53,38
2441.49,1,carrera,64.26,2.843,182.69,2.535,53,39
2442.49,1,carrera,64.13,4.512,289.35,2.66,53,38
2443.49,1,carrera,64.85,9.261,600.58,2.642,53,38
2444.49,1,carrera,64.07,4.177,267.62,2.553,53,36
2445.49,1,carrera,65.5,3.859,252.76,2.622,53,37
2446.49,1,carrera,64.82,4.973,322.35,2.768,53,38
2447.49,1,carrera,65.34,4.552,297.43,2.546,53,37
2448.49,1,carrera,65.01,2.816,183.07,2.565,53,39
2449.49,1,carrera,64.56,5.032,324.87,2.687,53,36
2450.49,1,carrera,65.24,4.171,272.12,2.656,53,38
2451.49,1,carrera,65.11,3.894,253.54,2.504,53,38
2452.49,1,carrera,65.24,4.518,294.75,2.627,53,38
2453.49,1,carrera,65.24,6.145,400.9,2.735,53,39
2454.49,1,carrera,64.26,3.641,233.97,2.579,53,37
2455.49,1,carrera,65.37,2.55,166.69,2.572,53,38
2456.49,1,carrera,64.43,5.236,337.36,2.688,53,38
2457.49,1,carrera,64.39,7.134,459.36,2.654,53,37
2458.49,1,carrera,64.36,3.726,239.81,2.568,53,37
2459.49,1,carrera,65.3,3.725,243.24,2.623,53,38
2460.49,1,carrera,63.71,4.398,280.2,2.723,53,37
2461.49,1,carrera,64.13,3.837,246.07,2.571,53,36
2462.49,1,carrera,64.72,2.793,180.76,2.563,53,39
2463.49,1,carrera,64.69,6.157,398.3,2.641,53,37
2464.49,1,carrera,64.85,6.061,393.06,2.72,53,37
2465.49,1,carrera,64.62,3.787,244.72,2.556,53,37
2466.49,1,carrera,65.27,3.299,215.33,2.587,53,38
2467.49,1,carrera,64.39,4.639,298.71,2.721,53,37
2468.49,1,carrera,64.59,5.166,333.67,2.606,53,38
2469.49,1,carrera,64.88,2.687,174.33,2.541,53,38
2470.49,1,carrera,64.91,3.909,253.73,2.621,53,39
2471.5,1,carrera,65.57,7.922,519.45,2.726,53,37
2472.5,1,carrera,64.2,5.036,323.31,2.589,53,38
2473.5,1,carrera,65.11,3.796,247.16,2.586,53,37
2474.5,1,carrera,64.17,3.817,244.94,2.684,53,39
2475.5,1,carrera,65.66,8.244,541.3,2.666,53,38
2476.5,1,carrera,64.49,3.668,236.55,2.548,53,36
2477.5,1,carrera,64.85,3.726,241.63,2.623,53,37
2478.5,1,carrera,65.14,3.457,225.19,2.753,53,38
2479.5,1,carrera,64.85,7.046,456.93,2.646,53,37
2480.5,1,carrera,64.88,4.052,262.89,2.58,53,36
2481.5,1,carrera,66.22,5.271,349.05,2.636,53,39
2482.5,1,carrera,65.11,5.395,351.27,2.746,53,37
2483.5,1,carrera,64.13,2.897,185.78,2.575,53,38
2484.5,1,carrera,65.14,2.005,130.61,2.6,53,37
2485.5,1,carrera,65.44,4.32,282.7,2.71,53,38
2486.5,1,carrera,64.13,7.48,479.69,2.707,53,38
2487.5,1,carrera,64.91,4.806,311.96,2.566,53,37
2488.5,1,carrera,65.01,3.8,247.04,2.604,53,39
2489.5,1,carrera,66.02,6.651,439.1,2.718,53,37
2490.5,1,carrera,64.39,3.392,218.41,2.575,53,37
2491.5,1,carrera,65.21,2.443,159.31,2.615,53,37
2492.5,1,carrera,63.74,4.239,270.19,2.755,53,38
2493.5,1,carrera,64.88,4.639,300.98,2.665,53,38
2494.5,1,carrera,65.21,4.119,268.6,2.596,53,36
2495.5,1,carrera,65.08,6.566,427.32,2.638,53,38
2496.5,1,carrera,64.72,5.231,338.55,2.749,53,37
2497.5,1,carrera,65.86,3.234,212.99,2.521,53,37
2498.5,1,carrera,64.62,2.249,145.33,2.59,53,37
2499.5,1,carrera,65.5,5.43,355.66,2.757,53,38
2500.5,1,carrera,63.48,6.285,398.97,2.638,53,37
2501.5,1,carrera,65.11,3.839,249.96,2.618,53,37
2502.5,1,carrera,64.43,4.261,274.54,2.664,53,39
2503.5,1,carrera,65.01,7.226,469.76,2.73,53,39
2504.5,1,carrera,64.65,5.138,332.17,2.571,53,38
2505.5,1,carrera,64.65,2.753,177.98,2.588,53,37
2506.5,1,carrera,65.11,4.291,279.39,2.743,53,38
2507.5,1,carrera,65.37,6.365,416.08,2.703,53,37
2508.5,1,carrera,64.95,3.51,227.97,2.572,53,38
2509.5,1,carrera,65.4,3.474,227.2,2.593,53,37
2510.5,1,carrera,65.7,4.213,276.79,2.745,53,39
2511.5,1,carrera,65.4,5.247,343.15,2.595,53,38
2512.5,1,carrera,64.52,1.512,97.55,2.582,53,37
2513.5,1,carrera,64.91,4.487,291.25,2.674,53,38
2514.5,1,carrera,64.85,8.788,569.9,2.704,53,38
2515.5,1,carrera,64.56,3.38,218.21,2.563,53,37
2516.5,1,carrera,65.01,3.308,215.05,2.647,53,39
2517.5,1,carrera,64.95,5.881,381.97,2.789,53,38
2518.5,1,carrera,63.97,5.083,325.16,2.573,53,37
2519.5,1,carrera,65.34,2.736,178.77,2.542,53,37
2520.5,1,carrera,64.1,3.753,240.57,2.747,53,38
2521.5,1,carrera,64.49,4.375,282.14,2.623,53,37
2522.5,1,carrera,65.3,3.853,251.6,2.585,53,38
2523.5,1,carrera,65.11,5.31,345.73,2.7,54,38
2524.5,1,carrera,64.62,6.273,405.36,2.725,54,38
2525.5,1,carrera,64.65,3.354,216.84,2.6,54,38
2526.5,1,carrera,65.4,2.014,131.72,2.592,54,38
2527.5,1,carrera,64.62,4.42,285.62,2.768,53,38
2528.5,1,carrera,63.35,6.749,427.55,2.646,53,38
2529.5,1,carrera,64.72,3.314,214.48,2.574,53,37
2530.5,1,carrera,65.24,5.742,374.61,2.681,54,38
2531.5,1,carrera,63.97,9.1,582.13,2.711,53,37
2532.5,1,carrera,65.11,3.397,221.18,2.543,53,38
2533.5,1,carrera,64.95,4.212,273.57,2.581,54,37
2534.5,1,carrera,64.85,5.584,362.12,2.745,53,37
2535.5,1,carrera,64.23,4.689,301.17,2.611,53,38
2536.5,1,carrera,64.33,3.217,206.95,2.56,53,39
2537.5,1,carrera,64.85,5.555,360.24,2.668,53,37
2538.5,1,carrera,65.37,3.304,215.98,2.729,53,38
2539.5,1,carrera,66.28,4.172,276.52,2.539,53,37
2540.5,1,carrera,64.75,2.528,163.69,2.578,53,37
2541.5,1,carrera,65.34,4.013,262.21,2.671,54,38
2542.5,1,carrera,64.62,8.887,574.28,2.634,53,37
2543.5,1,carrera,64.33,3.585,230.62,2.535,53,37
2544.5,1,carrera,65.63,3.953,259.44,2.572,53,38
2545.5,1,carrera,65.47,4.993,326.89,2.695,53,38
2546.51,1,carrera,64.85,7.126,462.12,2.623,53,38
2547.51,1,carrera,62.96,3.673,231.25,2.509,53,37
2548.51,1,carrera,64.75,4.452,288.27,2.684,53,39
2549.51,1,carrera,64.95,4.28,277.99,2.709,53,37
2550.51,1,carrera,65.63,5.483,359.85,2.567,53,36
2551.51,1,carrera,64.65,4.079,263.71,2.575,53,38
2552.51,1,carrera,64.26,5.709,366.86,2.686,53,36
2553.51,1,carrera,65.34,8.14,531.87,2.678,53,37
2554.51,1,carrera,63.97,2.706,173.1,2.563,53,37
2555.51,1,carrera,65.99,1.75,115.48,2.602,53,39
2556.51,1,carrera,65.21,4.535,295.73,2.73,53,39
2557.51,1,carrera,63.52,5.604,355.97,2.601,53,38
2558.51,1,carrera,64.98,3.4,220.93,2.56,53,38
2559.51,1,carrera,64.91,5.884,381.93,2.67,53,38
2560.51,1,carrera,64.3,5.948,382.46,2.714,53,38
2561.51,1,carrera,64.65,2.669,172.55,2.592,53,38
2562.51,1,carrera,65.24,1.62,105.69,2.584,53,37
2563.51,1,carrera,63.22,3.273,206.92,2.732,53,37
2564.51,1,carrera,64.59,5.095,329.09,2.609,53,37
2565.51,1,carrera,65.37,4.252,277.95,2.549,53,37
2566.51,1,carrera,65.04,4.617,300.29,2.642,53,38
2567.51,1,carrera,65.76,5.415,356.09,2.696,53,39
2568.51,1,carrera,64.88,3.854,250.05,2.537,53,37
2569.51,1,carrera,64.98,2.352,152.83,2.594,53,38
2570.51,1,carrera,64.52,5.054,326.08,2.763,53,38
2571.51,1,carrera,62.64,4.256,266.6,2.602,53,36
2572.51,1,carrera,65.11,3.943,256.73,2.562,53,37
2573.51,1,carrera,65.27,4.474,292.02,2.657,53,37
2574.51,1,carrera,65.04,6.023,391.74,2.722,53,38
2575.51,1,carrera,65.37,3.828,250.24,2.538,53,37
2576.51,1,carrera,64.39,2.578,166.0,2.589,53,37
2577.51,1,carrera,65.6,3.842,252.04,2.745,53,37
2578.51,1,carrera,64.1,5.097,326.72,2.642,53,37
2579.51,1,carrera,64.26,3.418,219.64,2.563,53,37
2580.51,1,carrera,64.85,4.87,315.82,2.625,53,38
2581.51,1,carrera,64.88,8.008,519.56,2.69,53,38
2582.51,1,carrera,64.07,4.19,268.45,2.556,53,38
2583.51,1,carrera,65.17,2.342,152.63,2.619,53,39
2584.51,1,carrera,65.04,4.695,305.36,2.755,53,38
2585.51,1,carrera,63.42,5.585,354.2,2.585,53,37
2586.51,1,carrera,64.72,3.229,208.98,2.577,53,39
2587.51,1,carrera,64.46,6.135,395.46,2.667,53,38
2588.51,1,carrera,64.95,5.389,350.02,2.768,53,38
2589.51,1,carrera,64.62,2.947,190.44,2.581,53,39
2590.51,1,carrera,65.17,1.415,92.22,2.542,53,37
2591.51,1,carrera,64.04,3.817,244.44,2.75,53,38
2592.51,1,carrera,64.88,6.624,429.77,2.707,53,37
2593.51,1,carrera,65.53,5.544,363.3,2.554,53,38
2594.51,1,carrera,64.56,3.925,253.4,2.567,53,39
2595.51,1,carrera,64.65,4.615,298.36,2.74,53,38
2596.51,1,carrera,63.97,4.595,293.94,2.61,53,38
2597.51,1,carrera,65.63,3.497,229.51,2.563,53,38
2598.51,1,carrera,65.76,4.36,286.71,2.601,53,39
2599.51,1,carrera,64.85,6.796,440.72,2.691,53,38
2600.51,1,carrera,65.53,3.771,247.11,2.516,53,36
2601.51,1,carrera,65.04,3.044,197.98,2.626,53,39
2602.51,1,carrera,64.72,3.021,195.52,2.767,53,39
2603.51,1,carrera,66.7,4.504,300.42,2.626,53,37
2604.51,1,carrera,64.82,2.788,180.72,2.573,53,38
2605.51,1,carrera,64.78,4.959,321.24,2.621,53,38
2606.51,1,carrera,64.59,5.349,345.49,2.719,53,38
2607.51,1,carrera,65.01,3.217,209.14,2.555,53,38
2608.51,1,carrera,65.3,3.483,227.44,2.58,53,38
2609.52,1,carrera,65.04,4.721,307.05,2.727,53,37
2610.52,1,carrera,64.88,5.009,324.98,2.553,53,36
2611.52,1,carrera,65.3,2.46,160.64,2.555,53,38
2612.52,1,carrera,64.98,4.344,282.27,2.764,53,37
2613.52,1,carrera,64.49,6.528,420.99,2.605,53,38
2614.52,1,carrera,64.78,2.768,179.31,2.554,53,39
2615.52,1,carrera,64.59,4.707,304.03,2.672,53,39
2616.52,1,carrera,64.04,5.704,365.28,2.673,53,38
2617.52,1,carrera,64.95,4.719,306.5,2.604,53,37
2618.52,1,carrera,64.52,2.338,150.85,2.556,53,37
2619.52,1,carrera,65.17,4.376,285.18,2.714,53,37
2620.52,1,carrera,64.82,6.186,400.98,2.627,53,39
2621.52,1,carrera,64.65,1.897,122.64,2.546,53,38
2622.52,1,carrera,64.88,4.364,283.14,2.635,53,37
2623.52,1,carrera,65.21,6.277,409.32,2.725,53,37
2624.52,1,carrera,64.26,4.451,286.02,2.586,53,38
2625.52,1,carrera,65.27,1.947,127.08,2.556,53,37
2626.52,1,carrera,65.11,4.393,286.03,2.687,53,39
2627.52,1,carrera,64.65,8.507,549.98,2.683,53,36
2628.52,1,carrera,64.36,3.425,220.43,2.548,53,37
2629.52,1,carrera,65.14,5.39,351.1,2.627,53,38
2630.52,1,carrera,65.14,4.682,304.99,2.741,53,37
2631.52,1,carrera,65.27,2.994,195.42,2.614,53,38
2632.52,1,carrera,65.47,2.683,175.66,2.56,53,39
2633.52,1,carrera,64.1,4.395,281.72,2.679,54,37
2634.52,1,carrera,65.01,5.429,352.94,2.696,53,37
2635.52,1,carrera,65.17,3.166,206.33,2.527,53,38
2636.52,1,carrera,65.53,4.84,317.17,2.597,53,38
2637.52,1,carrera,64.82,6.405,415.17,2.737,53,37
2638.52,1,carrera,65.53,3.831,251.05,2.567,53,38
2639.52,1,carrera,64.52,1.811,116.85,2.577,54,39
2640.52,1,carrera,65.17,5.63,366.91,2.686,53,38
2641.52,1,carrera,64.39,8.352,537.79,2.67,53,37
2642.52,1,carrera,64.56,3.043,196.46,2.552,53,37
2643.52,1,carrera,65.37,4.463,291.75,2.618,53,37
2644.52,1,carrera,64.49,4.102,264.54,2.743,53,38
2645.52,1,carrera,65.86,4.047,266.54,2.587,53,37
2646.52,1,carrera,65.17,2.507,163.38,2.551,53,37
2647.52,1,carrera,65.4,5.657,369.97,2.66,53,38
2648.52,1,carrera,64.43,6.844,440.96,2.632,53,38
2649.52,1,carrera,65.14,3.247,211.51,2.546,53,38
2650.52,1,carrera,65.92,4.664,307.45,2.673,53,38
2651.52,1,carrera,64.65,6.75,436.39,2.725,53,37
2652.52,1,carrera,64.39,5.361,345.19,2.55,53,36
2653.52,1,carrera,65.44,2.812,184.02,2.589,53,38
2654.52,1,carrera,63.61,4.371,278.04,2.707,53,36
2655.52,1,carrera,65.08,8.145,530.08,2.634,53,37
2656.52,1,carrera,64.75,3.847,249.09,2.577,53,38
2657.52,1,carrera,64.62,4.593,296.8,2.674,54,37
2658.52,1,carrera,64.75,5.921,383.38,2.734,53,37
2659.52,1,carrera,64.85,3.956,256.55,2.599,53,38
2660.52,1,carrera,65.11,2.165,140.96,2.555,54,38
2661.52,1,carrera,64.33,3.366,216.53,2.731,53,37
2662.52,1,carrera,63.97,5.651,361.49,2.66,53,37
2663.52,1,carrera,64.52,3.975,256.47,2.544,53,38
2664.52,1,carrera,65.73,4.968,326.55,2.679,53,37
2665.52,1,carrera,64.23,8.238,529.13,2.734,53,36
2666.52,1,carrera,63.35,4.249,269.17,2.545,53,37
