t_gpx_s,log,fase,voltaje_v,corriente_a,potencia_w,rapidez_odometria_mps,temp_motor_max_c,temp_cuerpo_c
492.27,1,carrera,65.86,4.817,317.25,2.607,42,38
493.27,1,carrera,66.05,2.832,187.05,2.589,43,39
494.27,1,carrera,64.2,4.473,287.17,2.78,43,38
495.27,1,carrera,64.82,7.163,464.31,2.685,43,39
496.27,1,carrera,66.7,3.643,242.99,2.558,43,38
497.27,1,carrera,66.38,3.145,208.77,2.627,43,38
498.27,1,carrera,66.18,3.638,240.76,2.729,43,38
499.27,1,carrera,65.5,4.427,289.97,2.597,43,38
500.27,1,carrera,65.92,4.345,286.42,2.583,43,38
501.27,1,carrera,65.57,6.256,410.21,2.731,43,38
502.27,1,carrera,65.44,5.857,383.28,2.684,43,37
503.27,1,carrera,64.36,2.518,162.06,2.549,42,40
504.27,1,carrera,67.16,0.774,51.98,2.413,43,39
