t_s,lat,lon,elevacion_m,dist_acum_m,temp_aire_c
0,36.43204933963716,128.16217272542417,72.80000305175781,0.0,18.0
1,36.43206400796771,128.1621701270342,72.80000305175781,1.6,18.0
2,36.432064259424806,128.16216995939612,72.80000305175781,1.7,18.0
3,36.43206409178674,128.16216845065355,72.80000305175781,1.8,18.0
4,36.43207046203315,128.1621611583978,72.80000305175781,2.8,18.0
5,36.43206995911896,128.1621558777988,72.5999984741211,3.3,18.0
6,36.43206836655736,128.16215185448527,72.5999984741211,3.7,18.0
7,36.43206652253866,128.1621482502669,72.5999984741211,4.0,18.0
8,36.432063756510615,128.1621448136866,72.5999984741211,4.5,18.0
9,36.43206006847322,128.1621423829347,72.5999984741211,4.9,18.0
10,36.4320557937026,128.16213936544955,72.80000305175781,5.5,18.0
11,36.43205177038908,128.1621373537928,72.5999984741211,6.0,18.0
12,36.43204816617072,128.1621345039457,72.5999984741211,6.4,18.0
13,36.43204607069492,128.1621318217367,72.5999984741211,6.8,18.0
14,36.43204607069492,128.1621318217367,72.5999984741211,6.8,18.0
15,36.43204607069492,128.1621318217367,72.5999984741211,6.8,18.0
16,36.43204607069492,128.1621318217367,72.5999984741211,6.8,18.0
17,36.43204607069492,128.1621318217367,72.5999984741211,6.8,18.0
18,36.43203282728791,128.1621186621487,72.5999984741211,8.7,18.0
19,36.43202872015536,128.16211681813002,72.5999984741211,9.1,18.0
20,36.43202872015536,128.16211681813002,72.5999984741211,9.1,18.0
21,36.43202872015536,128.16211681813002,72.5999984741211,9.1,18.0
22,36.43202872015536,128.16211681813002,72.5999984741211,9.1,18.0
23,36.43202872015536,128.16211681813002,72.5999984741211,9.1,18.0
24,36.43202872015536,128.16211681813002,72.5999984741211,9.1,18.0
25,36.43202872015536,128.16211681813002,72.5999984741211,9.1,18.0
26,36.43201631493866,128.16210843622684,72.5999984741211,10.7,18.0
27,36.43201597966254,128.1621091067791,72.5999984741211,10.8,18.0
28,36.43201597966254,128.1621091067791,72.5999984741211,10.8,18.0
29,36.43201597966254,128.1621091067791,72.5999984741211,10.8,18.0
