grupo,nombre,tipo,masa_kg,bateria_wh,autonomia_km,velocidad_mps,cot,cot_origen
robot_cuadrupedo,BigDog,Hydr robot,109.0,,10.0,1.1,,-
robot_cuadrupedo,HyQ,Hydr robot,100.0,,,,,-
robot_cuadrupedo,starlETH,Elec robot,23.0,111.0,0.5805,0.43,2.57,from ref
robot_cuadrupedo,LS3,Hydr robot,360.0,,32.2,2.2,,-
robot_cuadrupedo,MIT cheetah,Elec robot,33.0,465.0,10.3,5.96,0.5,from ref
robot_cuadrupedo,Ranger,Elec(PDW) robot,9.9,493.0,65.0,0.59,0.28,from ref
robot_cuadrupedo,HyQ2Max,Hydr robot,80.0,,,,,-
robot_cuadrupedo,Xingzhe,Elec(PDW) robot,10.0,800.0,134.0,0.68,0.21,from ref
robot_cuadrupedo,Anymal B,Elec robot,30.0,,,0.8,1.2,from ref
robot_cuadrupedo,MIT cheetah3,Elec robot,45.0,450.0,8.163265306122447,1.3,0.45,from ref
robot_cuadrupedo,Spot,Elec robot,34.0,605.0,8.64,1.6,,-
robot_cuadrupedo,LLAMA,Elec robot,67.0,1200.0,,1.7,1.42,from ref
robot_cuadrupedo,ALPHRED,Elec robot,17.6,66.60000000000001,0.5346439275010704,1.0,2.6,
robot_cuadrupedo,Jueying X20,Elec robot,53.0,,15.0,,,from ref
robot_cuadrupedo,B1,Elec robot,50.0,932.4,8.64,1.2,0.7928571428571427,estimated
robot_cuadrupedo,VISION 60,Elec robot,51.0,1250.0,10.0,0.9,0.9003601440576231,estimated
robot_cuadrupedo,ANYmal D,Elec robot,50.0,932.4,2.0,0.75,3.4251428571428573,estimated
robot_cuadrupedo,HOUND,Elec robot,45.0,580.0,5.9,3.0,0.81,from ref
robot_cuadrupedo,Barry,Elec robot,48.0,930.0,9.0,1.4,0.7,estimated
robot_cuadrupedo,B2,Elec robot,60.0,2250.0,20.0,1.1111111111111112,0.6887755102040816,estimated
robot_cuadrupedo,X30,Elec robot,56.0,1612.8,10.0,,1.0579591836734692,estimated
robot_cuadrupedo,Raibo2,Elec robot,43.0,1447.0,52.19639278557114,3.0,0.248,
robot_ruedas,Starship,Wheeled Robot,23.0,148.0,6.0,1.67,0.39396628216503987,estimated
robot_ruedas,ALPRED caster,Wheeled Robot,18.0,66.60000000000001,,2.11,0.55,paper
robot_ruedas,MiR250,Wheeled Robot,94.0,,,,,-
