cohorte,pais,tarea,n_ecg,auc,ci_low,ci_high
Sharp HealthCare,EE.UU.,VF/VT,251858,0.822,0.812,0.831
Nightingale,Taiwán,paro arrítmico,4268,0.767,0.706,0.823
Región Halland,Suecia,VF/VT,113072,0.717,0.676,0.756
Control placebo (no-arrítmico),Suecia,no-arrítmico,,0.582,0.529,0.636
