log_CXCL12_M,antagonist_concentration,response_pct,replicate
-5.0,no_antagonist,100.0,1
-5.0,no_antagonist,100.0,2
-5.0,no_antagonist,100.0,3
-5.0,no_antagonist,100.0,4
-5.0,dCX1_001_1uM,103.6,1
-5.0,dCX1_001_1uM,97.591,2
-5.0,dCX1_001_1uM,110.036,3
-5.0,dCX1_001_1uM,88.924,4
-5.0,dCX1_001_300nM,102.934,1
-5.0,dCX1_001_300nM,87.109,2
-5.0,dCX1_001_300nM,106.093,3
-5.0,dCX1_001_300nM,92.089,4
-6.0,no_antagonist,96.534,1
-6.0,no_antagonist,84.819,2
-6.0,no_antagonist,107.527,3
-6.0,no_antagonist,94.937,4
-6.0,dCX1_001_1uM,47.2,1
-6.0,dCX1_001_1uM,40.843,2
-6.0,dCX1_001_1uM,32.614,3
-6.0,dCX1_001_1uM,39.556,4
-6.0,dCX1_001_300nM,78.666,1
-6.0,dCX1_001_300nM,69.88,2
-6.0,dCX1_001_300nM,86.917,3
-6.0,dCX1_001_300nM,71.835,4
-7.0,no_antagonist,52.0,1
-7.0,no_antagonist,51.566,2
-7.0,no_antagonist,47.668,3
-7.0,no_antagonist,51.266,4
-7.0,dCX1_001_1uM,5.334,1
-7.0,dCX1_001_1uM,12.048,2
-7.0,dCX1_001_1uM,-5.38,3
-7.0,dCX1_001_1uM,-17.406,4
-7.0,dCX1_001_300nM,14.666,1
-7.0,dCX1_001_300nM,7.229,2
-7.0,dCX1_001_300nM,-6.455,3
-7.0,dCX1_001_300nM,-20.254,4
-8.0,no_antagonist,32.534,1
-8.0,no_antagonist,20.482,2
-8.0,no_antagonist,9.675,3
-8.0,no_antagonist,6.962,4
-8.0,dCX1_001_1uM,12.534,1
-8.0,dCX1_001_1uM,9.638,2
-8.0,dCX1_001_1uM,0.355,3
-8.0,dCX1_001_1uM,-2.848,4
-8.0,dCX1_001_300nM,10.4,1
-8.0,dCX1_001_300nM,11.084,2
-8.0,dCX1_001_300nM,-13.982,3
-8.0,dCX1_001_300nM,3.164,4
-9.0,no_antagonist,11.2,1
-9.0,no_antagonist,10.121,2
-9.0,no_antagonist,-23.66,3
-9.0,no_antagonist,0.949,4
-9.0,dCX1_001_1uM,5.866,1
-9.0,dCX1_001_1uM,6.747,2
-9.0,dCX1_001_1uM,-15.775,3
-9.0,dCX1_001_1uM,-3.165,4
-9.0,dCX1_001_300nM,11.466,1
-9.0,dCX1_001_300nM,0.482,2
-9.0,dCX1_001_300nM,-29.754,3
-9.0,dCX1_001_300nM,-12.659,4
-10.0,no_antagonist,-1.066,1
-10.0,no_antagonist,10.361,2
-10.0,no_antagonist,-5.022,3
-10.0,no_antagonist,1.582,4
-10.0,dCX1_001_1uM,1.6,1
-10.0,dCX1_001_1uM,6.506,2
-10.0,dCX1_001_1uM,-7.53,3
-10.0,dCX1_001_1uM,-8.861,4
-10.0,dCX1_001_300nM,8.266,1
-10.0,dCX1_001_300nM,0.723,2
-10.0,dCX1_001_300nM,-20.076,3
-10.0,dCX1_001_300nM,-17.089,4
-11.0,no_antagonist,9.6,1
-11.0,no_antagonist,3.855,2
-11.0,no_antagonist,-7.53,3
-11.0,no_antagonist,-18.987,4
-11.0,dCX1_001_1uM,-0.534,1
-11.0,dCX1_001_1uM,6.024,2
-11.0,dCX1_001_1uM,-16.133,3
-11.0,dCX1_001_1uM,-8.544,4
-11.0,dCX1_001_300nM,6.134,1
-11.0,dCX1_001_300nM,0.482,2
-11.0,dCX1_001_300nM,-6.097,3
-11.0,dCX1_001_300nM,-12.026,4
-12.0,no_antagonist,0.0,1
-12.0,no_antagonist,0.0,2
-12.0,no_antagonist,-0.003,3
-12.0,no_antagonist,0.0,4
-12.0,dCX1_001_1uM,18.134,1
-12.0,dCX1_001_1uM,5.783,2
-12.0,dCX1_001_1uM,-29.754,3
-12.0,dCX1_001_1uM,-6.646,4
-12.0,dCX1_001_300nM,9.866,1
-12.0,dCX1_001_300nM,2.651,2
-12.0,dCX1_001_300nM,-3.229,3
-12.0,dCX1_001_300nM,-9.811,4
