lat_banda_sur,n_celdas,inicio_media_dias_decada,inicio_pct_sig_local,fin_media_dias_decada,fin_pct_sig_local,temporada_media_dias_decada,temporada_pct_sig_local
-60,13,-6.275,0.0,1.674,0.0,7.95,0.0
-59,12,-3.073,0.0,5.808,0.0,8.881,0.0
-58,13,0.369,0.0,7.899,0.0,7.53,15.461
-57,25,-0.596,0.0,6.334,43.836,6.93,43.862
-56,97,0.231,0.0,-3.034,1.025,-3.265,12.4
-55,198,-4.176,9.616,0.007,2.028,4.182,16.688
-54,131,-3.325,19.14,-2.17,0.0,1.155,13.735
-53,173,-3.528,8.067,-0.524,0.583,3.004,8.116
-52,180,-3.624,2.226,-1.028,2.229,2.596,8.314
-51,145,-1.629,0.695,1.921,5.495,3.55,20.039
-50,192,-4.487,4.692,2.924,2.595,7.41,23.451
-49,178,-3.249,1.698,5.458,9.014,8.707,32.046
-48,201,-3.072,7.987,6.968,11.941,10.04,40.789
-47,248,-3.246,2.01,7.713,16.948,10.959,37.498
-46,230,-3.39,3.904,6.949,10.855,10.339,27.37
-45,255,-3.422,4.314,3.721,2.356,7.143,17.271
-44,295,-2.68,5.438,2.513,8.139,5.194,13.884
-43,300,-3.873,12.342,1.577,4.99,5.45,10.686
-42,322,-3.527,6.516,1.798,3.42,5.324,13.365
-41,310,-2.91,6.454,3.487,5.489,6.397,18.71
-40,321,-1.584,14.657,5.561,14.64,7.145,24.303
-39,463,-2.907,12.962,2.716,6.904,5.623,22.903
-38,524,-5.059,10.491,1.158,2.86,6.217,28.806
-37,508,-5.294,8.27,0.591,3.343,5.885,20.268
-36,576,-4.974,11.466,1.224,2.258,6.198,18.234
-35,794,-3.642,9.569,0.936,1.892,4.578,13.344
-34,930,-3.112,8.721,0.351,2.905,3.463,9.579
-33,1028,-3.535,8.546,0.996,2.431,4.531,13.328
-32,1167,-2.136,1.968,2.102,2.228,4.238,12.511
-31,1203,-2.67,1.416,2.459,2.329,5.13,14.467
-30,1247,-3.104,4.332,2.222,0.882,5.326,14.435
-29,1300,-4.3,6.306,2.824,2.617,7.124,22.772
-28,1316,-4.704,9.5,3.525,5.551,8.229,29.408
-27,1320,-4.244,8.488,4.025,13.564,8.268,29.545
-26,1387,-4.445,12.04,3.69,15.573,8.134,25.446
-25,1448,-4.208,15.749,3.539,17.06,7.748,21.133
-24,1489,-4.5,17.663,3.773,18.807,8.273,23.978
-23,1575,-5.339,18.794,3.447,12.569,8.786,27.685
-22,1601,-4.76,14.988,3.133,11.681,7.893,22.233
-21,1570,-4.893,15.989,2.829,12.166,7.722,26.372
-20,1484,-5.642,21.499,2.826,12.196,8.468,25.065
-19,1510,-6.13,19.869,3.105,10.861,9.235,30.064
-18,1555,-6.968,19.612,2.735,9.001,9.703,29.134
-17,1563,-7.443,22.716,2.384,5.501,9.827,30.904
-16,1459,-7.256,23.438,2.149,3.975,9.405,29.131
-15,1424,-7.409,18.539,2.249,5.76,9.658,29.494
-14,1328,-7.187,16.19,2.528,6.853,9.715,28.088
-13,1308,-8.421,24.465,2.042,6.728,10.463,34.712
-12,1279,-9.288,27.367,1.446,5.707,10.734,33.229
-11,1342,-9.154,27.643,1.607,4.098,10.761,32.263
-10,1449,-8.077,25.949,2.853,6.143,10.93,36.785
-9,1695,-8.469,26.075,2.798,7.907,11.266,37.522
-8,1646,-8.681,30.56,2.508,10.268,11.188,33.596
-7,1595,-10.532,36.929,1.288,6.708,11.82,32.916
-6,1662,-11.751,36.461,0.581,4.151,12.333,32.43
-5,1613,-11.539,33.787,2.023,3.596,13.562,37.384
-4,1741,-10.786,33.544,2.674,5.629,13.46,37.048
-3,1726,-11.715,36.732,2.957,7.127,14.673,42.932
-2,1674,-11.82,36.798,3.388,11.23,15.208,45.042
-1,1539,-12.165,40.416,2.23,7.992,14.395,40.091
0,1508,-5.797,22.613,10.865,25.531,16.662,42.241
1,1430,-5.641,22.588,10.739,26.294,16.38,39.371
2,1364,-4.716,12.683,10.791,23.387,15.507,35.63
3,1304,-4.93,15.49,11.097,26.917,16.028,38.037
4,1437,-5.265,18.372,9.642,22.13,14.908,34.934
5,1492,-5.385,16.823,8.586,16.488,13.971,32.374
6,1551,-5.048,17.408,8.121,18.828,13.17,28.756
