bin_izq_dias_decada,bin_der_dias_decada,inicio_pct_area,fin_pct_area,temporada_pct_area
-40.0,-39.0,0.0259,0.0,0.0
-39.0,-38.0,0.003,0.0,0.0
-38.0,-37.0,0.0066,0.0,0.0
-37.0,-36.0,0.0051,0.0005,0.0
-36.0,-35.0,0.0051,0.0,0.0
-35.0,-34.0,0.0089,0.0,0.0
-34.0,-33.0,0.0164,0.0,0.0
-33.0,-32.0,0.0161,0.0,0.0
-32.0,-31.0,0.0235,0.0,0.0005
-31.0,-30.0,0.0338,0.001,0.0005
-30.0,-29.0,0.0432,0.0,0.001
-29.0,-28.0,0.0538,0.0,0.001
-28.0,-27.0,0.0775,0.0009,0.001
-27.0,-26.0,0.1002,0.0005,0.003
-26.0,-25.0,0.1243,0.0019,0.0015
-25.0,-24.0,0.1877,0.0048,0.0025
-24.0,-23.0,0.2407,0.0059,0.003
-23.0,-22.0,0.2899,0.0109,0.008
-22.0,-21.0,0.359,0.0148,0.0048
-21.0,-20.0,0.4793,0.0207,0.004
-20.0,-19.0,0.6378,0.0291,0.012
-19.0,-18.0,0.7827,0.041,0.0147
-18.0,-17.0,1.0142,0.0437,0.0205
-17.0,-16.0,1.1851,0.0641,0.017
-16.0,-15.0,1.4543,0.1016,0.0275
-15.0,-14.0,1.7228,0.1276,0.0334
-14.0,-13.0,2.0614,0.1645,0.0615
-13.0,-12.0,2.5789,0.2341,0.0681
-12.0,-11.0,3.0254,0.3245,0.0857
-11.0,-10.0,3.3872,0.3876,0.1292
-10.0,-9.0,3.981,0.5493,0.1786
-9.0,-8.0,4.5677,0.7132,0.2016
-8.0,-7.0,4.9015,0.8844,0.2944
-7.0,-6.0,5.2671,1.1799,0.3946
-6.0,-5.0,5.5967,1.496,0.502
-5.0,-4.0,5.7134,1.8171,0.6918
-4.0,-3.0,5.7884,2.3103,0.8672
-3.0,-2.0,5.6591,2.7713,1.1137
-2.0,-1.0,5.45,3.307,1.4173
-1.0,0.0,5.1478,3.7804,1.7286
0.0,1.0,4.6666,4.2775,2.1931
1.0,2.0,4.2056,4.7584,2.6161
2.0,3.0,3.6556,5.0157,3.1399
3.0,4.0,3.2524,5.4844,3.688
4.0,5.0,2.7157,5.5828,4.1883
5.0,6.0,2.2289,5.623,4.5671
6.0,7.0,1.7337,5.4632,4.9528
7.0,8.0,1.3881,5.1871,5.3157
8.0,9.0,1.0539,4.8769,5.4464
9.0,10.0,0.7904,4.5698,5.5107
10.0,11.0,0.5723,4.1807,5.539
11.0,12.0,0.4475,3.7462,5.3053
12.0,13.0,0.3283,3.3637,5.0557
13.0,14.0,0.2419,2.9426,4.6716
14.0,15.0,0.1859,2.4456,4.4397
15.0,16.0,0.1337,2.1253,3.919
16.0,17.0,0.1096,1.7315,3.492
17.0,18.0,0.0785,1.4481,3.0529
18.0,19.0,0.0481,1.2008,2.6225
19.0,20.0,0.0408,1.0268,2.2368
20.0,21.0,0.0232,0.8424,1.8697
21.0,22.0,0.0172,0.69,1.5457
22.0,23.0,0.0101,0.5898,1.2965
23.0,24.0,0.0095,0.5007,1.0298
24.0,25.0,0.007,0.3982,0.8503
25.0,26.0,0.004,0.3298,0.6813
26.0,27.0,0.005,0.2549,0.5707
27.0,28.0,0.0045,0.1892,0.4629
28.0,29.0,0.0065,0.1749,0.3835
29.0,30.0,0.002,0.1158,0.2917
30.0,31.0,0.001,0.103,0.2416
31.0,32.0,0.001,0.0733,0.1973
32.0,33.0,0.0025,0.061,0.1505
33.0,34.0,0.0005,0.0521,0.1131
34.0,35.0,0.001,0.0392,0.0832
35.0,36.0,0.0015,0.0328,0.0579
36.0,37.0,0.0,0.0256,0.0675
37.0,38.0,0.0005,0.0173,0.043
38.0,39.0,0.001,0.0127,0.0394
39.0,40.0,0.0015,0.0587,0.1818
