lat,lon,n_celdas_025,inicio_dias_decada,fin_dias_decada,temporada_dias_decada
83.5,-81.5,1,0.911,10.048,9.137
83.5,-80.5,4,1.599,10.752,9.154
83.5,-79.5,4,4.043,10.433,6.39
83.5,-78.5,4,2.656,11.045,8.389
83.5,-77.5,4,3.101,9.146,6.046
83.5,-76.5,4,3.953,11.758,7.805
83.5,-75.5,4,1.621,13.607,11.986
83.5,-74.5,4,1.582,11.374,9.792
83.5,-73.5,4,1.125,12.779,11.654
83.5,-72.5,4,0.615,13.242,12.628
83.5,-71.5,4,0.086,12.591,12.505
83.5,-70.5,4,0.553,11.384,10.831
83.5,-69.5,4,1.163,10.307,9.144
83.5,-68.5,4,0.556,14.006,13.451
83.5,-67.5,4,-0.28,13.449,13.728
83.5,-66.5,4,-2.89,12.465,15.356
83.5,-65.5,4,-2.692,9.216,11.909
83.5,-64.5,4,-2.716,7.132,9.849
83.5,-63.5,4,-3.196,5.518,8.714
83.5,-62.5,5,-2.434,5.078,7.512
83.5,-61.5,8,-2.313,5.843,8.156
83.5,-60.5,8,-1.748,7.848,9.595
83.5,-59.5,7,-0.231,5.108,5.339
83.5,-58.5,1,-1.78,-0.433,1.347
83.5,-49.5,2,-6.192,0.888,7.08
83.5,-48.5,4,-3.448,1.285,4.733
83.5,-47.5,4,-1.437,3.951,5.388
83.5,-46.5,4,-6.287,9.753,16.04
83.5,-45.5,8,-5.117,2.501,7.618
83.5,-44.5,8,-8.25,3.665,11.915
83.5,-43.5,8,-6.444,4.195,10.64
83.5,-42.5,8,-5.189,5.918,11.107
83.5,-41.5,8,-5.21,5.967,11.177
83.5,-40.5,9,-6.854,4.166,11.02
83.5,-39.5,12,-8.314,3.115,11.43
83.5,-38.5,12,-8.389,5.241,13.631
83.5,-37.5,12,-7.763,5.706,13.47
83.5,-36.5,12,-5.921,5.185,11.107
83.5,-35.5,12,-6.993,4.337,11.33
83.5,-34.5,12,-8.033,3.001,11.033
83.5,-33.5,12,-8.241,3.663,11.904
83.5,-32.5,12,-7.344,5.504,12.848
83.5,-31.5,12,-6.053,5.635,11.688
83.5,-30.5,12,-5.003,5.682,10.686
83.5,-29.5,12,-4.066,5.224,9.291
83.5,-28.5,12,-2.614,3.03,5.643
83.5,-27.5,12,0.113,2.186,2.073
