anio_centro_ventana15,zona,inicio_dia_del_anio,fin_dia_del_anio,temporada_dias
1986,Hiperárida,175.548,200.087,25.539
1987,Hiperárida,173.892,198.914,26.022
1988,Hiperárida,174.657,201.963,28.306
1989,Hiperárida,174.214,204.214,31.0
1990,Hiperárida,174.684,205.636,31.952
1991,Hiperárida,175.0,208.126,34.127
1992,Hiperárida,174.378,209.288,35.91
1993,Hiperárida,173.136,209.692,37.555
1994,Hiperárida,172.392,210.732,39.34
1995,Hiperárida,172.765,212.33,40.564
1996,Hiperárida,173.944,213.12,40.177
1997,Hiperárida,171.892,211.998,41.105
1998,Hiperárida,172.148,214.406,43.258
1999,Hiperárida,174.199,218.047,44.848
2000,Hiperárida,173.717,219.543,46.826
2001,Hiperárida,171.334,219.855,49.521
2002,Hiperárida,173.302,223.113,50.81
2003,Hiperárida,171.918,223.938,53.02
2004,Hiperárida,172.682,223.885,52.203
2005,Hiperárida,171.655,222.729,52.075
2006,Hiperárida,170.159,220.407,51.249
2007,Hiperárida,171.023,220.912,50.889
2008,Hiperárida,170.456,222.222,52.765
2009,Hiperárida,169.354,221.612,53.258
2010,Hiperárida,168.278,220.47,53.191
2011,Hiperárida,166.559,220.879,55.32
2012,Hiperárida,166.581,223.721,58.14
2013,Hiperárida,165.408,223.406,58.999
2014,Hiperárida,162.769,223.537,61.768
2015,Hiperárida,163.662,225.202,62.54
2016,Hiperárida,164.064,227.152,64.088
1986,Árida,182.846,213.644,31.799
1987,Árida,182.305,211.677,30.372
1988,Árida,183.045,212.897,30.852
1989,Árida,182.525,212.808,31.283
1990,Árida,182.765,214.471,32.706
1991,Árida,182.341,215.158,33.817
1992,Árida,181.428,214.96,34.532
1993,Árida,180.852,215.05,35.198
1994,Árida,179.145,214.789,36.644
1995,Árida,178.456,214.906,37.451
1996,Árida,179.325,216.477,38.152
1997,Árida,178.314,217.432,40.119
1998,Árida,179.109,217.376,39.267
1999,Árida,177.723,217.362,40.639
2000,Árida,175.881,217.83,42.949
2001,Árida,174.653,218.441,44.788
2002,Árida,173.181,218.985,46.804
2003,Árida,172.717,219.512,47.795
2004,Árida,172.987,220.635,48.648
2005,Árida,171.941,219.321,48.381
2006,Árida,171.57,218.994,48.424
2007,Árida,171.046,219.618,49.572
2008,Árida,170.446,220.367,50.92
2009,Árida,171.181,221.893,51.712
2010,Árida,170.949,222.232,52.284
2011,Árida,169.576,222.67,54.094
2012,Árida,168.578,222.903,55.325
2013,Árida,167.171,222.407,56.237
2014,Árida,167.107,223.496,57.389
2015,Árida,167.685,224.543,57.857
2016,Árida,166.84,225.497,59.657
1986,Semiárida,179.406,213.123,34.718
1987,Semiárida,178.6,212.751,35.151
1988,Semiárida,178.629,213.124,35.495
1989,Semiárida,177.528,212.089,35.561
1990,Semiárida,177.597,213.019,36.422
1991,Semiárida,176.764,213.444,37.68
1992,Semiárida,176.567,213.742,38.175
1993,Semiárida,176.49,215.178,39.688
1994,Semiárida,175.413,215.241,40.828
1995,Semiárida,175.118,215.241,41.123
1996,Semiárida,175.844,216.499,41.655
1997,Semiárida,174.98,217.107,43.127
1998,Semiárida,174.965,217.146,43.18
1999,Semiárida,173.575,216.28,43.705
2000,Semiárida,173.204,217.194,44.989
2001,Semiárida,172.005,217.233,46.228
2002,Semiárida,171.109,217.231,47.122
2003,Semiárida,171.409,218.422,48.013
2004,Semiárida,172.385,220.387,49.001
2005,Semiárida,171.213,219.488,49.275
2006,Semiárida,171.005,218.71,48.705
2007,Semiárida,170.372,219.322,49.949
2008,Semiárida,169.959,220.053,51.093
2009,Semiárida,170.157,220.38,51.223
2010,Semiárida,169.817,220.635,51.818
2011,Semiárida,169.136,221.016,52.88
2012,Semiárida,168.914,221.318,53.404
2013,Semiárida,167.514,220.89,54.376
2014,Semiárida,167.108,221.795,55.687
2015,Semiárida,166.849,222.572,56.723
2016,Semiárida,166.474,224.261,58.787
1986,Subhúmeda seca,178.625,212.139,34.514
1987,Subhúmeda seca,177.544,211.794,35.25
1988,Subhúmeda seca,177.009,211.432,35.423
1989,Subhúmeda seca,176.18,210.317,35.137
1990,Subhúmeda seca,175.749,210.543,35.795
1991,Subhúmeda seca,175.4,211.437,37.037
1992,Subhúmeda seca,174.52,211.146,37.626
1993,Subhúmeda seca,174.773,213.125,39.352
1994,Subhúmeda seca,173.791,212.837,40.046
1995,Subhúmeda seca,173.499,212.57,40.071
1996,Subhúmeda seca,173.438,212.83,40.392
1997,Subhúmeda seca,173.805,213.926,41.122
1998,Subhúmeda seca,174.075,214.723,41.648
1999,Subhúmeda seca,173.275,214.515,42.24
2000,Subhúmeda seca,172.426,215.321,43.896
2001,Subhúmeda seca,172.011,215.864,44.854
2002,Subhúmeda seca,171.853,216.373,45.52
2003,Subhúmeda seca,172.077,217.75,46.673
2004,Subhúmeda seca,173.106,219.599,47.493
2005,Subhúmeda seca,172.335,219.569,48.234
2006,Subhúmeda seca,171.858,218.827,47.969
2007,Subhúmeda seca,171.551,219.507,48.956
2008,Subhúmeda seca,171.126,220.673,50.547
2009,Subhúmeda seca,171.206,220.977,50.77
2010,Subhúmeda seca,171.096,221.415,51.319
2011,Subhúmeda seca,171.217,222.419,52.201
2012,Subhúmeda seca,169.757,222.192,53.435
2013,Subhúmeda seca,168.494,221.647,54.153
2014,Subhúmeda seca,167.354,221.697,55.343
2015,Subhúmeda seca,167.485,222.902,56.417
2016,Subhúmeda seca,166.939,224.643,58.705
1986,Húmeda,177.649,210.446,33.797
1987,Húmeda,177.061,210.642,34.581
1988,Húmeda,176.342,210.982,35.639
1989,Húmeda,176.722,210.76,35.038
1990,Húmeda,176.302,211.094,35.792
1991,Húmeda,175.145,211.118,36.973
1992,Húmeda,174.841,211.519,37.677
1993,Húmeda,174.525,211.552,38.027
1994,Húmeda,174.519,212.222,38.702
1995,Húmeda,174.109,212.368,39.258
1996,Húmeda,174.275,212.951,39.676
1997,Húmeda,174.561,213.255,39.695
1998,Húmeda,174.505,214.244,40.74
1999,Húmeda,174.64,215.061,41.421
2000,Húmeda,174.273,215.888,42.615
2001,Húmeda,174.628,217.076,43.448
2002,Húmeda,174.861,218.138,44.276
2003,Húmeda,174.107,218.226,45.119
2004,Húmeda,173.947,219.413,46.466
2005,Húmeda,173.001,219.36,47.359
2006,Húmeda,173.217,219.511,47.294
2007,Húmeda,172.753,219.602,47.849
2008,Húmeda,172.411,221.201,49.791
2009,Húmeda,171.568,221.74,51.172
2010,Húmeda,171.956,222.572,51.616
2011,Húmeda,171.303,223.232,52.93
2012,Húmeda,170.607,224.581,54.974
2013,Húmeda,170.126,224.962,55.837
2014,Húmeda,169.21,224.967,56.757
2015,Húmeda,169.13,225.679,57.549
2016,Húmeda,168.13,228.011,60.882
1986,Global,178.428,210.7,33.272
1987,Global,177.704,210.379,33.674
1988,Global,177.405,211.016,34.611
1989,Global,177.309,210.857,34.548
1990,Global,177.077,211.473,35.395
1991,Global,176.243,211.927,36.684
1992,Global,175.773,212.239,37.466
1993,Global,175.443,212.642,38.199
1994,Global,174.955,213.077,39.122
1995,Global,174.614,213.32,39.707
1996,Global,175.026,214.124,40.098
1997,Global,174.804,214.495,40.691
1998,Global,174.904,215.309,41.405
1999,Global,174.722,215.939,42.218
2000,Global,174.135,216.776,43.641
