estacion,anio,n_olas,dias_ola,inicio_dia_del_anio,fin_dia_del_anio,temporada_dias,tipo_primera_ola_1rap_2mod_3len
USW,1993,3.0,9.0,165.0,224.0,60.0,3.0
USW,1994,2.0,6.0,175.0,216.0,42.0,1.0
USW,1995,3.0,10.0,207.0,219.0,13.0,3.0
USW,1996,4.0,12.0,131.0,213.0,83.0,1.0
USW,1997,2.0,6.0,125.0,138.0,14.0,3.0
USW,1998,4.0,16.0,191.0,262.0,72.0,2.0
USW,1999,,,,,,
USW,2000,6.0,20.0,141.0,260.0,120.0,2.0
USW,2001,3.0,13.0,127.0,268.0,142.0,2.0
USW,2002,3.0,9.0,221.0,267.0,47.0,3.0
USW,2003,2.0,6.0,147.0,196.0,50.0,3.0
USW,2004,1.0,3.0,122.0,124.0,3.0,2.0
USW,2005,2.0,7.0,140.0,173.0,34.0,2.0
USW,2006,2.0,7.0,152.0,204.0,53.0,2.0
USW,2007,3.0,9.0,185.0,255.0,71.0,2.0
USW,2008,2.0,6.0,138.0,172.0,35.0,1.0
USW,2009,5.0,16.0,126.0,255.0,130.0,2.0
USW,2010,4.0,15.0,181.0,271.0,91.0,2.0
USW,2011,3.0,12.0,214.0,267.0,54.0,2.0
USW,2012,5.0,23.0,133.0,267.0,135.0,2.0
USW,2013,3.0,9.0,132.0,230.0,99.0,2.0
USW,2014,1.0,3.0,203.0,205.0,3.0,3.0
USW,2015,2.0,8.0,168.0,228.0,61.0,3.0
USW,2016,2.0,10.0,154.0,229.0,76.0,2.0
USW,2017,3.0,12.0,142.0,242.0,101.0,2.0
USW,2018,3.0,11.0,125.0,207.0,83.0,2.0
USW,2019,3.0,10.0,161.0,234.0,74.0,2.0
USW,2020,4.0,19.0,125.0,261.0,137.0,2.0
USW,2021,3.0,11.0,166.0,257.0,92.0,2.0
USW,2022,2.0,6.0,161.0,249.0,89.0,3.0
USW,2023,3.0,17.0,199.0,254.0,56.0,2.0
Calif,1979,2.0,7.0,162.0,258.0,97.0,2.0
Calif,1980,1.0,3.0,205.0,207.0,3.0,2.0
Calif,1981,2.0,7.0,156.0,174.0,19.0,1.0
Calif,1982,,,,,,
Calif,1983,3.0,16.0,145.0,262.0,118.0,2.0
Calif,1984,6.0,27.0,128.0,262.0,135.0,2.0
Calif,1985,1.0,3.0,162.0,164.0,3.0,1.0
Calif,1986,,,,,,
Calif,1987,2.0,8.0,125.0,218.0,94.0,3.0
Calif,1988,4.0,16.0,140.0,250.0,111.0,3.0
Calif,1989,2.0,8.0,126.0,190.0,65.0,2.0
Calif,1990,3.0,12.0,124.0,221.0,98.0,2.0
Calif,1991,2.0,9.0,183.0,262.0,80.0,2.0
Calif,1992,1.0,7.0,227.0,233.0,7.0,2.0
Calif,1993,,,,,,
Calif,1994,2.0,6.0,161.0,181.0,21.0,1.0
