locus,ancestry,premutation_pct,pathogenic_pct
AR,EUR,0.17,0.06
AR,AMR,0.24,0.24
AR,SAS,0.12,0.05
AR,AFR,0.04,0.03
AR,EAS,0.22,0.13
ARX,EUR,,0.04
ARX,AMR,,0.0
ARX,SAS,,0.05
ARX,AFR,,0.06
ARX,EAS,,0.0
ATN1,EUR,0.01,0.0
ATN1,AMR,0.0,0.0
ATN1,SAS,0.0,0.0
ATN1,AFR,0.03,0.0
ATN1,EAS,0.17,0.0
ATXN1,EUR,5.68,0.29
ATXN1,AMR,4.36,0.47
ATXN1,SAS,4.44,0.58
ATXN1,AFR,4.25,0.21
ATXN1,EAS,0.96,0.17
ATXN10,EUR,0.0,0.0
ATXN10,AMR,1.77,0.0
ATXN10,SAS,0.0,0.0
ATXN10,AFR,0.04,0.0
ATXN10,EAS,0.04,0.0
ATXN2,EUR,0.12,0.01
ATXN2,AMR,0.0,0.0
ATXN2,SAS,0.18,0.02
ATXN2,AFR,0.25,0.01
ATXN2,EAS,0.22,0.0
ATXN3,EUR,0.0,0.0
ATXN3,AMR,0.0,0.0
ATXN3,SAS,0.02,0.0
ATXN3,AFR,0.13,0.01
ATXN3,EAS,0.04,0.0
ATXN7,EUR,0.0,0.0
ATXN7,AMR,0.0,0.0
ATXN7,SAS,0.01,0.0
ATXN7,AFR,0.04,0.0
ATXN7,EAS,0.0,0.0
ATXN8OS,EUR,1.56,0.77
ATXN8OS,AMR,1.06,0.94
ATXN8OS,SAS,1.94,0.97
ATXN8OS,AFR,0.7,0.44
ATXN8OS,EAS,1.01,0.48
C9ORF72,EUR,0.44,0.15
C9ORF72,AMR,0.35,0.0
C9ORF72,SAS,0.11,0.02
C9ORF72,AFR,0.15,0.07
C9ORF72,EAS,0.04,0.0
CACNA1A,EUR,0.02,0.02
CACNA1A,AMR,0.0,0.0
CACNA1A,SAS,0.02,0.02
CACNA1A,AFR,0.0,0.0
CACNA1A,EAS,0.17,0.13
CBL,EUR,0.001,0.0
CBL,AMR,0.0,0.0
CBL,SAS,0.0,0.0
CBL,AFR,0.0,0.0
CBL,EAS,0.0,0.0
CNBP,EUR,0.16,0.02
CNBP,AMR,0.12,0.0
CNBP,SAS,0.24,0.0
CNBP,AFR,0.98,0.02
CNBP,EAS,0.0,0.0
COMP,EUR,,0.0
COMP,AMR,,0.0
COMP,SAS,,0.0
COMP,AFR,,0.0
COMP,EAS,,0.0
CSTB,EUR,,0.0
CSTB,AMR,,0.0
CSTB,SAS,,0.0
CSTB,AFR,,0.0
CSTB,EAS,,0.0
DMPK,EUR,0.54,0.07
DMPK,AMR,0.24,0.0
DMPK,SAS,0.22,0.08
DMPK,AFR,0.01,0.01
DMPK,EAS,0.09,0.04
FMR1,EUR,2.18,0.42
FMR1,AMR,1.56,0.36
FMR1,SAS,1.46,0.29
FMR1,AFR,1.22,0.25
FMR1,EAS,0.7,0.09
FXN,EUR,8.98,1.45
FXN,AMR,6.84,0.94
FXN,SAS,3.58,0.61
FXN,AFR,1.19,0.19
FXN,EAS,0.31,0.13
GIPC1,EUR,,0.01
GIPC1,AMR,,0.0
GIPC1,SAS,,0.04
GIPC1,AFR,,0.08
GIPC1,EAS,,0.09
GLS,EUR,,0.0
GLS,AMR,,0.0
GLS,SAS,,0.0
GLS,AFR,,0.0
GLS,EAS,,0.0
HOXD13,EUR,,0.0
HOXD13,AMR,,0.0
HOXD13,SAS,,0.02
HOXD13,AFR,,0.02
HOXD13,EAS,,0.0
HTT,EUR,0.22,0.03
HTT,AMR,0.24,0.0
HTT,SAS,0.18,0.01
HTT,AFR,0.16,0.01
HTT,EAS,0.04,0.0
JPH3,EUR,0.0,0.0
JPH3,AMR,0.0,0.0
JPH3,SAS,0.0,0.0
JPH3,AFR,0.33,0.01
JPH3,EAS,0.0,0.0
NIPA1,EUR,,0.09
NIPA1,AMR,,0.12
NIPA1,SAS,,0.08
NIPA1,AFR,,0.05
NIPA1,EAS,,0.04
NOP56,EUR,,0.0
NOP56,AMR,,0.0
NOP56,SAS,,0.0
NOP56,AFR,,0.0
NOP56,EAS,,0.0
NOTCH2NLC,EUR,,0.0
NOTCH2NLC,AMR,,0.0
NOTCH2NLC,SAS,,0.01
NOTCH2NLC,AFR,,0.01
NOTCH2NLC,EAS,,0.09
NUTM2B-AS1,EUR,,0.0
NUTM2B-AS1,AMR,,0.0
NUTM2B-AS1,SAS,,0.02
NUTM2B-AS1,AFR,,0.07
NUTM2B-AS1,EAS,,0.0
PABPN1,EUR,0.0,0.0
PABPN1,AMR,0.0,0.0
PABPN1,SAS,0.0,0.0
PABPN1,AFR,0.0,0.0
PABPN1,EAS,0.0,0.0
PHOX2B,EUR,,0.06
PHOX2B,AMR,,0.0
PHOX2B,SAS,,0.08
PHOX2B,AFR,,0.01
PHOX2B,EAS,,0.0
PPP2R2B,EUR,,0.0
PPP2R2B,AMR,,0.0
PPP2R2B,SAS,,0.01
PPP2R2B,AFR,,0.0
PPP2R2B,EAS,,0.0
RFC1,EUR,,0.0
RFC1,AMR,,0.0
RFC1,SAS,,0.0
RFC1,AFR,,0.0
RFC1,EAS,,0.0
SOX3,EUR,,0.1
SOX3,AMR,,0.24
SOX3,SAS,,0.17
SOX3,AFR,,0.14
SOX3,EAS,,0.04
TBP,EUR,,0.12
TBP,AMR,,0.24
TBP,SAS,,0.25
TBP,AFR,,0.05
TBP,EAS,,0.52
TCF4,EUR,,1.97
TCF4,AMR,,1.18
TCF4,SAS,,0.97
TCF4,AFR,,0.49
TCF4,EAS,,0.57
ZIC2,EUR,,0.0
ZIC2,AMR,,0.0
ZIC2,SAS,,0.02
ZIC2,AFR,,0.03
ZIC2,EAS,,0.0
