age_ka_bp,celtis_africana_pct,poaceae_pct,podocarpus_pct,analyst,year_ce
0.461,3.9773,23.8636,13.6364,Livingstone,1489.0
0.518,0.6757,17.5676,12.1622,Ivory,1432.0
0.628,1.6287,17.9153,14.9837,Ivory,1322.0
0.702,0.5435,22.8261,13.0435,Livingstone,1248.0
0.711,3.0812,24.0896,11.2045,Ivory,1239.0
0.939,0.0,29.5082,12.0219,Livingstone,1011.0
1.12,3.481,18.038,16.1392,Ivory,830.0
1.18,1.5707,31.9372,8.9005,Livingstone,770.0
1.375,4.7739,13.8191,20.1005,Ivory,575.0
1.422,0.6452,34.1935,15.4839,Livingstone,528.0
1.554,0.0,26.6026,8.0128,Ivory,396.0
1.612,5.178,14.5631,20.3883,Ivory,338.0
1.661,5.9172,15.9763,13.3136,Ivory,289.0
1.665,3.7037,12.5,20.8333,Livingstone,285.0
1.698,6.5625,9.6875,15.0,Ivory,252.0
1.722,8.2781,6.2914,16.5563,Ivory,228.0
1.77,7.0968,5.8065,13.5484,Ivory,180.0
1.897,10.3448,6.8966,5.7471,Livingstone,53.0
1.917,10.4918,5.9016,8.5246,Ivory,33.0
2.142,12.1622,6.7568,19.8198,Livingstone,-192.0
2.382,4.6392,4.1237,10.8247,Livingstone,-432.0
2.562,11.0465,3.1977,14.5349,Ivory,-612.0
2.614,11.0465,1.7442,10.4651,Livingstone,-664.0
2.855,16.7665,9.5808,11.3772,Livingstone,-905.0
3.054,7.2555,6.3091,20.8202,Ivory,-1104.0
3.093,16.0338,5.0633,15.1899,Livingstone,-1143.0
3.332,14.2012,5.3254,15.9763,Livingstone,-1382.0
3.429,14.2012,4.4379,9.4675,Ivory,-1479.0
3.57,16.1458,4.6875,10.4167,Livingstone,-1620.0
3.807,7.5145,6.9364,4.0462,Livingstone,-1857.0
4.043,1.6949,7.9096,4.5198,Livingstone,-2093.0
4.282,12.3867,4.8338,15.1057,Ivory,-2332.0
4.283,18.9873,1.2658,1.2658,Livingstone,-2333.0
4.757,25.4545,5.9091,2.7273,Livingstone,-2807.0
4.991,19.5,3.0,4.0,Livingstone,-3041.0
5.184,21.7391,2.8986,1.7391,Ivory,-3234.0
5.225,15.8416,2.9703,1.9802,Livingstone,-3275.0
5.396,13.2075,1.5723,12.8931,Ivory,-3446.0
5.46,22.0238,3.5714,7.1429,Livingstone,-3510.0
5.822,11.33,2.4631,4.9261,Livingstone,-3872.0
5.927,15.2542,3.6723,4.2373,Ivory,-3977.0
6.116,10.3333,1.6667,2.6667,Ivory,-4166.0
6.246,5.7143,5.1429,0.5714,Livingstone,-4296.0
6.304,15.8392,1.4184,3.5461,Ivory,-4354.0
6.664,11.0429,8.589,1.227,Livingstone,-4714.0
7.087,23.0337,7.8652,2.809,Livingstone,-5137.0
7.169,12.0521,4.2345,1.9544,Ivory,-5219.0
7.491,8.9385,8.3799,2.2346,Livingstone,-5541.0
7.911,8.1395,15.1163,0.0,Livingstone,-5961.0
8.33,5.4545,7.2727,3.0303,Livingstone,-6380.0
8.37,11.5894,5.9603,1.3245,Ivory,-6420.0
8.746,10.9677,5.8065,1.2903,Livingstone,-6796.0
9.155,0.6711,5.3691,0.3356,Livingstone,-7205.0
9.57,5.0676,4.3919,0.0,Livingstone,-7620.0
9.985,5.3476,9.6257,0.0,Livingstone,-8035.0
10.019,4.7297,9.4595,0.0,Ivory,-8069.0
10.407,2.8902,12.1387,0.0,Livingstone,-8457.0
10.812,9.3168,21.118,0.0,Livingstone,-8862.0
10.866,12.3333,5.0,0.3333,Ivory,-8916.0
11.23,8.8757,8.8757,0.5917,Livingstone,-9280.0
11.654,4.0816,27.2109,0.0,Livingstone,-9704.0
11.869,8.5366,23.1707,0.0,Ivory,-9919.0
12.071,16.4894,4.2553,0.0,Livingstone,-10121.0
