age_ka_bp,charcoal_acc_rate_n_per_cm2_yr,year_ce
0.367,0.5785,1583.0
0.391,0.5856,1559.0
0.413,0.7949,1537.0
0.432,1.1261,1518.0
0.452,0.6078,1498.0
0.477,1.1162,1473.0
0.505,0.496,1445.0
0.533,0.7348,1417.0
0.562,0.8873,1388.0
0.581,0.7124,1369.0
0.612,1.1486,1338.0
0.65,2.7545,1300.0
0.664,5.1578,1286.0
0.676,3.1856,1274.0
0.691,1.5915,1259.0
0.711,2.2452,1239.0
0.73,2.9012,1220.0
0.747,1.4558,1203.0
0.762,2.2755,1188.0
0.777,1.6262,1173.0
0.796,1.0456,1154.0
0.816,1.6276,1134.0
0.836,1.8333,1114.0
0.859,0.6527,1091.0
0.885,0.8576,1065.0
0.907,0.7503,1043.0
0.924,1.2396,1026.0
0.943,1.6449,1007.0
0.956,1.472,994.0
0.97,1.3025,980.0
0.986,1.1734,964.0
1.007,1.1283,943.0000000000001
1.023,1.2306,927.0000000000001
1.042,1.7833,908.0
1.059,2.4109,891.0
1.074,1.6242,876.0
1.091,0.6944,859.0
1.112,2.9117,838.0
1.128,1.3157,822.0
1.147,1.2291,803.0
1.165,2.7047,785.0
1.182,0.1918,768.0
1.2,2.7396,750.0
1.214,1.522,736.0
1.234,0.9518,716.0
1.253,1.1516,697.0
1.273,2.6318,677.0
1.29,0.7789,660.0
1.31,1.053,640.0
1.331,0.8067,619.0
1.352,2.1698,598.0
1.366,3.2574,584.0
1.383,1.9157,567.0
1.397,2.051,553.0
1.415,1.0442,535.0
1.433,1.9708,517.0
1.45,2.3545,500.0
1.471,2.743,479.0
1.487,1.6111,463.0
1.505,1.4412,445.0
1.522,1.8244,428.0
1.543,4.1465,407.0
1.564,4.7399,386.0
1.579,2.0168,371.0
1.596,2.7812,354.0
1.612,3.25,338.0
1.63,2.6,320.0
1.65,2.9407,300.0
1.67,4.4981,280.0
1.689,1.7892,261.0
1.705,3.2571,245.0
1.717,6.4039,233.0
1.73,1.1186,220.0
1.746,0.2504,204.0
1.784,0.7761,166.0
1.81,0.3366,140.0
1.84,0.2656,110.0
1.872,0.3653,78.0
1.902,1.1103,48.0
1.931,0.4122,19.0
1.965,0.3801,-15.0
2.004,0.2151,-54.0
2.044,0.197,-94.0
2.087,0.0945,-137.0
2.124,0.1233,-174.0
2.156,0.2065,-206.0
2.186,0.3056,-236.0
2.218,0.302,-268.0
2.253,0.2403,-303.0
2.29,0.2357,-340.0
2.329,0.1751,-379.0
2.36,0.0697,-410.0
2.396,0.1734,-446.0
2.439,0.098,-489.0
2.48,0.0932,-530.0
2.523,0.153,-573.0
2.562,0.5632,-612.0
2.597,0.3515,-647.0
2.629,0.0817,-679.0
2.666,0.251,-716.0
2.7,0.6734,-750.0
2.729,0.903,-779.0
2.759,0.2438,-809.0
2.788,0.2211,-838.0
2.819,0.1343,-869.0
2.853,0.2667,-903.0
2.89,0.4841,-940.0
2.928,0.4253,-978.0
2.966,0.1937,-1016.0
3.0,0.2876,-1050.0
3.026,0.4777,-1076.0
3.046,1.1808,-1096.0
3.063,0.6667,-1113.0
3.081,0.6847,-1131.0
3.099,0.4734,-1149.0
3.115,0.268,-1165.0
3.132,0.8294,-1182.0
3.149,0.9215,-1199.0
3.164,1.2116,-1214.0
3.179,0.3377,-1229.0
3.196,0.3787,-1246.0
3.211,0.7323,-1261.0
3.232,0.3767,-1282.0
3.251,0.1492,-1301.0
3.268,0.1636,-1318.0
3.287,0.3089,-1337.0
3.304,0.2885,-1354.0
3.32,0.2078,-1370.0
3.334,0.2516,-1384.0
3.35,1.3548,-1400.0
3.365,0.4373,-1415.0
3.384,0.5518,-1434.0
3.408,0.9762,-1458.0
3.429,0.2625,-1479.0
3.448,0.5804,-1498.0
3.467,0.2394,-1517.0
3.488,0.6039,-1538.0
3.504,1.3674,-1554.0
3.519,0.7433,-1569.0
3.533,0.5237,-1583.0
3.549,0.5557,-1599.0
3.567,0.3883,-1617.0
3.585,0.5474,-1635.0
3.607,0.2792,-1657.0
3.627,0.5999,-1677.0
3.648,0.2834,-1698.0
3.671,0.889,-1721.0
3.69,0.3785,-1740.0
3.708,0.4346,-1758.0
3.726,1.0345,-1776.0
3.743,0.2013,-1793.0
3.76,0.2538,-1810.0
3.78,0.1725,-1830.0
3.8,0.5709,-1850.0
3.816,0.3284,-1866.0
3.836,0.0879,-1886.0
3.853,0.1245,-1903.0
3.873,0.1073,-1923.0
3.892,0.0975,-1942.0
3.907,0.1413,-1957.0
3.925,0.1813,-1975.0
3.941,0.0794,-1991.0
3.954,0.1314,-2004.0
3.973,0.7158,-2023.0
3.993,0.2436,-2043.0
4.014,0.372,-2064.0000000000005
4.03,0.2511,-2080.0000000000005
4.052,0.1613,-2101.9999999999995
4.07,0.2294,-2120.0000000000005
4.088,0.4152,-2138.0
4.104,0.4032,-2154.0
4.118,1.0101,-2168.0
4.134,0.4335,-2184.0
4.149,1.3789,-2199.0
4.168,0.1475,-2218.0
4.189,0.1476,-2239.0
4.209,0.7264,-2259.0
4.23,0.3587,-2280.0
4.251,0.2338,-2301.0
4.268,0.1868,-2318.0
4.284,0.2823,-2334.0
4.298,0.3533,-2348.0
4.312,0.1784,-2362.0
4.326,0.8675,-2376.0
4.34,1.0359,-2390.0
4.355,0.5288,-2405.0
4.374,0.2983,-2424.0
4.411,0.208,-2461.0
4.445,0.3445,-2495.0
4.478,0.2386,-2528.0
4.518,0.2015,-2568.0
4.56,0.1628,-2610.0
4.616,0.0674,-2666.0
4.668,0.0933,-2718.0
4.71,0.3294,-2760.0
4.753,0.1793,-2803.0
