intensidad_mw_mm2,power_sin_craneo_nw_mean,power_sin_craneo_nw_std,power_con_craneo_nw_mean,power_con_craneo_nw_std
0,0,0,0,0
4.29906542,0.036831415,0.014257268,0.032802004,0.01755623
8.97196262,0.092029974,0.025870503,0.08856624,0.028688245
10.9345794,0.120353263,0.027457706,0.110000129,0.028885788
14.1495327,0.164446605,0.032740466,0.1524197,0.036928458
16,0.18418407,0.015209609,0.181405968,0.037082062
19.3037383,0.216402518,0.052358081,0.211545384,0.037409181
24.5981308,0.276741763,0.073820954,0.265646136,0.038060801
27.1214953,0.312294388,0.070158755,0.300430464,0.034686726
33.088785,0.381928316,0.027786041,0.344084784,0.032677493
46.0611215,0.5450845,0.058347813,0.482121783,0.019280458
