tiempo,replica,sweds_por_mm2
1_dia,1,664.3607644
1_dia,2,693.1580007
1_dia,3,890.1253283
1_semana,1,1127.286605
1_semana,2,1051.799856
1_semana,3,662.477884
1_mes,1,752.6379976
1_mes,2,581.8311067
1_mes,3,1067.488921
6_meses,1,853.8420768
6_meses,2,1040.688705
