anio,fertilizante_molH_ha,estiercol_molH_ha,deposicion_N_molH_ha,deposicion_S_molH_ha,mineralizacion_N_suelo_molH_ha,fijacion_biologica_N_molH_ha,acidez_total_molH_ha,acidez_total_sd_molH_ha,cal_alcalinidad_mol_ha,cal_alcalinidad_sd_mol_ha,exceso_acidez_molH_ha,acidez_acumulada_Tmol,exceso_acidez_acumulado_Tmol,fraccion_acidez_neutralizada_acum
1992,496.8166514859225,244.5527936577764,207.3950431455317,372.7463989652745,83.04355251203434,173.4753565401271,1578.029796306666,108.5971971077748,717.2262053302782,77.265632026182,860.8035909763883,29.09075292347927,14.17155064302391,0.5128503315022148
1993,470.9841719009107,245.5983930013205,208.1053061769927,368.1126919256599,82.67944043170021,171.6660223453545,1547.146025781939,106.0781329050114,618.1649873140171,67.59283414081867,928.9810384679214,29.5919664573825,14.472503404728661,0.510931339234534
1994,532.7366286218582,266.2409565891166,208.5655066438718,358.5707401897554,82.315328368317,172.2882241892863,1620.717384602206,111.6211227630991,678.0020926147233,75.24771760110256,942.7152919874823,30.117014173795898,14.77790551615693,0.5093170448146608
1995,482.8488692057464,261.9436988747603,201.7751999789668,314.6139721140153,81.58710449671223,166.0297571864346,1508.798601856636,101.7352105296143,717.0466174216364,80.77477008468975,791.7519844349994,30.60580467358251,15.0344015439918,0.508772871540647
1996,529.9075057378103,257.7863809840879,206.5186925406771,322.1874654752305,80.49476805611539,171.7710626343224,1568.665875428243,106.2383386693704,710.1756202085351,81.20076828881575,858.4902552197084,31.1139897794709,15.312518106662528,0.5078574552735196
1997,530.2975108737871,254.1821896282717,207.4661532060667,335.201571702699,79.03831990963677,167.6882223271994,1573.873967647661,106.8374064998954,696.0744422497079,80.78228089908872,877.7995253979528,31.6238620992762,15.59689010184051,0.5067999584339994
1998,546.5395143105574,250.5381892990403,204.6464143723534,341.9574101464189,77.94598388375913,165.6787270783062,1587.306239090435,109.9705238374889,738.8176568643859,87.02894723338297,848.4885822260491,32.138085938670464,15.87176652183397,0.5061384006464398
1999,537.2448753342211,258.1028727172602,200.2143791637834,335.2445359449085,77.03570409578677,165.6603287871203,1573.50269604308,109.8726899511596,717.2262053302782,85.75286843732016,856.2764907128021,32.64783798130096,16.14916591320138,0.5053526692196035
2000,538.767722871323,252.8955316012239,197.8042568292142,321.4738016251073,76.67159158273384,168.9628629163159,1556.575767425918,109.0406429051128,697.573094086754,84.6541532930398,859.002673339164,33.15210637496172,16.42744847888166,0.5044825118174525
2001,487.397784146273,228.0681105604756,175.6457351311862,285.8821597323509,76.12542398277076,167.4251472272379,1420.544360780294,97.60487178022098,699.599736410317,86.17359832936688,720.9446243699773,33.612306024683306,16.66100574943496,0.5043182774427948
2002,512.7181164841983,257.6033643450303,205.89706194962,271.1795770002463,75.03308755526666,167.723881037778,1490.15508837214,99.35866898986217,698.0081945541068,87.267222737536,792.1468938180329,34.09505677054739,16.91762971214096,0.5038098975463492
2003,534.7501003931023,235.7134039439089,201.7190837471445,287.9125978101826,74.30486358181032,164.0850398445453,1498.485089320694,102.1733246075811,738.7283470315841,93.74355965137478,759.7567422891099,34.58050610409697,17.16376055910938,0.5036579132924873
2004,561.7782271604882,236.9345300736241,187.4649109936161,278.8905353250124,73.21252767237527,157.5607861660119,1495.841517391128,103.2195774379763,628.7569331964893,80.9851713355911,867.0845841946385,35.06509902590075,17.44466134119138,0.5025064287339981
2005,537.5157589182736,234.4936483557803,176.7552314055425,285.3885763678526,71.0278552977416,150.1269300840689,1455.30800042926,100.6298701042504,705.1879454986931,92.19208568587445,750.1200549305665,35.53656070673605,17.68767028625423,0.5022683699691437
2006,526.0650541103574,275.9575915316975,160.1648801723862,248.4539744730263,68.29701522114667,140.7859601928541,1419.724475701468,95.34084151126605,683.0834529582396,90.64180955076296,736.6410227432289,35.99649474643059,17.926312563114053,0.5019983837484174
2007,592.698064155015,273.6268560991208,156.391530194182,244.5068921709901,66.65851073480002,135.8347263862426,1469.716579740351,99.89450027761912,729.1380299758979,98.2043207906039,740.5785497644528,36.47262423161964,18.166230441500982,0.5019214870271961
2008,563.8482695251474,239.2942279081218,156.2498138269432,228.1554221242622,65.93028689880752,130.868760676801,1384.346780960083,95.43189188523549,813.970290963253,111.2744462888663,570.3764899968302,36.92109731087012,18.351009648791482,0.5029668404955924
2009,516.3167007223072,245.7730227693744,145.1287387578754,192.0601659039554,65.38411863201178,123.9000454529767,1288.562792238501,88.10382959972858,904.6451003060738,125.5252701599414,383.9176919324268,37.338540202485774,18.4753836509185,0.5051926628430827
