anio,caudal_km3,flujo_HCO3_TgC,flujo_HCO3_rellenado_TgC,HCO3_mgC_L,exceso_HCO3_TgC,exceso_HCO3_sd_TgC
2005,524.2,15.1,15.1,28.8,4.88076923076923,2.3180136482936056
2006,414.3,11.6,11.6,27.9,1.3807692307692303,1.8447386916427249
2007,522.6,15.6,15.6,29.8,5.38076923076923,2.459186416133683
2008,757.7,21.2,21.2,28.0,10.98076923076923,3.191057737359774
2009,731.9,21.2,21.2,29.0,10.98076923076923,3.227412996165448
2010,681.9,23.4,23.4,34.3,13.18076923076923,3.615120487395313
2011,751.9,22.5,22.5,30.0,12.28076923076923,3.447893552048232
2012,406.4,11.9,11.9,29.2,1.680769230769231,1.826150732225704
2013,627.9,15.2,15.2,24.3,4.98076923076923,2.3994168981773862
2014,564.2,14.7,14.7,26.1,4.48076923076923,2.2784937561649232
2015,677.9,17.9,17.9,26.4,7.680769230769229,2.7386538248024164
