anio,P_solo_acidez_MtCO2,P_acidez_mas_cal_MtCO2,PET_solo_acidez_MtCO2,PET_acidez_mas_cal_MtCO2,solo_acidez_incert_min_MtCO2,solo_acidez_incert_max_MtCO2,acidez_mas_cal_incert_min_MtCO2,acidez_mas_cal_incert_max_MtCO2,IPCC_cal_MtCO2,IPCC_cal_sd_MtCO2,EEUU_cal_MtCO2,EEUU_cal_sd_MtCO2
1900,1.7856246765786,1.80539485477838,1.24062750793587,1.24889708618758,1.0733419830669,2.03954449666176,1.07347775369468,2.06491092860277,0.0260077619808719,0.0058112460365718,0.0127907026135435,0.0028579898540517
1901,2.59542286498728,2.61825529549245,1.71091482052347,1.73437522214405,1.46703789660483,2.98299388839121,1.48705763683569,3.00913801484729,0.0260077619808719,0.0057253655448869,0.0127907026135435,0.0028157535466657
1902,3.46926173477653,3.48657272725037,2.25127005414657,2.2739618866219,1.92568968403906,3.98488103635989,1.94230905401755,4.00572989488629,0.0260077619808719,0.0056407542463891,0.0127907026135435,0.0027741414326504
1903,4.03833942618072,4.05076571711075,2.83251311295719,2.85234113988434,2.41341858113042,4.63310410196117,2.43186107545306,4.64556997019446,0.0260077619808719,0.0055573933571204,0.0127907026135435,0.0027331442739936
1904,4.42554202141483,4.43155263384056,2.79097352423838,2.80905272894042,2.382326997784,5.06230960164658,2.39895311485894,5.06980670843068,0.0260077619808719,0.0054752643680521,0.0127907026135435,0.0026927529678944
1905,5.44483346859878,5.44378421962529,3.79000761333869,3.8027806304739,3.23216877626151,6.22400888133903,3.24624002655656,6.2243840742091,0.0260077619808719,0.0053943491290511,0.0127907026135435,0.0026529585880579
1906,5.58869227671848,5.71091221529805,3.62328821127439,3.77765592687296,3.10643712955591,6.37653004369604,3.22594428118654,6.52364714972002,0.170560387403154,0.0348536449389622,0.083882157739256,0.0171411368552273
1907,5.83633429742027,5.92816961862085,3.6761836773411,3.80137356622151,3.16040728208711,6.6548209957923,3.25875234857747,6.76462227336885,0.156316151154261,0.0314708041668999,0.0768767956496368,0.0154774446722458
1908,6.25522530599401,6.35545334930843,4.27417230557193,4.42633677269182,3.67113150248608,7.13756668047505,3.79564443283655,7.2580106874176,0.190080266898004,0.037702919190342,0.0934820984744281,0.0185424192739387
1909,6.80670283522347,6.97529874251485,4.72422559919393,4.97722996402465,4.07429198995045,7.75298268650295,4.27792355784657,7.9548220876575,0.318805963559364,0.0623014764253394,0.156789818143949,0.0306400703731177
1910,6.17351129708505,6.31908402877655,3.40183132023974,3.65944402015711,2.95042079256182,7.02358217229595,3.15792158723884,7.19712610111955,0.307199548407837,0.0591461434475932,0.151081745118608,0.0290882672693081
1911,7.34717666740755,7.45591462705365,5.34375659425359,5.60113286721525,4.63373187283335,8.35223048242085,4.84228765268209,8.48134137261835,0.365605908628919,0.0693510466953085,0.179806184571599,0.0341070721452337
1912,7.0760041190276,7.15528103233905,4.48968466312482,4.76879123976382,3.89100836973287,8.0295420064848,4.11642884567681,8.1228256781299,0.368243731754014,0.0688191237466588,0.181103474633122,0.0338454706950781
1913,6.9337896114507,7.02480675423725,4.90145054024998,5.19740934113197,4.25376076724656,7.8575888802558,4.49362334701891,7.9638276108121,0.41281328527224,0.0760083663495414,0.203022927183069,0.037381163778463
1914,7.1705882361901,7.313733984787,4.84971361106792,5.23337662695964,4.2185837679321,8.12024496545085,4.53057462497356,8.2879627274236,0.510139279164432,0.0925402042167868,0.250888170080868,0.0455115758443213
1915,8.4094774634964,8.3968129288985,6.20146100261792,6.51374738257169,5.37680297176673,9.51991140572575,5.63224750977929,9.517298363668,0.505391201574048,0.0903240337152848,0.248553049954449,0.0444216559255499
1916,7.79934175688705,7.87914489179,5.5383858516886,5.94398327543609,4.84356994648122,8.80506145323915,5.17560885198422,8.89536764455795,0.633215583986802,0.111496491172953,0.311417500321378,0.0548343399211248
1917,7.52940300163675,7.4390720637761,5.75713796814389,5.99230970249869,5.02858627704596,8.49343498957655,5.22238647559826,8.42779519880825,0.468715848703043,0.0813117301153257,0.230515991165431,0.0399893754665536
1918,8.64376945234715,8.43681625731635,6.91576615226202,7.10409006564981,6.05331509399405,9.7468543713981,6.21598956751003,9.5874472005702,0.526120024123712,0.0899212535071227,0.258747552847727,0.0442235672985849
1919,9.11227843786065,8.95159448102255,7.78892733956505,8.04753245986876,6.8093595624312,10.2831978750392,7.01237331264366,10.162391815143,0.651969415448171,0.109783911622652,0.320640696122051,0.0539920876832718
1920,9.1243956747175,8.8448452270634,7.02723977543525,7.241649240395,6.14367792201859,10.281403273252,6.32556277421463,10.0632337906455,0.609764267267724,0.101159670206053,0.299884065869372,0.049750657478387
1921,8.6586212458922,8.3221025425289,6.25031687012685,6.4026634076289,5.49766196540934,9.7388278043634,5.62492797648665,9.4725283090928,0.578110407170556,0.0944909427976657,0.284316593690437,0.0464709554742618
1922,9.3495427667281,8.778661412860849,8.5087719350477,8.29769207922565,7.4620942694066,10.5107483170429,7.19200932075863,10.0485372626164,0.417268705030838,0.0671937944568642,0.20521411722828,0.0330461284214086
1923,9.3304324951374,8.82362392978145,8.1756279945691,8.01843845804525,7.1790783728921,10.4804142058463,6.97731619432701,10.0695025082264,0.400914211186772,0.0636060988116294,0.197170923534478,0.0312816879401456
1924,8.7062791246403,8.33352338185965,6.84300416987975,6.8645476167017,6.02820737013841,9.75717248229115,6.03297745774137,9.45775874289755,0.509118722263395,0.0795793406242592,0.25038625685085,0.0391373806348815
1925,9.29767246587609,9.04247706476285,7.10385715505315,7.2692768465587,6.26478846120045,10.4066234815972,6.41328771901915,10.2065732206509,0.68955338026247,0.106189876957096,0.339124613243837,0.0522245296510311
1926,9.6240917371509,9.2880067122025,7.39519190329565,7.48567746853455,6.54342434743505,10.7558779005237,6.616491564306,10.4875277165864,0.68955338026247,0.104620567861532,0.339124613243837,0.051452738292557
1927,10.2481735041915,9.844018906376,9.55667591220345,9.39698550503545,8.43103829407085,11.4471761426796,8.219245202688,11.1222087404089,0.753269425156342,0.112598727712009,0.370460373027709,0.0553764234649226
1928,9.60978707851175,9.2830085796932,8.14397675385365,8.16027919293865,7.21490923103015,10.7185799548965,7.20583961243975,10.4569226300964,0.758545067683301,0.111711655042275,0.373054951319656,0.0549401582175125
1929,9.89165943217825,9.5905304181212,9.06114268196934,9.06337050447265,8.04108794722025,11.020730477859,8.00712415251115,10.7809008792461,0.865767525358502,0.125618136983044,0.425787307553361,0.0617794116310054
1930,8.830860979589,8.7586152308422,6.54508354959455,6.9410420337766,5.80342952311395,9.8326097779732,6.14706179883065,9.78654161478505,0.867350214606469,0.123987957403575,0.426565679314657,0.0609776839689715
1931,9.8748939823466,9.259702838458,7.85144437508765,7.7532292321229,6.96765710897285,10.9854117494706,6.82822573577025,10.4756503579102,0.533386681723619,0.0751209617173555,0.262321318880468,0.0369447352708305
1932,9.9988963642088,9.20343280666915,8.05895436070865,7.76633845191165,7.1704132456162,11.1129639772113,6.80670965845635,10.4468084240187,0.376669333391311,0.0522652691837965,0.185247213143267,0.0257042307461294
