construct,replica,senal
no cage,1,0.55
HE0902,1,0.62
HE0916,1,0.38
HE0918,1,0.33
HE0917,1,0.49
HE0919,1,0.66
HE0900,1,0.45
HE0899,1,0.45
HE0930,1,0.81
HE0915,1,0.54
HE0897,1,0.66
HE0898,1,1.32
HE0935,1,1.06
HE0920,1,0.83
HE0908,1,2.09
HE0482,1,0.04
HE0485,1,0.27
HE0537,1,2.42
HE0492,1,0.19
HE0513,1,0.67
HE0497,1,0.25
HE0517,1,1.05
HE0489,1,1.08
HE0502,1,1.72
HE0501,1,2.62
HE0521,1,2.8
HE0499,1,3.75
HE0490,1,6.75
HE0505,1,8.97
HE0639,1,2.05
HE0657,1,2.27
HE0662,1,1.44
HE0625,1,2.36
HE0644,1,3.39
HE0621,1,3.02
HE0626,1,2.93
HE0633,1,4.48
HE0620,1,2.08
HE0649,1,6.24
HE0690,1,10.99
no cage,2,0.42
HE0902,2,0.97
HE0916,2,0.36
HE0918,2,0.36
HE0917,2,0.4
HE0919,2,0.42
HE0900,2,0.54
HE0899,2,0.41
HE0930,2,0.83
HE0915,2,0.74
HE0897,2,0.73
HE0898,2,1.21
HE0935,2,1.51
HE0920,2,0.99
HE0908,2,1.27
HE0482,2,0.06
HE0485,2,0.37
HE0537,2,3.22
HE0492,2,0.31
HE0513,2,0.75
HE0497,2,1.44
HE0517,2,1.26
HE0489,2,1.41
HE0502,2,2.06
HE0501,2,2.85
HE0521,2,2.72
HE0499,2,4.93
HE0490,2,7.49
HE0505,2,10.1
HE0639,2,1.75
HE0657,2,1.18
HE0662,2,2.46
HE0625,2,3.54
HE0644,2,3.65
HE0621,2,3.33
HE0626,2,3.47
HE0633,2,4.15
HE0620,2,3.13
HE0649,2,5.13
HE0690,2,9.82
no cage,3,0.55
HE0902,3,1.09
HE0916,3,0.34
HE0918,3,0.47
HE0917,3,0.46
HE0919,3,0.44
HE0900,3,0.81
HE0899,3,0.44
HE0930,3,0.84
HE0915,3,1.22
HE0897,3,1.54
HE0898,3,1.57
HE0935,3,1.46
HE0920,3,1.56
HE0908,3,5.26
HE0482,3,0.09
HE0485,3,0.52
HE0537,3,3.04
HE0492,3,0.26
HE0513,3,0.62
HE0497,3,1.52
HE0517,3,1.18
HE0489,3,1.37
HE0502,3,1.62
HE0501,3,2.74
HE0521,3,3.76
HE0499,3,4.56
HE0490,3,8.29
HE0505,3,10.32
HE0639,3,2.07
HE0657,3,2.21
HE0662,3,2.93
HE0625,3,3.98
HE0644,3,3.73
HE0621,3,3.57
HE0626,3,3.44
HE0633,3,4.02
HE0620,3,5.72
HE0649,3,4.27
HE0690,3,10.72
no cage,4,0.37
HE0902,4,1.29
HE0916,4,0.32
HE0918,4,0.59
HE0917,4,0.51
HE0919,4,0.49
HE0900,4,0.78
HE0899,4,1.04
HE0930,4,0.79
HE0915,4,1.31
HE0897,4,1.39
HE0898,4,1.77
HE0935,4,1.62
HE0920,4,1.8
HE0908,4,5.83
HE0482,4,0.07
HE0485,4,0.41
HE0537,4,2.66
HE0492,4,0.18
HE0513,4,0.56
HE0497,4,1.09
HE0517,4,1.25
HE0489,4,1.18
HE0502,4,1.83
HE0501,4,2.84
HE0521,4,3.4
HE0499,4,4.74
HE0490,4,7.82
HE0505,4,8.66
HE0639,4,1.64
HE0657,4,2.04
HE0662,4,2.7
HE0625,4,3.9
HE0644,4,3.74
HE0621,4,4.23
HE0626,4,4.57
HE0633,4,4.38
HE0620,4,6.53
HE0649,4,5.15
HE0690,4,9.78
no cage,5,0.35
HE0902,5,0.93
HE0916,5,0.41
HE0918,5,0.53
HE0917,5,0.59
HE0919,5,0.73
HE0900,5,0.58
HE0899,5,0.78
HE0930,5,0.89
HE0915,5,1.33
HE0897,5,1.3
HE0898,5,1.48
HE0935,5,1.62
HE0920,5,1.71
HE0908,5,4.38
HE0482,5,0.08
HE0485,5,1.14
HE0537,5,3.33
HE0492,5,0.15
HE0513,5,0.54
HE0497,5,1.24
HE0517,5,1.22
HE0489,5,1.69
HE0502,5,1.66
HE0501,5,2.4
HE0521,5,3.88
HE0499,5,2.55
HE0490,5,7.29
HE0505,5,7.75
HE0639,5,1.75
HE0657,5,2.48
HE0662,5,2.85
HE0625,5,3.46
HE0644,5,3.12
HE0621,5,3.97
HE0626,5,4.19
HE0633,5,3.76
HE0620,5,5.25
HE0649,5,5.28
HE0690,5,11.16
no cage,6,0.31
HE0902,6,1.11
HE0916,6,0.39
HE0918,6,0.76
HE0917,6,0.62
HE0919,6,0.72
HE0900,6,0.7
HE0899,6,0.81
HE0930,6,0.83
HE0915,6,1.33
HE0897,6,1.16
HE0898,6,1.31
HE0935,6,1.49
HE0920,6,2.08
HE0908,6,4.96
HE0482,6,0.11
HE0485,6,0.4
HE0537,6,2.84
HE0492,6,0.05
HE0513,6,0.93
HE0497,6,1.43
HE0489,6,1.19
HE0502,6,2.18
HE0501,6,3.66
HE0521,6,5.93
HE0499,6,3.0
HE0490,6,7.51
HE0505,6,11.61
HE0639,6,1.75
HE0657,6,2.22
HE0662,6,2.43
HE0625,6,3.52
HE0644,6,3.13
HE0621,6,3.38
HE0626,6,4.45
HE0633,6,3.46
HE0620,6,4.58
HE0649,6,4.87
HE0690,6,12.12
