pretratamiento,replica,entrega_arn_rel
PBS,1,95.7953
PBS,2,102.3094
PBS,3,136.7409
PBS,4,88.8091
PBS,5,74.3987
PBS,6,91.0329
suero,1,93.473
suero,2,81.2248
suero,3,88.4429
suero,4,83.7126
suero,5,107.5985
suero,6,100.031
sangre completa,1,133.6985
sangre completa,2,116.2138
sangre completa,3,122.1297
sangre completa,4,96.5673
sangre completa,5,78.5017
sangre completa,6,74.4817
