construct,replica,senal
no cage,1,0.03
HE0902,1,0.7
HE0915,1,0.01
HE0917,1,0.1
HE0897,1,0.06
HE0920,1,0.15
HE0899,1,0.07
HE0930,1,0.52
HE0908,1,0.17
HE0898,1,0.55
HE0900,1,0.41
HE0485,1,0.01
HE0482,1,0.02
HE0537,1,0.41
HE0492,1,0.0
HE0497,1,0.06
HE0489,1,0.12
HE0499,1,0.14
HE0521,1,0.21
HE0502,1,0.48
HE0513,1,0.46
HE0501,1,0.57
HE0517,1,0.54
HE0490,1,0.66
HE0505,1,1.19
HE0620,1,0.08
HE0644,1,0.18
HE0657,1,0.16
HE0662,1,0.17
HE0625,1,0.29
HE0626,1,0.32
HE0649,1,0.49
HE0639,1,0.46
HE0621,1,0.49
HE0633,1,0.91
HE0690,1,0.56
no cage,2,0.02
HE0902,2,0.92
HE0916,2,0.01
HE0915,2,0.01
HE0918,2,0.01
HE0919,2,0.03
HE0917,2,0.01
HE0897,2,0.06
HE0920,2,0.06
HE0899,2,0.06
HE0930,2,0.18
HE0935,2,0.31
HE0908,2,0.25
HE0898,2,0.37
HE0900,2,0.5
HE0485,2,0.01
HE0482,2,0.02
HE0537,2,0.46
HE0492,2,0.0
HE0497,2,0.08
HE0489,2,0.16
HE0499,2,0.2
HE0521,2,0.27
HE0502,2,0.5
HE0513,2,0.48
HE0501,2,0.68
HE0517,2,0.65
HE0490,2,0.76
HE0505,2,1.18
HE0620,2,0.11
HE0644,2,0.16
HE0657,2,0.1
HE0662,2,0.26
HE0625,2,0.34
HE0626,2,0.3
HE0649,2,0.39
HE0639,2,0.33
HE0621,2,0.43
HE0633,2,0.7
HE0690,2,0.65
no cage,3,0.02
HE0902,3,1.24
HE0916,3,0.01
HE0915,3,0.02
HE0918,3,0.01
HE0919,3,0.02
HE0917,3,0.01
HE0897,3,0.1
HE0920,3,0.08
HE0899,3,0.08
HE0930,3,0.16
HE0935,3,0.26
HE0908,3,0.5
HE0898,3,0.61
HE0900,3,0.79
HE0485,3,0.02
HE0482,3,0.03
HE0537,3,0.53
HE0492,3,0.0
HE0497,3,0.09
HE0489,3,0.17
HE0499,3,0.25
HE0521,3,0.28
HE0502,3,0.51
HE0513,3,0.47
HE0501,3,0.63
HE0517,3,0.64
HE0490,3,0.83
HE0505,3,1.24
HE0620,3,0.22
HE0644,3,0.18
HE0657,3,0.2
HE0662,3,0.34
HE0625,3,0.44
HE0626,3,0.37
HE0649,3,0.39
HE0639,3,0.51
HE0621,3,0.48
HE0633,3,0.9
HE0690,3,0.65
no cage,4,0.01
HE0902,4,1.2
HE0916,4,0.02
HE0915,4,0.03
HE0918,4,0.06
HE0919,4,0.03
HE0917,4,0.22
HE0897,4,0.11
HE0920,4,0.13
HE0899,4,0.15
HE0930,4,0.19
HE0935,4,0.32
HE0908,4,0.35
HE0898,4,0.59
HE0900,4,0.75
HE0485,4,0.01
HE0482,4,0.02
HE0537,4,0.45
HE0492,4,0.0
HE0497,4,0.07
HE0489,4,0.13
HE0499,4,0.21
HE0521,4,0.22
HE0502,4,0.5
HE0513,4,0.44
HE0501,4,0.63
HE0517,4,0.57
HE0490,4,0.77
HE0505,4,1.16
HE0620,4,0.22
HE0644,4,0.18
HE0657,4,0.2
HE0662,4,0.33
HE0625,4,0.5
HE0626,4,0.47
HE0649,4,0.42
HE0639,4,0.3
HE0621,4,0.53
HE0633,4,0.79
HE0690,4,0.6
no cage,5,0.01
HE0902,5,0.98
HE0916,5,0.01
HE0915,5,0.02
HE0918,5,0.03
HE0919,5,0.03
HE0917,5,0.08
HE0897,5,0.08
HE0920,5,0.1
HE0899,5,0.12
HE0930,5,0.27
HE0935,5,0.34
HE0908,5,0.26
HE0898,5,0.48
HE0900,5,0.53
HE0485,5,0.01
HE0482,5,0.03
HE0537,5,0.51
HE0492,5,0.0
HE0497,5,0.08
HE0489,5,0.18
HE0499,5,0.13
HE0521,5,0.3
HE0502,5,0.42
HE0513,5,0.43
HE0501,5,0.49
HE0517,5,0.58
HE0490,5,0.72
HE0505,5,1.02
HE0620,5,0.17
HE0644,5,0.13
HE0657,5,0.17
HE0662,5,0.26
HE0625,5,0.34
HE0626,5,0.36
HE0649,5,0.38
HE0639,5,0.33
HE0621,5,0.39
HE0633,5,0.64
HE0690,5,0.64
no cage,6,0.06
HE0902,6,0.96
HE0916,6,0.01
HE0915,6,0.02
HE0918,6,0.01
HE0919,6,0.02
HE0917,6,0.01
HE0897,6,0.08
HE0920,6,0.1
HE0899,6,0.26
HE0930,6,0.14
HE0935,6,0.27
HE0908,6,0.6
HE0898,6,0.39
HE0900,6,0.51
HE0485,6,0.01
HE0482,6,0.03
HE0537,6,0.5
HE0492,6,0.0
HE0497,6,0.08
HE0489,6,0.16
HE0499,6,0.17
HE0521,6,0.35
HE0502,6,0.46
HE0513,6,0.61
HE0501,6,0.67
HE0517,6,0.79
HE0490,6,1.02
HE0505,6,1.2
HE0620,6,0.16
HE0644,6,0.14
HE0657,6,0.19
HE0662,6,0.24
HE0625,6,0.38
HE0626,6,0.49
HE0649,6,0.43
HE0639,6,0.61
HE0621,6,0.43
HE0633,6,0.82
HE0690,6,0.71
