rna_binding_protein,replica,arn_liberado_rel
noRBP,1,0.5534
LS4,1,3.7648
PCP,1,6.4287
tdPCP,1,6.8634
noRBP,2,1.0982
LS4,2,2.379
PCP,2,6.7685
tdPCP,2,6.5555
noRBP,3,1.3158
LS4,3,2.6312
PCP,3,6.6887
tdPCP,3,4.4701
noRBP,4,1.7772
LS4,4,1.9661
PCP,4,3.6236
tdPCP,4,10.7612
noRBP,5,0.7499
LS4,5,1.3537
PCP,5,2.0603
tdPCP,5,7.3442
noRBP,6,0.9384
LS4,6,1.9545
PCP,6,3.3791
tdPCP,6,4.4877
