grupo,replica,pct_ascl1_pos
sin tratar,1,3.0303
sin tratar,2,5.4688
sin tratar,3,3.1056
sin tratar,4,6.1798
sin tratar,5,4.5045
sin tratar,6,6.0914
STV-C8 (ASCL1),1,29.6482
STV-C8 (ASCL1),2,31.2849
STV-C8 (ASCL1),3,25.0
STV-C8 (ASCL1),4,33.0769
