age_ka,co2_ppm
116.92,275.07
117.48,276.96
117.95,273.16
118.55,273.63
119.14,274.03
119.67,274.98
120.41,277.72
120.93,267.74
121.41,274.59
121.83,268.73
122.15,276.82
122.9,279.48
123.25,276.61
123.45,278.25
123.65,279.0
124.3,279.16
124.77,274.6
125.14,275.87
125.52,281.54
125.94,275.52
126.39,276.81
127.04,275.15
127.67,273.02
127.99,274.93
128.27,275.78
128.44,276.88
128.91,276.03
129.06,280.72
129.35,285.76
129.72,271.08
129.89,268.44
130.43,260.61
131.06,251.84
131.53,250.84
131.97,241.13
132.43,232.28
133.03,228.0
133.27,224.63
134.21,222.74
134.94,212.43
137.12,203.74
138.17,199.18
139.2,198.55
140.18,192.75
142.49,196.51
143.59,194.59
144.68,196.02
145.72,193.59
147.9,195.81
149.13,201.78
150.16,202.51
151.14,202.35
153.38,198.78
154.25,196.3
155.63,189.38
158.03,189.0
159.14,185.5
159.49,187.5
163.38,204.3
163.84,196.5
165.41,191.6
166.23,190.1
167.3,186.7
167.88,183.8
168.58,196.6
170.96,197.8
173.58,197.7
174.86,196.0
175.63,190.3
176.37,189.4
176.66,190.1
178.88,207.7
180.4,213.2
181.39,217.7
182.85,198.1
183.91,199.7
186.06,203.4
187.97,210.7
189.48,231.3
190.74,231.4
191.5,220.3
192.68,218.0
194.68,226.5
195.29,220.0
197.18,226.4
197.89,241.2
198.51,242.6
201.24,250.9
202.23,239.1
203.54,247.6
204.81,244.4
205.17,231.9
205.58,232.2
206.01,228.6
206.62,226.3
206.93,229.4
207.29,231.4
207.75,238.1
207.87,237.2
208.43,230.0
208.66,240.5
209.02,242.2
209.57,244.6
209.74,243.9
210.46,247.2
210.64,252.0
211.1,246.9
211.55,239.5
212.06,257.4
212.94,243.4
213.72,251.2
214.62,241.4
215.61,240.3
216.06,242.6
216.61,247.5
217.17,251.7
217.46,251.1
218.02,245.3
218.89,240.5
220.83,214.1
221.43,216.1
222.09,207.1
222.66,208.8
223.95,205.6
225.79,203.3
226.47,215.7
227.53,235.5
228.24,234.5
228.58,233.1
229.22,224.5
230.89,232.4
231.73,233.9
232.35,241.6
235.56,245.2
236.16,252.1
236.57,241.4
237.08,247.4
237.61,243.1
238.1,239.1
238.66,245.6
239.06,245.8
239.37,247.4
239.84,252.8
240.96,259.7
241.47,263.2
242.33,279.0
242.77,280.2
243.76,263.7
244.23,252.3
244.73,249.9
245.11,236.7
245.66,230.4
246.26,219.4
248.29,214.7
250.54,200.2
251.14,213.9
251.97,195.4
252.86,196.7
253.5,195.4
255.3,199.0
256.07,201.9
256.96,204.0
258.67,203.9
259.7,209.6
260.0,205.7
260.57,208.9
261.69,214.6
263.69,228.1
