participante_id,grupo,valencia,precision_percepcion,precision_comprension,precision_proyeccion
C000,control,sorprendente,0.666667,0.166667,0.5
C001,control,sorprendente,0.708333,0.166667,0.666667
C002,control,sorprendente,0.791667,0.166667,0.333333
C003,control,sorprendente,0.625,0.166667,0.833333
C004,control,sorprendente,0.583333,0.166667,0.666667
C005,control,sorprendente,0.708333,0.333333,0.5
C006,control,sorprendente,0.625,0.166667,0.166667
C007,control,sorprendente,0.625,0.166667,0.333333
C008,control,sorprendente,0.625,0.0,0.333333
C009,control,sorprendente,0.75,0.0,0.166667
C010,control,sorprendente,0.75,0.5,0.333333
C011,control,sorprendente,0.625,0.166667,0.333333
C012,control,sorprendente,0.666667,0.0,0.333333
C013,control,sorprendente,0.625,0.0,0.333333
C014,control,sorprendente,0.666667,0.166667,0.333333
C015,control,sorprendente,0.791667,0.5,0.333333
C016,control,sorprendente,0.625,0.166667,0.5
C017,control,sorprendente,0.75,0.5,0.5
C018,control,sorprendente,0.583333,0.666667,0.666667
C019,control,sorprendente,0.791667,0.333333,0.5
C020,control,sorprendente,0.791667,0.166667,0.333333
C021,control,sorprendente,0.708333,0.0,0.333333
C022,control,sorprendente,0.708333,0.166667,0.166667
C023,control,sorprendente,0.75,0.0,0.333333
C024,control,sorprendente,0.708333,0.166667,0.666667
C025,control,sorprendente,0.625,0.0,0.5
C026,control,sorprendente,0.708333,0.0,0.333333
C027,control,sorprendente,0.666667,0.166667,0.5
C028,control,sorprendente,0.666667,0.166667,0.666667
C029,control,sorprendente,0.75,0.333333,0.5
C030,control,sorprendente,0.708333,0.166667,0.5
C031,control,sorprendente,0.708333,0.0,0.5
C032,control,sorprendente,0.625,0.0,0.833333
C033,control,sorprendente,0.791667,0.0,0.5
C034,control,sorprendente,0.708333,0.333333,0.666667
C035,control,sorprendente,0.708333,0.333333,0.166667
C036,control,sorprendente,0.75,0.0,0.5
C037,control,sorprendente,0.75,0.333333,0.666667
C038,control,sorprendente,0.708333,0.166667,0.833333
C039,control,sorprendente,0.75,0.166667,0.833333
C040,control,sorprendente,0.708333,0.166667,0.333333
C041,control,sorprendente,0.708333,0.166667,0.333333
C042,control,sorprendente,0.625,0.0,0.333333
C043,control,sorprendente,0.791667,0.333333,0.333333
C044,control,sorprendente,0.708333,0.0,0.166667
C045,control,sorprendente,0.625,0.166667,0.0
C046,control,sorprendente,0.625,0.0,0.333333
C047,control,sorprendente,0.583333,0.0,0.166667
E000,experimental,sorprendente,1.0,1.0,1.0
E001,experimental,sorprendente,0.958333,0.166667,0.833333
E002,experimental,sorprendente,0.833333,0.333333,0.333333
E003,experimental,sorprendente,0.666667,0.166667,0.833333
E004,experimental,sorprendente,0.833333,0.666667,0.833333
E005,experimental,sorprendente,0.916667,0.333333,0.833333
E006,experimental,sorprendente,0.833333,0.333333,0.333333
E007,experimental,sorprendente,0.791667,0.166667,0.5
E008,experimental,sorprendente,0.958333,0.166667,0.666667
E009,experimental,sorprendente,1.0,0.166667,0.666667
E010,experimental,sorprendente,0.916667,0.666667,0.666667
E011,experimental,sorprendente,0.833333,0.166667,0.5
E012,experimental,sorprendente,0.916667,0.333333,0.666667
E013,experimental,sorprendente,0.625,0.333333,0.166667
E014,experimental,sorprendente,0.916667,0.833333,0.666667
E015,experimental,sorprendente,0.916667,0.5,0.5
E016,experimental,sorprendente,0.541667,0.5,0.666667
E017,experimental,sorprendente,0.708333,0.5,0.333333
E018,experimental,sorprendente,0.625,0.166667,0.666667
E019,experimental,sorprendente,0.75,0.333333,0.333333
E020,experimental,sorprendente,0.75,0.166667,0.833333
E021,experimental,sorprendente,0.791667,0.166667,0.666667
E022,experimental,sorprendente,0.916667,0.333333,0.833333
E023,experimental,sorprendente,0.958333,0.833333,0.666667
E024,experimental,sorprendente,0.875,0.666667,0.666667
E025,experimental,sorprendente,0.833333,0.333333,0.5
E026,experimental,sorprendente,0.875,0.666667,0.666667
E027,experimental,sorprendente,0.875,0.5,0.5
E028,experimental,sorprendente,0.541667,0.0,0.0
E029,experimental,sorprendente,0.708333,0.166667,0.666667
E030,experimental,sorprendente,0.916667,0.166667,0.333333
E031,experimental,sorprendente,0.791667,0.666667,0.5
E032,experimental,sorprendente,0.708333,0.5,0.5
E033,experimental,sorprendente,0.916667,0.5,0.5
E034,experimental,sorprendente,0.875,0.833333,0.666667
E035,experimental,sorprendente,0.791667,0.166667,0.0
E036,experimental,sorprendente,1.0,0.0,0.833333
E037,experimental,sorprendente,0.708333,0.166667,0.5
E038,experimental,sorprendente,0.5,0.166667,0.5
E039,experimental,sorprendente,0.916667,0.666667,0.666667
E040,experimental,sorprendente,0.583333,0.166667,0.333333
E041,experimental,sorprendente,0.958333,0.5,0.666667
E042,experimental,sorprendente,0.875,0.333333,0.666667
E043,experimental,sorprendente,0.916667,0.166667,0.5
E044,experimental,sorprendente,0.875,0.333333,0.166667
E045,experimental,sorprendente,0.916667,0.5,0.666667
E046,experimental,sorprendente,0.666667,0.333333,0.166667
E047,experimental,sorprendente,0.75,0.166667,0.5
E048,experimental,sorprendente,0.875,0.166667,0.666667
E049,experimental,sorprendente,0.875,0.166667,0.666667
