participante_id,grupo,escenario,delta_modelo_mental,delta_prediccion,categoria_modelo_mental,cambio_prediccion
X000,expertos,ASV,0.0,0.0,sin_cambio,sin_cambio
X001,expertos,ASV,8.0,0.0,mejoro,sin_cambio
X002,expertos,ASV,0.0,0.0,sin_cambio,sin_cambio
X003,expertos,ASV,0.0,0.0,sin_cambio,sin_cambio
X004,expertos,ASV,10.0,1.0,mejoro,sin_cambio
X005,expertos,ASV,2.0,1.0,mejoro,sin_cambio
X006,expertos,ASV,12.0,0.0,mejoro,sin_cambio
X007,expertos,ASV,14.0,11.0,mejoro,mejoro
X008,expertos,ASV,0.0,0.0,sin_cambio,sin_cambio
X000,expertos,BIKE,0.0,0.0,sin_cambio,sin_cambio
X001,expertos,BIKE,0.0,0.0,sin_cambio,sin_cambio
X002,expertos,BIKE,2.0,1.0,mejoro,sin_cambio
X003,expertos,BIKE,0.0,0.0,sin_cambio,sin_cambio
X004,expertos,BIKE,2.0,1.0,mejoro,sin_cambio
X005,expertos,BIKE,2.0,1.0,mejoro,sin_cambio
X006,expertos,BIKE,1.0,0.0,mejoro,sin_cambio
X007,expertos,BIKE,12.0,11.0,mejoro,mejoro
X008,expertos,BIKE,1.0,0.0,mejoro,sin_cambio
X000,expertos,CLOSE,1.0,1.0,mejoro,sin_cambio
X001,expertos,CLOSE,0.0,0.0,sin_cambio,sin_cambio
X002,expertos,CLOSE,2.0,1.0,mejoro,sin_cambio
X003,expertos,CLOSE,0.0,0.0,sin_cambio,sin_cambio
X004,expertos,CLOSE,3.0,2.0,mejoro,sin_cambio
X005,expertos,CLOSE,0.0,-1.0,sin_cambio,sin_cambio
X006,expertos,CLOSE,0.0,1.0,sin_cambio,sin_cambio
X007,expertos,CLOSE,0.0,0.0,sin_cambio,sin_cambio
X008,expertos,CLOSE,1.0,0.0,mejoro,sin_cambio
N000,no_expertos,ASV,11.0,12.0,mejoro,mejoro
N001,no_expertos,ASV,12.0,0.0,mejoro,sin_cambio
N002,no_expertos,ASV,2.0,1.0,mejoro,sin_cambio
N003,no_expertos,ASV,8.0,0.0,mejoro,sin_cambio
N004,no_expertos,ASV,0.0,0.0,sin_cambio,sin_cambio
N005,no_expertos,ASV,13.0,10.0,mejoro,mejoro
N006,no_expertos,ASV,0.0,0.0,sin_cambio,sin_cambio
N007,no_expertos,ASV,2.0,2.0,mejoro,sin_cambio
N008,no_expertos,ASV,13.0,0.0,mejoro,sin_cambio
N009,no_expertos,ASV,0.0,0.0,sin_cambio,sin_cambio
N010,no_expertos,ASV,0.0,0.0,sin_cambio,sin_cambio
N011,no_expertos,ASV,11.0,11.0,mejoro,mejoro
