id,ym,ShannonBD,PI,Temp,Wind,Pop,Duration,Carbon,Water,Green,Farm,Grass,Ndvi,Nightlight,LAI,desert_gobi,poverty_county,north_region
110101,201802,2.565,0.0,12.7673,1.963,9.508,1.7778,13.9946,0.0077,0.0086,0.0201,0.0,40.9724,63.0,0.014,0,0,1
110101,201803,2.0449,0.0,12.7673,1.963,9.508,1.6341,13.9946,0.0077,0.0086,0.0201,0.0,40.9724,63.0,0.014,0,0,1
110101,201804,2.0456,0.0,12.7673,1.963,9.508,1.7927,13.9946,0.0077,0.0086,0.0201,0.0,40.9724,63.0,0.014,0,0,1
110101,201805,1.8343,0.0,12.7673,1.963,9.508,1.8326,13.9946,0.0077,0.0086,0.0201,0.0,40.9724,63.0,0.014,0,0,1
110101,201806,2.143,0.0,12.7673,1.963,9.508,1.6582,13.9946,0.0077,0.0086,0.0201,0.0,40.9724,63.0,0.014,0,0,1
110101,201807,2.2974,0.0,12.7673,1.963,9.508,1.6917,13.9946,0.0077,0.0086,0.0201,0.0,40.9724,63.0,0.014,0,0,1
110101,201808,1.2878,0.0,12.7673,1.963,9.508,2.9839,13.9946,0.0077,0.0086,0.0201,0.0,40.9724,63.0,0.014,0,0,1
110101,201809,2.1846,0.0,12.7673,1.963,9.508,1.4663,13.9946,0.0077,0.0086,0.0201,0.0,40.9724,63.0,0.014,0,0,1
110101,201810,2.3867,0.0,12.7673,1.963,9.508,1.361,13.9946,0.0077,0.0086,0.0201,0.0,40.9724,63.0,0.014,0,0,1
110101,201811,2.2552,0.0,12.7673,1.963,9.508,1.8718,13.9946,0.0077,0.0086,0.0201,0.0,40.9724,63.0,0.014,0,0,1
110101,201901,2.4744,0.0,13.3783,1.959,9.508,2.9853,13.9534,0.0075,0.0076,0.0213,0.0,40.4498,63.0,0.014,0,0,1
110101,201902,0.0,0.0,13.3783,1.959,9.508,0.4055,13.9534,0.0075,0.0076,0.0213,0.0,40.4498,63.0,0.014,0,0,1
110101,201903,2.7587,0.0,13.3783,1.959,9.508,1.6808,13.9534,0.0075,0.0076,0.0213,0.0,40.4498,63.0,0.014,0,0,1
110101,201904,2.2692,0.0,13.3783,1.959,9.508,1.9065,13.9534,0.0075,0.0076,0.0213,0.0,40.4498,63.0,0.014,0,0,1
110101,201905,2.7156,0.0,13.3783,1.959,9.508,1.2446,13.9534,0.0075,0.0076,0.0213,0.0,40.4498,63.0,0.014,0,0,1
110101,201906,1.6721,0.0,13.3783,1.959,9.508,1.9218,13.9534,0.0075,0.0076,0.0213,0.0,40.4498,63.0,0.014,0,0,1
110101,201908,1.2772,0.0,13.3783,1.959,9.508,1.3218,13.9534,0.0075,0.0076,0.0213,0.0,40.4498,63.0,0.014,0,0,1
110101,201909,2.2502,0.0,13.3783,1.959,9.508,5.8901,13.9534,0.0075,0.0076,0.0213,0.0,40.4498,63.0,0.014,0,0,1
