id,ym,Endemic,non_Endemic,Migratory,Resident,Protected,non_Protected,Nest_veg,Land_water,Herbivorous,non_Herbivorous,Small_flock,Large_flock,Richness,Evenness
110101,201808,0.0,1.2168,1.8043,1.1885,0.0,1.263,1.993,0.1255,,1.2878,1.245,0.9165,29.0,0.3824
110101,201809,0.6125,2.0675,2.258,1.9797,0.6172,2.1297,2.1739,0.5026,,2.1644,2.1103,0.9286,40.0,0.5922
110101,201810,0.9471,2.2257,1.2954,2.0704,0.0,2.3458,2.3649,0.3368,,2.3595,2.2874,0.7963,28.0,0.7163
110101,201811,1.1022,2.028,1.6679,1.9546,0.9557,2.1322,2.1789,0.0651,,2.1594,1.9206,1.2607,36.0,0.6293
110101,201901,0.5091,2.2946,1.3781,2.2263,0.9557,2.3132,2.1832,0.4919,,2.3515,2.1053,1.0505,30.0,0.7275
110101,201902,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,1.0,
110101,201903,0.0,2.6447,1.7557,2.3968,1.0042,2.6543,2.515,1.0131,,2.7071,2.4445,1.5286,36.0,0.7698
110101,201904,0.0,2.1022,1.1358,1.959,,2.1729,2.3843,0.328,,2.1729,2.0852,0.5623,27.0,0.6885
110101,201905,0.0,2.8339,2.2369,2.3162,1.4708,2.762,2.5803,1.5638,,2.8603,2.6128,1.5842,47.0,0.7053
110101,201906,0.0,1.5284,0.9832,1.4314,0.6931,1.563,1.1667,0.8144,,1.5775,1.499,0.0,27.0,0.5073
110101,201908,,1.2772,1.8703,1.007,0.0,1.2643,2.0198,0.2694,,1.2772,1.2066,0.5983,21.0,0.4195
110101,201909,0.4438,2.0952,2.3749,1.8104,1.3144,2.0885,2.3263,0.4693,,2.2034,2.1532,0.673,38.0,0.6186
110101,201910,0.7078,2.162,1.9665,1.985,1.5607,2.2386,2.2626,0.7856,,2.3093,2.1391,1.3419,33.0,0.6605
110101,201911,0.5004,2.1253,1.3522,2.0849,0.673,2.1547,2.3267,0.0957,,2.2078,2.0315,0.7679,25.0,0.6952
110101,201912,0.6931,1.9936,0.8487,1.883,0.6931,2.0544,2.1114,0.0,,2.1665,2.1665,,16.0,0.8154
110101,202001,0.2261,2.2182,1.4839,2.0361,0.2247,2.192,2.2248,0.5044,,2.2896,1.8657,1.5967,41.0,0.626
110101,202002,1.089,2.1704,2.2323,2.0493,1.0336,2.2219,2.5822,0.7513,,2.2544,1.8044,1.5234,50.0,0.5985
110101,202003,1.013,2.7215,2.0302,2.1804,1.9144,2.6842,2.4346,1.7429,,2.7785,2.2902,1.8706,83.0,0.6591
110101,202004,0.9499,2.829,2.0024,2.4459,2.6397,2.8469,2.7441,1.3078,0.0,2.9307,2.6766,1.5697,130.0,0.6143
110101,202005,0.7045,3.0747,3.0134,2.4118,1.8936,3.0649,3.0754,1.5794,,3.1481,2.945,1.8993,123.0,0.6639
110101,202006,0.3326,3.0032,1.6085,2.8017,0.6765,2.9996,2.7113,1.8879,,3.0632,2.7666,1.7668,47.0,0.8108
110101,202007,0.0,2.7279,1.5037,2.4909,0.4101,2.7083,2.4451,1.7553,,2.7888,2.5309,1.5008,31.0,0.8545
110101,202008,0.6365,3.2906,2.601,2.7524,0.6931,3.2999,3.1275,1.8849,,3.3431,3.231,1.277,42.0,0.8944
110101,202009,0.7609,2.687,2.4468,2.3035,1.3557,2.7123,2.8702,0.9774,,2.7895,2.7361,1.1499,58.0,0.7037
110101,202010,1.1539,2.7751,2.2691,2.397,1.457,2.827,2.8753,1.1687,,2.9554,2.8665,1.2995,51.0,0.7712
110101,202011,1.0524,2.7945,1.7379,2.6646,1.6,2.8359,2.7294,1.1682,,2.9196,2.6252,1.8832,56.0,0.746
110101,202012,0.9598,2.636,2.0729,2.5264,1.5453,2.6859,2.7077,0.858,,2.8022,2.4379,1.952,43.0,0.7681
110101,202101,0.5885,2.3769,1.495,2.0738,0.2879,2.3321,2.5589,0.8967,,2.4538,1.9539,1.5948,76.0,0.5807
110101,202102,0.9489,2.3731,1.9009,2.0955,0.5139,2.3707,2.6277,0.4874,0.0,2.4847,2.0697,1.8101,73.0,0.5983
110101,202103,0.8966,2.9787,2.8221,2.5182,2.2866,2.9483,2.837,1.6187,,3.0468,2.6673,1.9873,86.0,0.7115
110101,202104,0.7069,1.1401,2.2281,1.128,1.4807,1.1424,0.7552,0.0157,0.0,1.1451,1.1314,1.741,73.0,0.2679
110101,202105,0.8132,3.2496,3.1361,2.5461,2.0319,3.2436,3.2975,1.5737,,3.3303,3.1763,1.9005,125.0,0.7044
110101,202106,0.3421,2.469,0.9562,2.3895,0.8314,2.5396,2.4058,1.0126,,2.5807,2.3024,1.4606,42.0,0.7117
110101,202107,0.0,1.9642,0.6804,1.8619,0.0,2.0091,2.1518,0.2545,,2.0197,1.8531,0.7609,23.0,0.6441
110101,202108,0.3921,2.5419,2.6754,2.2587,1.5114,2.536,2.6391,1.0229,,2.5974,2.4357,1.2954,61.0,0.6345
110101,202109,0.8604,3.1833,3.0884,2.663,1.8905,3.0862,3.0677,1.7306,0.0,3.2691,3.1093,1.6632,110.0,0.7147
110101,202110,1.1931,2.6355,2.9512,2.1454,1.7553,2.5794,2.9167,0.9276,0.0,2.7364,2.4711,2.0223,111.0,0.5969
110101,202111,1.0188,2.6704,2.1715,2.5345,1.0181,2.7324,2.9227,0.5423,,2.8138,2.4775,1.8464,60.0,0.7001
110101,202112,0.5095,2.5754,1.5158,2.3592,0.5727,2.5533,2.8909,0.4839,,2.6556,2.3054,1.608,42.0,0.7275
110101,202201,0.8232,2.5611,1.5114,2.3145,0.1326,2.5741,2.6823,0.6817,,2.6567,2.2651,1.5343,57.0,0.6778
110101,202202,1.0102,2.8592,2.022,2.5707,0.3337,2.8845,2.8799,1.2031,,2.9588,2.5486,1.8817,81.0,0.6997
110101,202203,0.8474,2.898,2.7025,2.4545,1.374,2.856,2.861,1.3467,,2.9972,2.5844,2.2552,97.0,0.6733
110101,202204,0.8531,3.0802,2.6968,2.608,1.8364,3.1132,2.9765,1.4978,,3.1767,2.993,1.5701,105.0,0.7044
110101,202205,0.7443,3.1105,2.7401,2.635,2.1256,3.1397,3.0314,1.5279,,3.1955,3.0217,1.8431,132.0,0.6664
110101,202206,0.5306,2.4443,1.5196,2.3815,1.3082,2.5124,2.5579,0.8049,,2.5638,2.3799,1.7096,68.0,0.6278
110101,202207,0.0183,2.6086,1.4999,2.2477,1.3007,2.314,1.9466,1.3161,,2.3734,2.0989,1.7874,44.0,0.6509
110101,202208,0.1353,2.4347,2.9583,2.1981,1.6232,2.4411,2.6695,1.078,,2.5113,2.3391,1.8134,92.0,0.5626
110101,202209,0.8207,2.5109,2.9984,2.2517,2.0509,2.557,2.8805,0.627,,2.6637,2.5184,1.7671,105.0,0.5811
110101,202210,0.9131,2.5492,2.5919,2.3219,2.1926,2.6052,2.7599,1.0196,0.0,2.6638,2.3959,1.2846,109.0,0.5795
110101,202211,0.9327,2.3512,2.0047,2.172,2.0672,2.3511,2.529,0.6305,0.0,2.3814,2.2148,1.4405,68.0,0.6112
110101,202212,0.5634,2.5835,1.6982,2.3721,0.4653,2.5888,2.7137,0.5177,,2.6725,2.3197,1.6197,53.0,0.6927
110101,202301,0.6776,2.5751,1.6635,2.3032,0.6112,2.5763,2.6591,0.7382,,2.6484,2.2612,1.8326,65.0,0.655
110101,202302,0.3757,2.6531,1.5804,2.407,0.3212,2.6578,2.7319,0.5465,,2.7258,2.3691,1.6926,54.0,0.7118
110101,202303,0.3449,2.5895,1.896,2.4087,1.3879,2.6243,2.6326,0.6185,,2.6825,2.4014,1.5686,60.0,0.6797
110101,202304,0.4028,2.5792,2.2737,2.3935,1.4245,2.6223,2.6177,0.8923,0.0,2.6743,2.4542,1.4911,75.0,0.6406
110101,202305,0.3077,3.1948,3.0416,2.6684,2.4388,3.1855,3.1507,1.6313,0.0,3.2467,3.0829,1.4491,129.0,0.6725
110101,202306,0.2257,2.3681,1.2895,2.2936,1.359,2.4177,2.6558,0.8388,0.0,2.4495,2.1972,1.4782,61.0,0.6175
110101,202307,0.0457,2.0821,1.4692,2.0482,0.6298,2.108,2.5268,0.6667,,2.1699,1.8856,1.4778,42.0,0.6083
110101,202308,0.1404,2.2758,2.8463,2.1004,1.656,2.3428,2.541,0.5717,,2.3784,2.2545,1.4995,82.0,0.5451
110101,202309,0.7481,2.7753,3.0678,2.4166,1.9533,2.783,2.9477,0.8896,,2.8934,2.7564,1.6745,119.0,0.6128
110101,202310,1.1845,2.915,2.391,2.6686,2.4529,2.9808,2.9699,1.3574,0.0,3.0526,2.8544,1.3723,114.0,0.6549
110101,202311,1.0418,2.6812,2.1867,2.5249,1.2534,2.7277,2.805,0.7746,0.0,2.8196,2.4514,1.7139,86.0,0.6486
110101,202312,0.9142,2.2962,1.7328,2.1691,1.0234,2.3797,2.7463,0.3001,,2.4347,2.1018,1.7173,52.0,0.6366
110106,201402,,0.857,0.0,0.687,0.0,0.687,0.3488,0.0,,0.857,0.0,0.3046,3.0,0.7801
110106,201505,,0.3046,,0.3046,,0.3046,0.0,0.0,,0.3046,0.0,0.0,2.0,0.4395
110106,201605,,0.1914,,0.1914,,0.1914,0.0,0.0,,0.1914,0.1914,,2.0,0.2762
110106,201612,,1.6786,0.6931,1.4421,0.0,1.5649,1.6663,0.3046,,1.6786,1.309,1.0986,9.0,0.764
110106,201703,,1.5112,1.2637,1.2594,0.0,1.3533,1.7181,0.7592,,1.5112,1.9752,0.3901,17.0,0.6504
110106,201704,0.0,2.437,1.4075,2.1711,0.4506,2.3752,1.9669,1.6254,,2.4857,2.3752,0.4506,20.0,0.8741
110106,201705,,2.2927,1.9545,1.072,0.6931,2.1618,1.2637,1.8621,,2.2927,1.9723,1.0397,13.0,0.9178
110106,201710,,1.6094,1.3863,0.0,0.0,1.3863,1.0986,0.6931,,1.6094,1.3863,0.0,5.0,1.0
110106,201801,,2.2824,0.9503,1.9792,0.0,2.2056,1.9513,1.0397,,2.2824,1.9792,0.9503,11.0,0.9518
110106,201802,0.6365,2.4471,1.4918,2.0861,0.1541,2.3904,2.2224,1.063,,2.4905,2.2115,1.0802,23.0,0.7994
110106,201803,,2.5691,1.679,2.1432,0.2146,2.4855,1.8249,1.9489,,2.5691,2.3393,1.4781,31.0,0.7656
110106,201804,,2.6797,1.8267,2.2214,1.0717,2.5837,2.0179,1.955,,2.6797,2.4535,1.1132,32.0,0.7805
110106,201805,,2.9813,2.4179,2.3981,1.3297,2.9609,2.3067,2.3399,,2.9813,2.8143,1.3074,66.0,0.7321
110106,201808,,2.2381,0.9034,2.0278,0.6871,2.1155,2.2444,0.9253,,2.2381,2.056,0.7114,21.0,0.7467
110106,201809,,1.2135,1.6957,1.1303,1.1685,1.1318,2.1254,0.4774,,1.2135,1.1817,0.5623,30.0,0.3568
110106,201810,0.0,2.5676,2.0749,2.4104,1.8802,2.5094,2.3848,1.1753,,2.6196,2.182,1.6521,36.0,0.7551
110106,201812,,1.0986,0.0,0.6931,,1.0986,1.0986,,,1.0986,0.6931,0.0,3.0,1.0
110106,201901,,1.5475,0.5297,1.1695,0.0,1.4549,1.4444,0.0,,1.5475,1.514,0.0,11.0,0.6454
110106,201903,0.0,2.4267,0.8877,2.2657,0.0,2.4492,2.0797,1.4357,,2.4687,2.2264,0.9503,17.0,0.8713
110106,201907,,3.223,1.833,2.954,1.0114,3.1517,2.6852,2.3977,,3.223,3.0659,1.3123,42.0,0.8867
110106,201909,,2.6719,1.9913,2.451,1.5911,2.4986,2.6046,1.7472,,2.6719,2.6439,0.3046,34.0,0.7704
110106,201911,,1.6351,,1.6351,0.0,1.4895,1.6351,,,1.6351,1.4979,0.0,7.0,0.8403
