id,ym,Endemic,non_Endemic,Migratory,Resident,Protected,non_Protected,Nest_veg,Land_water,Herbivorous,non_Herbivorous,Small_flock,Large_flock,Richness,Evenness
110106,201912,,2.0506,0.8919,1.8609,,2.0506,1.7701,0.7589,,2.0506,1.9845,0.2286,15.0,0.7572
110106,202001,0.0,1.9584,1.4317,1.8979,0.8257,1.908,2.2491,0.0418,,2.0018,1.8311,1.3139,29.0,0.6057
110106,202002,0.689,1.8289,0.3365,1.8648,0.0,1.9617,1.9757,0.3046,,1.9949,1.8931,0.4506,18.0,0.7138
110106,202003,0.656,2.8821,2.0827,2.4891,0.3944,2.8763,2.4222,2.1013,,2.9185,2.6887,1.4875,65.0,0.7242
110106,202004,0.9369,3.3023,2.8695,2.6192,1.677,3.2961,2.8598,2.6094,,3.3308,3.0844,2.027,74.0,0.7874
110106,202005,0.9075,2.8337,2.6348,2.3574,1.2149,2.855,2.6548,1.5858,,2.8817,2.7112,1.161,79.0,0.6734
110106,202006,0.3768,2.7948,1.9917,2.6217,0.5004,2.8038,2.4109,1.7984,,2.8305,2.6538,1.0978,49.0,0.765
110106,202007,0.6931,3.1529,2.0633,2.8987,0.0,3.1565,2.7315,2.2544,,3.1725,3.0152,1.421,47.0,0.8448
110106,202008,0.4506,2.4941,2.3513,2.3768,0.6365,2.5095,2.1581,1.5115,,2.5357,2.3939,0.7333,48.0,0.6642
110106,202009,1.213,2.7481,1.6251,2.5721,0.0,2.8285,2.3893,1.8407,,2.8438,2.7381,0.5443,33.0,0.8133
110106,202010,0.7856,2.0814,1.1795,1.8704,1.0397,2.195,2.2693,1.0265,,2.22,1.9664,0.7945,35.0,0.631
110106,202011,0.8186,1.9753,0.6567,1.8229,1.3297,2.0301,2.0332,0.3505,,2.0541,1.8879,1.316,40.0,0.5842
110106,202012,0.0,2.4422,0.911,2.2932,0.4101,2.3699,2.1616,1.1484,,2.4654,2.2078,1.2241,27.0,0.7624
110106,202101,0.8766,2.577,0.958,2.4478,0.1177,2.545,2.4449,1.0182,,2.6218,2.3093,1.3622,41.0,0.7304
110106,202102,0.929,2.531,2.0028,2.2287,0.5581,2.4872,2.5396,0.9239,,2.5957,2.283,1.8632,54.0,0.6792
110106,202103,0.9051,3.0601,2.598,2.2841,1.5657,2.9076,2.2766,2.5147,,3.0959,2.6615,2.1144,73.0,0.745
110106,202104,0.6255,3.0752,2.6028,2.5081,1.8225,3.0542,2.7025,2.1915,,3.1296,2.8229,1.8144,59.0,0.7921
110106,202105,1.07,3.2258,2.9435,2.5578,1.2327,3.2282,3.0032,2.1457,,3.2766,3.0924,1.4944,101.0,0.7357
110106,202106,1.1962,3.1333,2.1779,2.8038,1.5171,3.1641,2.9956,1.8501,,3.212,2.9928,1.5907,66.0,0.7942
110106,202107,1.0609,2.8911,1.7919,2.5893,,2.9553,2.6597,1.6755,,2.9553,2.7884,1.2243,43.0,0.8198
110106,202108,0.0,3.1524,2.3632,2.6922,0.6161,3.0966,2.5914,2.387,,3.1743,2.9869,1.5251,50.0,0.8334
110106,202109,1.2182,3.0463,2.6732,2.4378,1.3263,3.0216,2.8758,1.8468,,3.0833,2.9072,1.4032,72.0,0.7493
110106,202110,0.8016,2.6452,2.4861,2.2176,0.9933,2.6068,2.8146,1.5925,,2.7339,2.9374,1.0001,91.0,0.6282
110106,202111,0.6746,3.1908,2.3809,2.7983,0.3935,3.2114,2.7938,2.2838,,3.2639,2.8773,2.2033,69.0,0.7483
110106,202112,0.7882,2.9138,2.1092,2.5797,0.6784,2.9043,2.7108,1.6468,,2.9932,2.6659,2.1304,75.0,0.7097
110106,202201,0.6452,2.8397,2.4374,2.4761,0.5156,2.8274,2.801,1.5613,,2.9071,2.603,1.5705,77.0,0.6872
110106,202202,0.9098,2.6401,2.7213,2.1023,1.9028,2.5964,2.3438,1.9282,,2.6938,2.6776,1.4161,106.0,0.6098
110106,202203,1.2047,3.0357,2.6267,2.1813,2.2609,2.9497,2.2472,2.5212,,3.0551,2.8429,1.8288,118.0,0.6651
110106,202204,1.1182,3.5744,3.1911,2.9141,2.598,3.5394,3.1692,2.8479,,3.6306,3.5553,1.7954,135.0,0.7626
110106,202205,1.3495,3.785,3.3417,3.0432,2.5106,3.771,3.3644,2.9075,,3.8282,3.6895,1.8907,162.0,0.7433
110106,202206,0.7388,2.8888,1.5824,2.6974,1.8037,2.9062,2.847,1.8172,,2.9404,2.6639,1.6462,82.0,0.6961
110106,202207,0.8609,2.864,1.8014,2.7025,1.0114,2.8903,2.689,1.8585,,2.9216,2.7561,1.4295,56.0,0.7599
110106,202208,0.0,3.0514,1.3937,2.9207,1.4498,2.9883,3.0532,2.2937,,3.0607,2.9216,1.3537,88.0,0.7114
110106,202209,1.2878,3.478,3.0517,2.8545,2.1976,3.3774,3.2447,2.539,,3.5334,3.3391,1.9071,110.0,0.7719
110106,202210,1.2113,2.8552,3.207,2.2164,2.3166,2.8022,3.2239,2.0511,,2.9192,3.1929,1.4146,143.0,0.6059
110106,202211,0.7088,2.5942,2.4586,1.9887,1.1356,2.5601,2.7019,1.7838,0.0,2.623,2.6263,1.2041,112.0,0.5843
110106,202212,0.5773,2.6937,2.0934,2.2415,1.4341,2.6919,2.4796,1.7609,0.0,2.7314,2.6491,1.1848,103.0,0.6047
110106,202301,0.6364,2.8272,1.7836,2.5456,1.4373,2.8257,2.6388,1.7023,0.0,2.8882,2.7,1.2948,100.0,0.6499
110106,202302,0.8968,2.7221,2.4653,2.348,1.3902,2.7137,2.5132,1.825,,2.7641,2.7161,1.2971,101.0,0.63
110106,202303,1.2186,3.3161,2.743,2.6984,2.0596,3.2461,2.6721,2.6925,,3.3568,3.0502,2.0796,119.0,0.6828
110106,202304,1.1065,3.5007,2.6987,2.9793,2.5221,3.441,3.0093,2.863,,3.5395,3.311,1.9872,128.0,0.6744
110106,202305,1.3097,3.9426,3.3417,3.2149,2.7167,3.9055,3.4959,3.1684,,3.9845,3.807,2.1715,162.0,0.7594
110106,202306,1.1291,3.446,2.673,3.104,2.4094,3.4649,3.1322,2.4795,,3.5248,3.3305,1.8314,123.0,0.7552
110106,202307,0.7904,3.3735,1.859,3.2118,1.5118,3.329,2.8679,2.5816,,3.4277,3.2485,1.8592,98.0,0.7717
110106,202308,0.824,2.7423,2.827,2.4123,1.5149,2.7091,3.0651,1.6398,0.0,2.7745,2.6167,1.6376,129.0,0.5882
110106,202309,0.9769,3.6201,3.1516,3.0383,2.317,3.5633,3.2863,2.6413,0.0,3.6811,3.498,2.0723,133.0,0.7745
110106,202310,0.8847,2.6674,2.976,1.952,2.2401,2.5655,3.1641,1.5844,0.0,2.7532,2.3555,2.2709,153.0,0.5606
110106,202311,0.7444,3.3348,2.4636,3.0142,1.9887,3.3351,2.9203,2.4584,0.0,3.405,3.1001,2.1467,117.0,0.7191
110106,202312,0.5958,2.9856,1.6092,2.8092,1.8104,2.9839,2.7153,1.8489,,3.063,2.7876,1.6514,104.0,0.6863
110107,201905,0.0,1.9356,1.0336,1.7456,,2.0601,2.0158,0.0,,2.0601,1.8288,0.687,13.0,0.8032
110107,201907,,2.0794,0.0,1.9459,,2.0794,1.6094,1.0986,,2.0794,1.6094,1.0986,8.0,1.0
110107,202002,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,1.0,
110107,202003,,2.0794,1.0986,1.6094,,2.0794,2.0794,,,2.0794,1.6094,1.0986,8.0,1.0
110107,202004,,2.0755,0.6659,1.8332,,2.0755,1.3102,1.5329,,2.0755,1.9185,0.9557,19.0,0.718
110107,202005,0.0,0.0,0.0,0.0,,0.6931,0.6931,,,0.6931,0.6931,,2.0,1.0
110107,202006,,2.2909,1.3654,1.9666,,2.2909,2.237,1.3762,,2.2909,1.9508,1.2372,26.0,0.7632
110107,202007,,2.4742,0.7114,2.2935,0.0,2.4459,1.8512,1.7264,,2.4742,2.3667,0.3676,24.0,0.8211
110107,202009,1.0986,2.708,1.3863,2.6391,0.0,2.8332,2.4849,1.7918,,2.8904,2.7726,0.6931,19.0,1.0
110107,202101,0.0,0.0,0.0,0.0,,0.6931,0.6931,,,0.6931,0.0,0.0,3.0,1.0
110107,202102,1.2407,2.2271,0.4207,2.394,0.0,2.4031,2.2316,1.3331,,2.4291,2.021,1.3969,27.0,0.7776
110107,202103,0.0,1.6094,0.0,1.6094,,1.7918,1.6094,0.0,,1.7918,1.6094,0.0,6.0,1.0
110107,202104,0.0,2.3062,1.4898,2.0727,0.0,2.3418,2.1851,1.0761,,2.3648,2.154,1.1973,23.0,0.7542
110107,202105,0.0,2.3775,1.8763,1.855,,2.4227,2.2903,1.0934,,2.4227,2.2319,0.673,19.0,0.8228
110107,202106,0.0,1.7188,0.4101,1.651,,1.7833,1.1795,0.9922,,1.7833,1.5327,0.2771,17.0,0.6598
110107,202107,,1.4045,0.0,1.3702,0.0,1.251,1.2998,0.3768,,1.4045,1.2771,0.0,7.0,0.7218
110107,202108,0.0,2.3979,1.0986,2.1972,,2.4849,1.9459,1.6094,,2.4849,2.4849,,12.0,1.0
110107,202109,,0.5983,0.0,0.0,0.0,0.0,0.0,0.0,,0.5983,0.5983,,2.0,0.8631
110107,202110,,2.0794,0.6931,1.7918,0.0,1.9459,1.6094,1.0986,,2.0794,1.9459,0.0,8.0,1.0
110107,202111,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,,1.0,
110107,202112,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,1.0,
110107,202201,0.6365,2.8054,0.6931,2.8118,0.0,2.8636,2.8184,0.5623,,2.9132,2.7576,1.0986,22.0,0.9578
110107,202202,1.0434,1.9235,1.0549,2.0154,0.0,2.0684,1.9652,0.5119,,2.0837,1.7271,1.4722,28.0,0.6526
110107,202203,0.687,2.2375,1.8408,2.014,0.3251,2.2763,2.1208,0.9479,,2.3331,1.992,1.578,29.0,0.7158
110107,202204,0.0,1.9653,0.2868,1.9454,,2.0424,1.7223,0.7516,,2.0424,1.7381,0.785,13.0,0.7963
110107,202205,0.0,1.9111,0.9503,1.8412,,2.0299,1.7751,0.6238,,2.0299,1.751,0.6365,14.0,0.7692
110107,202206,0.0,2.1105,1.1773,2.023,,2.2075,2.1267,0.728,,2.2075,1.8903,1.2062,21.0,0.7251
