ring,rel_year,ring_excess_pp,bg20km_excess_pp,additional_pp
1km,0,2.664,0.863,1.801
1km,5,8.504,3.543,4.961
1km,10,13.669,6.096,7.573
5km,0,1.271,0.863,0.408
5km,5,5.102,3.543,1.56
5km,10,8.876,6.096,2.78
10km,0,1.006,0.863,0.144
10km,5,4.14,3.543,0.597
10km,10,7.083,6.096,0.987
