disciplina,n_papers,datos_disponibles_pct,codigo_disponible_pct,proceso_reproducible_pct
health,130,37.7,23.8,23.8
psychology,116,12.9,3.4,3.4
economics,102,30.4,39.2,27.5
marketing/org behavior,69,1.4,1.4,1.4
education,69,0.0,0.0,0.0
political science,65,56.9,52.3,49.2
sociology,59,3.4,5.1,3.4
management,50,4.0,2.0,2.0
criminology,20,0.0,0.0,0.0
public administration,20,0.0,0.0,0.0
