anio,n_claims,n_papers,preciso_pct,aproximado_mas_pct
2009,26,10,57.7,65.4
2010,33,11,42.4,93.9
2011,34,10,64.7,79.4
2012,23,9,26.1,34.8
2013,67,12,74.6,88.1
2014,84,15,83.3,91.7
2015,62,18,75.8,95.2
2016,87,19,66.7,82.8
2017,54,16,48.1,66.7
2018,76,18,47.4,78.9
2020,27,27,55.6,85.2
