lab_id,section,depth_cm,n_grains,dose_equivalent_gy,dose_equivalent_err_gy,dose_rate_gy_ka,dose_rate_err_gy_ka,ir50_age_faded_ka,ir50_age_faded_err_ka,g_value_pct,g_value_err_pct,ir50_age_corrected_ka,ir50_age_corrected_err_ka
VLL-0671-L,1,205,131,36.26,1.66,2.15,0.13,16.9,1.3,3.3,0.03,23.3,1.8
VLL-0672-L,1,345,110,35.29,1.61,2.1,0.12,16.8,1.2,3.4,0.02,23.4,1.7
VLL-0673-L,4,50,47,3.62,0.1,1.8,0.13,2.0,0.2,3.7,0.04,2.8,0.2
VLL-0674-L,4,65,195,26.61,1.18,2.14,0.14,12.4,1.0,3.8,0.02,18.1,1.4
VLL-0675-L,9,65,89,14.27,0.43,2.24,0.13,6.4,0.4,3.3,0.03,8.6,0.6
VLL-0676-L,9,110,115,21.05,1.2,2.15,0.33,9.8,0.8,3.9,0.04,14.3,1.2
