iso3,year,net,net_std,imm,imm_std,emi,emi_std,imm_pop,imm_pop_std,emi_pop,emi_pop_std
ABW,1990,637.52747,573.06006,1498.4756,355.89307,860.9481,261.90015,20132.32,2650.157,10833.224,2095.3918
ABW,1991,686.1428,401.27094,1658.6215,231.00491,972.47845,155.39333,20940.715,2518.5486,11094.26,2063.856
ABW,1992,639.5699,411.14468,1822.0748,249.09001,1182.5046,168.3085,21888.422,2410.1636,11434.802,1949.1986
ABW,1993,751.4918,427.5111,1981.759,244.05135,1230.2677,181.29259,22902.746,2267.5857,11871.477,1825.1434
ABW,1994,870.60706,582.79193,2230.774,313.22916,1360.167,290.7918,24043.46,2124.934,12324.229,1669.6472
ABW,1995,537.7428,301.11484,2023.9061,226.60258,1486.1635,191.36252,25372.828,1984.7245,12851.285,1478.9707
ABW,1996,473.59274,232.31807,2021.4835,223.02426,1547.8906,166.28271,26402.145,1864.2695,13409.026,1362.0018
ABW,1997,813.9276,652.3508,2486.5605,297.6262,1672.6335,367.64008,27393.873,1735.5414,13993.104,1264.0405
ABW,1998,531.3681,248.61482,2147.2974,216.65169,1615.9292,170.91867,28810.11,1603.461,14664.921,1128.6102
ABW,1999,478.66055,297.37366,2166.4202,219.66354,1687.76,178.3466,29834.588,1498.9753,15226.72,1065.3411
ABW,2000,845.03436,625.15894,2574.4636,267.2601,1729.4297,346.9196,30835.654,1415.5353,15819.135,1010.2979
ABW,2001,904.2098,393.4252,2495.966,242.49298,1591.7566,155.48326,32253.645,1354.2996,16469.238,1057.7722
ABW,2002,462.82425,263.37683,2210.4807,219.82185,1747.6562,169.0913,33554.53,1320.2952,16946.623,1062.6566
ABW,2003,561.7251,500.52765,2383.4084,279.02936,1821.6837,303.83826,34518.035,1269.7563,17529.682,1066.217
ABW,2004,950.2373,719.42993,2796.9114,345.8,1846.6748,376.48618,35648.65,1204.2817,18188.438,1162.6188
ABW,2005,289.82907,310.62637,2427.8645,261.0425,2138.0354,250.5348,37140.01,1225.8417,18835.824,1393.5631
ABW,2006,336.14874,423.37817,2554.5588,315.84323,2218.4102,315.22955,38104.707,1217.918,19615.16,1459.9423
ABW,2007,425.4413,453.9384,2623.781,272.28693,2198.3389,284.69095,39156.58,1240.5579,20440.113,1532.3761
ABW,2008,423.55707,525.5984,2599.3564,256.99405,2175.7993,310.81348,40241.348,1268.3693,21216.402,1661.7432
ABW,2009,65.49018,481.06073,2260.1396,251.68594,2194.65,315.33286,41322.6,1322.8384,21993.531,1838.256
