year,imm_total,imm_total_std,emi_total,emi_total_std,imm_pop_total,imm_pop_total_std,n_paises
1990,15208319.70677,852236.8698132131,15208319.407115,852236.9230275401,151234678.11731,1355294.2071290738,231.0
1991,11163851.644389998,551527.914910701,11163851.45143,551527.969733454,152304597.65732002,1471076.8734063122,231.0
1992,11338464.776349999,508747.8401133928,11338465.20195,508747.9160615743,153978448.50958002,1339748.2971758447,231.0
1993,11198493.219069999,568653.7622039306,11198493.24788,568653.8310939299,156269429.0208,1271484.6571666843,231.0
1994,12673847.394620001,595844.048296725,12673847.15075,595844.101199533,158083441.94472998,1045204.7922301386,231.0
1995,13089978.589660002,646107.7592972543,13089977.821759999,646107.8611092335,161468006.88280004,974906.1211038522,231.0
1996,11560011.006579999,441750.0584033657,11560010.250020001,441750.1666637469,162294389.7654,1068173.2286289895,231.0
1997,11240762.213849999,329820.05592714617,11240762.505789999,329820.13369390124,164163069.50669998,1002403.154032032,231.0
1998,11253962.05053,284686.8804871041,11253961.521200001,284686.9235890693,166292710.2848,914929.4492005707,231.0
1999,11613437.4996,274589.5598721478,11613437.317739999,274589.6042980617,168377315.12570003,845492.8463607129,231.0
2000,11810570.042689998,289695.40089376236,11810569.5757,289695.4643594769,171100376.15350002,798284.4684752388,231.0
2001,12873081.303350002,388788.54793704784,12873081.25991,388788.6072075218,173463231.7114,803397.4842830523,231.0
2002,13791506.630010001,393140.1637274302,13791506.191890001,393140.22831507,176117354.58420002,833878.5114304689,231.0
2003,14387857.064570002,347401.26548720855,14387857.652759999,347401.3367288864,179022460.14879996,802005.0361546384,231.0
2004,15644350.908329997,365887.3292844628,15644349.96314,365887.37697016314,183080183.73079997,771752.6143034276,231.0
2005,16543254.208,469918.60591121716,16543254.29673,469918.750043697,187982299.4934,705807.3851926954,231.0
2006,17091635.63312,384254.393095574,17091635.675679997,384254.4726191376,193087159.04549998,776503.1107677915,231.0
2007,18136063.229879998,388457.66069587023,18136062.24728,388457.7433070465,198706961.7805,797065.8978000694,231.0
2008,18260467.40647,394433.7586085354,18260468.04666,394433.8178979358,204770901.04330003,807541.7108312177,231.0
2009,17412367.84523,488543.8787287186,17412368.50645,488543.976169352,210072971.3324,779585.2896066948,231.0
2010,18355031.481469996,402051.3419782809,18355031.1307,402051.3908587096,214433660.69559997,697229.4378968464,231.0
2011,19579339.1021,496836.2499687281,19579339.233340003,496836.2690169536,218872940.0344,772800.4567091399,231.0
2012,22051243.06191,653350.07141583,22051243.934369996,653350.1614189511,223757839.24510002,891728.6623877229,231.0
2013,22505098.12795,546344.0803288022,22505097.66662,546344.1013294156,229439270.0937,917092.1997582753,231.0
2014,22932589.666810002,463772.52541920985,22932590.72404,463772.5854171922,235377210.49339998,871102.7604075057,231.0
2015,24420052.10159,480896.93485199695,24420052.804290004,480896.97786671994,241348056.00660002,861652.7693393657,231.0
2016,24006189.634770002,493771.87944937596,24006189.955569997,493771.9288428003,247879690.48439997,986602.4959701372,231.0
2017,25481045.207130004,470840.72729629837,25481045.093499996,470840.7760478364,254156090.4077,1052445.9087870335,231.0
2018,27459399.27173,438347.3881578619,27459397.99289,438347.4123707788,259817986.6491,1080063.2328777092,231.0
2019,28141731.33295,309122.44092911703,28141731.35871,309122.46633281815,266508743.55249995,1078935.9027526407,231.0
2020,22456068.723389998,396756.9523222651,22456068.91565,396756.9784772993,271522041.51909995,1100007.7868537016,231.0
2021,25350738.592259996,459633.76464428933,25350737.11419,459633.7977837978,272588678.4889,1166701.5833830058,231.0
2022,35607808.10659,591083.2882635344,35607809.76914,591083.3219523693,276398222.1315,1242434.4738668757,231.0
2023,34724484.01615,759644.0264150865,34724484.35336,759644.0749052305,290187723.4361,1337906.0883761588,231.0
2024,0.0,0.0,0.0,0.0,303072109.89540005,1312051.0466771075,231.0
