component,flux_Jy,radius_mas,theta_deg,ra_offset_mas,dec_offset_mas,major_mas
Gaussian,0.0116075,3.54307,-132.308,-2.6202,-2.3849,0.389018
Delta,0.00198392,3.73499,-89.0828,-3.7345,0.0598,0.0
Delta,0.00218739,3.38396,-112.328,-3.1302,-1.2856,0.0
Delta,0.00106009,5.08568,-66.7018,-4.671,2.0115,0.0
Delta,0.000817465,6.71327,-57.4424,-5.6583,3.6127,0.0
