case,log10_Ljet,beta,halfOpenAngle_deg,inclination_deg
1,37.0593,0.4332,1.0437,27.673
1,37.0791,0.4418,1.2292,27.8706
1,36.9165,0.5041,0.7975,28.1036
1,37.0448,0.5327,0.9588,27.5126
1,36.9845,0.4823,0.842,27.4346
1,36.4326,0.4499,0.2368,26.6746
1,36.9692,0.4027,0.9447,27.8215
1,37.1806,0.5165,1.4007,26.392
1,36.806,0.419,0.6242,27.5941
1,36.913,0.456,0.7189,26.5922
1,36.6474,0.5059,0.3866,27.702
1,37.146,0.4575,1.4256,26.3548
1,36.6968,0.3747,0.5019,28.1913
1,36.7983,0.4711,0.5382,27.3254
1,37.0401,0.4798,1.1831,28.5198
1,37.1434,0.4551,1.2699,28.0831
1,37.1739,0.4272,1.4609,26.5078
1,37.021,0.4465,0.9823,27.7287
1,36.9033,0.365,0.8961,28.8145
1,36.5137,0.5023,0.3031,26.6256
1,37.0693,0.4395,1.2453,28.8369
1,36.7381,0.4064,0.5185,26.8155
1,36.9327,0.4871,0.8314,26.6403
1,36.605,0.6049,0.3695,24.8726
1,37.0415,0.5446,0.9147,26.2748
1,36.964,0.4734,0.935,27.9841
1,36.6281,0.4243,0.4479,27.8511
1,37.1063,0.4191,1.2554,27.5397
1,36.2362,0.5349,0.1486,27.4303
1,36.5338,0.441,0.316,26.8145
1,35.8451,0.4539,0.0639,26.8241
1,35.8859,0.6043,0.0666,25.9348
1,36.9891,0.5122,0.9235,28.3627
1,37.2456,0.5231,1.5997,27.2871
1,36.9531,0.6107,0.8134,27.634
1,36.4613,0.5506,0.2517,25.6896
1,37.2371,0.4604,1.5796,27.3377
1,37.0577,0.4325,1.0124,27.9386
1,36.7995,0.4251,0.6271,27.3155
1,36.757,0.426,0.5377,25.5884
1,37.132,0.3976,1.2142,26.9318
1,37.0635,0.437,0.9213,27.1364
1,37.1697,0.4475,1.3626,26.0456
1,37.1231,0.4057,1.2142,28.308
1,35.9875,0.4614,0.0832,26.7541
1,36.6781,0.5288,0.4536,27.7341
1,36.7023,0.5508,0.4613,27.3544
1,37.2727,0.5748,1.6619,28.0688
1,36.4429,0.4269,0.2466,27.0135
1,36.8304,0.4551,0.6598,27.9622
1,36.9816,0.5815,0.8746,28.3358
1,36.9448,0.4174,0.6642,26.4185
1,37.1915,0.6725,1.4701,27.1045
1,35.8951,0.3944,0.0872,28.4763
1,36.3298,0.491,0.188,26.7851
1,37.0412,0.4835,0.8946,26.8265
1,35.8451,0.4539,0.0639,26.8241
1,36.7022,0.4047,0.4961,27.6255
1,36.8407,0.4313,0.7187,28.8024
1,37.1116,0.4419,1.2687,28.3096
1,37.1639,0.4417,1.3056,28.3472
1,36.16,0.3808,0.1153,27.832
1,36.7717,0.497,0.5269,27.1097
1,36.9601,0.6036,0.8624,27.3804
1,37.1274,0.5082,1.2527,27.6287
1,36.2987,0.5752,0.1767,27.088
1,36.1143,0.4642,0.1147,27.8647
1,36.8156,0.5078,0.5922,27.0275
1,37.0437,0.4274,1.1063,27.3973
1,37.1387,0.4937,1.289,27.2731
1,36.5505,0.5745,0.3222,26.3835
1,35.8439,0.4512,0.0686,26.8244
1,36.3652,0.5418,0.2182,26.3013
1,37.1467,0.499,1.3329,27.3155
1,36.8537,0.5388,0.6942,27.9605
1,36.7151,0.4273,0.4501,27.4737
1,36.9399,0.4707,0.8417,27.8935
1,36.0714,0.5185,0.1144,28.3016
1,37.0948,0.432,1.1201,26.29
1,36.8851,0.4129,0.7057,28.3512
1,37.1907,0.4117,1.4323,27.5697
1,36.1977,0.4877,0.1413,27.9341
1,36.32,0.5104,0.1821,26.7305
1,37.1957,0.4206,1.3597,26.6767
1,36.1603,0.4259,0.1316,26.913
1,37.1168,0.5188,1.2113,25.9181
1,37.2073,0.4852,1.5259,27.7411
1,36.8412,0.4349,0.6401,27.1874
1,36.5628,0.3511,0.3365,27.8782
1,36.4672,0.4528,0.2747,27.2429
1,36.666,0.4224,0.4818,29.3171
1,37.0728,0.3794,1.1154,29.1497
1,36.7783,0.4903,0.5036,25.9672
1,36.2735,0.5831,0.1623,26.5304
1,37.2682,0.5333,1.6188,26.0598
1,36.4026,0.4731,0.2169,25.8684
1,36.2592,0.4469,0.1692,26.8767
1,35.8451,0.4539,0.0639,26.8241
1,36.2172,0.505,0.1262,24.9867
1,36.6145,0.4798,0.3842,26.962
1,36.6449,0.4049,0.461,27.0845
1,36.7989,0.5008,0.588,26.8859
1,36.6846,0.5099,0.455,28.3114
1,37.2448,0.457,1.5687,28.3149
1,36.5505,0.4079,0.356,28.4852
1,36.8378,0.4849,0.6347,28.3853
1,36.8422,0.4444,0.6468,26.4621
1,35.8451,0.4539,0.0639,26.8241
1,37.1658,0.4927,1.3388,27.867
1,36.9734,0.4567,0.7952,27.9908
1,37.173,0.4594,1.395,28.2022
1,37.0142,0.4779,0.9777,27.5978
1,37.0761,0.4295,1.194,27.3087
1,37.2088,0.4875,1.3861,27.0357
1,37.2746,0.5241,1.7848,27.3503
1,36.4496,0.5524,0.2583,27.6862
1,37.1761,0.4917,1.1533,26.6998
1,36.9992,0.5736,0.9943,29.4047
1,37.2126,0.4193,1.3919,27.6348
1,37.0459,0.4947,0.9037,24.97
1,36.8486,0.5094,0.694,27.4442
1,36.8209,0.4573,0.5824,27.6438
1,36.7282,0.5177,0.4946,27.8445
1,36.7745,0.4371,0.542,27.0237
1,36.4445,0.4141,0.2674,27.5268
1,36.8974,0.5672,0.751,27.4551
1,36.3966,0.4952,0.2145,26.9939
1,37.1552,0.437,1.3034,28.233
1,37.2448,0.457,1.5687,28.3149
1,36.4823,0.3822,0.3047,27.1333
1,36.8073,0.4716,0.6026,27.6682
1,35.9279,0.4971,0.0712,26.1602
1,36.7547,0.4254,0.6372,28.0862
1,37.2182,0.4305,1.5544,27.0183
1,37.1649,0.4959,1.3225,27.4194
1,36.705,0.4647,0.4772,26.7791
1,37.3044,0.555,1.8476,27.9314
1,37.0418,0.4436,0.9549,26.972
1,37.1762,0.4412,1.3227,26.1573
1,37.1773,0.6109,1.3245,27.3157
1,36.9559,0.6288,0.8517,26.3998
1,37.1657,0.4713,1.2491,27.8459
1,37.2861,0.6249,1.6329,27.2065
1,36.7215,0.4476,0.5132,28.8732
1,35.866,0.5074,0.0669,26.649
1,37.1012,0.588,1.3404,27.7389
1,37.0365,0.4003,1.0112,27.8024
1,36.8613,0.4949,0.6736,27.6839
1,36.646,0.5781,0.4201,29.0119
1,36.7568,0.4063,0.5325,27.1491
1,36.6627,0.5472,0.3769,26.5687
1,37.0678,0.5443,1.0325,27.3607
1,37.1381,0.5723,1.2953,27.0738
1,36.91,0.4717,0.6961,25.7556
1,37.0069,0.5668,0.9328,26.8335
1,37.1651,0.4741,1.5118,28.7904
1,37.2072,0.4188,1.465,27.0192
1,35.8162,0.5173,0.0614,26.2207
1,36.6175,0.5733,0.3586,26.1555
1,36.8117,0.4916,0.6606,28.6338
1,36.8443,0.3829,0.6259,26.4259
1,37.1934,0.4546,1.4137,27.4159
1,36.3162,0.4951,0.1793,26.6258
1,37.1828,0.467,1.6339,27.5404
1,37.0551,0.4016,1.1154,27.2294
1,37.134,0.5079,1.2604,27.2991
1,37.1822,0.3613,1.4606,27.063
1,36.6098,0.5204,0.3653,27.5359
1,36.1233,0.572,0.1247,27.5206
1,36.8677,0.511,0.6462,27.3898
1,36.48,0.4986,0.3179,27.6273
1,37.1137,0.5848,1.1581,27.6768
1,37.1869,0.4849,1.4054,27.0253
1,35.8483,0.5167,0.0654,26.9727
1,35.8247,0.5131,0.0588,26.0665
1,36.8829,0.4306,0.7635,26.2344
1,36.9886,0.5676,0.9086,27.3577
1,37.0968,0.3841,1.2603,27.9231
1,37.0703,0.4525,1.1045,26.9553
1,36.9169,0.4775,0.8633,28.3285
1,37.0153,0.4719,0.99,27.6602
1,36.9339,0.5138,0.7638,26.6913
1,36.0878,0.5045,0.1058,27.6957
1,35.8389,0.4716,0.0579,26.6421
1,36.9654,0.501,0.823,26.9125
1,37.0406,0.5291,1.0838,27.6814
1,36.4874,0.4351,0.3181,29.7098
1,36.9025,0.4285,0.7884,29.9951
1,37.0482,0.4526,1.0846,27.693
1,36.2513,0.5926,0.1584,26.8323
1,36.5723,0.4057,0.3772,27.8193
1,36.4733,0.6112,0.2774,26.6353
1,36.6734,0.5708,0.422,26.6729
1,36.832,0.432,0.6431,25.35
