lat,lon,mean_degree,trend
-55.0,293.0,1.071,0.036
-53.0,287.0,1.251,0.072
-53.0,289.0,1.252,-0.015
-53.0,291.0,1.253,-0.113
-51.0,287.0,1.327,0.209
-51.0,289.0,1.296,-0.245
-49.0,287.0,1.409,-0.172
-49.0,289.0,1.386,-0.353
-49.0,291.0,1.359,-0.287
-47.0,287.0,1.445,-0.335
-47.0,289.0,1.37,-0.147
-47.0,291.0,1.333,-0.004
-47.0,293.0,1.299,0.075
-45.0,169.0,1.657,1.56
-45.0,171.0,1.687,1.608
-45.0,287.0,1.397,-0.551
-45.0,289.0,1.439,0.265
-45.0,291.0,1.341,0.405
-45.0,293.0,1.351,0.333
-43.0,147.0,1.149,0.355
-43.0,171.0,1.806,1.642
-43.0,173.0,1.831,1.629
-43.0,289.0,1.372,0.114
-43.0,291.0,1.349,0.251
-43.0,293.0,1.363,0.384
-43.0,295.0,1.29,0.121
-41.0,145.0,1.193,0.184
-41.0,173.0,2.141,2.167
-41.0,175.0,2.225,2.368
-41.0,287.0,1.404,-0.081
-41.0,289.0,1.388,0.248
-41.0,291.0,1.354,0.043
-41.0,293.0,1.316,-0.035
-41.0,297.0,1.271,0.321
-39.0,175.0,1.856,1.847
-39.0,177.0,1.817,1.24
-39.0,287.0,1.231,0.256
-39.0,289.0,1.274,0.301
-39.0,291.0,1.438,0.1
-39.0,293.0,1.319,0.08
-39.0,295.0,1.362,0.208
-39.0,297.0,1.374,0.09
-37.0,141.0,1.589,-0.265
-37.0,143.0,1.588,0.031
-37.0,145.0,1.597,0.189
-37.0,147.0,1.356,-0.15
-37.0,149.0,1.38,-0.051
-37.0,175.0,1.863,2.207
-37.0,287.0,1.178,0.059
-37.0,289.0,1.38,0.058
-37.0,291.0,1.411,0.372
-37.0,293.0,1.462,0.39
-37.0,295.0,1.426,0.152
-37.0,297.0,1.573,0.239
-37.0,299.0,1.532,0.053
-37.0,301.0,1.529,0.138
-37.0,303.0,1.487,0.185
-35.0,137.0,1.427,0.309
-35.0,139.0,1.595,0.077
-35.0,141.0,1.629,-0.263
-35.0,143.0,1.688,-0.09
-35.0,145.0,1.706,0.084
-35.0,147.0,1.547,0.194
-35.0,149.0,1.371,-0.092
-35.0,289.0,1.335,-0.233
-35.0,291.0,1.549,0.307
-35.0,293.0,1.541,0.518
-35.0,295.0,1.579,0.697
-35.0,297.0,1.617,0.729
-35.0,299.0,1.657,0.743
-35.0,301.0,1.616,0.57
-33.0,19.0,1.673,0.098
-33.0,21.0,1.627,-0.29
-33.0,23.0,1.537,0.139
-33.0,25.0,1.402,0.01
-33.0,27.0,1.261,0.164
-33.0,117.0,1.812,-0.104
-33.0,119.0,1.584,-0.11
-33.0,121.0,1.527,-0.16
-33.0,123.0,1.408,0.146
-33.0,135.0,1.64,0.545
-33.0,137.0,1.754,0.229
-33.0,139.0,1.621,-0.013
-33.0,141.0,1.729,-0.024
-33.0,143.0,1.736,-0.381
-33.0,145.0,1.757,-0.276
-33.0,147.0,1.492,0.018
-33.0,149.0,1.391,-0.366
-33.0,151.0,1.325,0.027
-33.0,289.0,1.425,-0.643
-33.0,291.0,1.527,0.448
-33.0,293.0,1.672,0.576
-33.0,295.0,1.661,0.388
-33.0,297.0,1.692,0.725
-33.0,299.0,1.675,0.898
-33.0,301.0,1.747,0.775
-33.0,303.0,1.668,0.35
-33.0,305.0,1.652,0.344
-33.0,307.0,1.586,0.071
-31.0,19.0,1.656,0.192
-31.0,21.0,1.934,-0.233
-31.0,23.0,1.688,0.07
-31.0,25.0,1.63,-0.579
-31.0,27.0,1.491,-0.347
-31.0,29.0,1.469,-0.113
-31.0,117.0,1.803,0.1
-31.0,119.0,1.692,0.205
-31.0,121.0,1.709,0.481
-31.0,123.0,1.675,0.403
-31.0,125.0,1.657,0.506
-31.0,127.0,1.682,0.315
-31.0,129.0,1.568,0.339
-31.0,131.0,1.574,0.803
-31.0,133.0,1.738,0.442
-31.0,135.0,1.77,0.304
-31.0,137.0,1.848,0.392
-31.0,139.0,1.875,0.03
-31.0,141.0,1.887,0.379
-31.0,143.0,1.812,-0.304
-31.0,145.0,1.63,-0.028
-31.0,147.0,1.562,-0.347
-31.0,149.0,1.556,-0.513
-31.0,151.0,1.466,-0.48
-31.0,153.0,1.459,0.045
-31.0,289.0,1.491,-0.378
-31.0,291.0,1.593,-0.076
-31.0,293.0,1.7,0.195
-31.0,295.0,1.643,0.212
-31.0,297.0,1.775,0.606
-31.0,299.0,1.792,0.655
-31.0,301.0,1.78,0.671
-31.0,303.0,1.724,0.381
-31.0,305.0,1.727,0.393
-31.0,307.0,1.76,0.95
-29.0,17.0,1.913,0.553
-29.0,19.0,1.922,0.508
-29.0,21.0,1.849,0.75
-29.0,23.0,1.776,0.284
-29.0,25.0,1.737,0.196
-29.0,27.0,1.691,0.811
-29.0,29.0,1.402,0.044
-29.0,31.0,1.419,-0.421
-29.0,115.0,1.684,0.167
-29.0,117.0,2.005,0.267
-29.0,119.0,1.911,0.416
-29.0,121.0,1.854,0.718
-29.0,123.0,1.831,0.475
-29.0,125.0,1.806,0.695
-29.0,127.0,1.904,0.694
-29.0,129.0,1.743,0.754
-29.0,131.0,1.788,0.692
-29.0,133.0,1.839,0.304
-29.0,135.0,1.91,0.371
-29.0,137.0,1.635,0.134
-29.0,139.0,1.791,-0.049
-29.0,141.0,1.929,0.251
-29.0,143.0,1.879,-0.221
-29.0,145.0,1.623,-0.273
-29.0,147.0,1.568,-0.272
-29.0,149.0,1.716,-0.864
-29.0,151.0,1.554,-0.576
-29.0,153.0,1.568,-0.041
-29.0,289.0,2.127,-0.392
-29.0,291.0,1.581,-0.432
-29.0,293.0,1.583,-0.445
-29.0,295.0,1.709,0.101
-29.0,297.0,1.625,0.835
-29.0,299.0,1.62,0.871
-29.0,301.0,1.616,0.438
-29.0,303.0,1.625,0.428
-29.0,305.0,1.709,0.764
-29.0,307.0,1.659,0.785
-29.0,309.0,1.619,0.572
-27.0,17.0,1.843,0.948
-27.0,19.0,1.927,0.803
-27.0,21.0,1.837,0.542
-27.0,23.0,1.921,-0.174
-27.0,25.0,1.682,0.621
-27.0,27.0,1.606,0.461
-27.0,29.0,1.457,0.001
-27.0,31.0,1.458,0.017
-27.0,115.0,1.849,0.383
-27.0,117.0,2.12,0.095
-27.0,119.0,1.943,0.366
-27.0,121.0,1.953,0.512
-27.0,123.0,2.026,1.087
-27.0,125.0,1.903,0.99
-27.0,127.0,1.871,0.517
-27.0,129.0,1.763,0.409
-27.0,131.0,1.787,0.327
-27.0,133.0,1.944,0.569
-27.0,135.0,1.892,0.207
-27.0,137.0,1.822,-0.069
-27.0,139.0,1.817,0.179
-27.0,141.0,1.808,-0.389
-27.0,143.0,1.765,-0.471
-27.0,145.0,1.632,-0.569
-27.0,147.0,1.687,-0.507
-27.0,149.0,1.755,-0.453
-27.0,151.0,1.733,-0.341
-27.0,153.0,1.62,-0.283
-27.0,291.0,1.744,-0.517
-27.0,293.0,1.45,-0.201
-27.0,295.0,1.542,0.108
-27.0,297.0,1.527,0.182
-27.0,299.0,1.528,0.758
-27.0,301.0,1.579,0.974
-27.0,303.0,1.513,0.391
-27.0,305.0,1.581,0.426
-27.0,307.0,1.544,0.858
-27.0,309.0,1.613,0.433
-27.0,311.0,1.464,0.554
-25.0,15.0,2.005,0.842
-25.0,17.0,1.769,0.793
-25.0,19.0,1.871,0.134
-25.0,21.0,1.721,1.001
-25.0,23.0,1.658,0.174
-25.0,25.0,1.709,0.21
-25.0,27.0,1.496,0.132
-25.0,29.0,1.535,0.217
-25.0,31.0,1.456,0.299
-25.0,33.0,1.658,0.464
-25.0,45.0,1.533,0.162
-25.0,115.0,2.136,0.089
-25.0,117.0,1.98,0.22
-25.0,119.0,2.154,-0.001
-25.0,121.0,1.877,0.91
-25.0,123.0,1.899,1.105
-25.0,125.0,1.819,0.922
-25.0,127.0,1.946,0.379
-25.0,129.0,1.783,0.48
-25.0,131.0,1.874,0.127
-25.0,133.0,1.913,0.496
-25.0,135.0,2.004,-0.002
-25.0,137.0,1.964,-0.151
-25.0,139.0,1.861,-0.538
-25.0,141.0,1.761,-0.927
-25.0,143.0,1.707,-0.83
-25.0,145.0,1.694,-0.543
-25.0,147.0,1.563,-0.498
-25.0,149.0,1.782,-0.674
-25.0,151.0,1.687,0.023
-25.0,291.0,1.812,-0.15
-25.0,293.0,1.822,-0.269
-25.0,295.0,1.646,0.553
-25.0,297.0,1.532,0.102
-25.0,299.0,1.375,0.3
-25.0,301.0,1.479,0.842
-25.0,303.0,1.607,0.756
-25.0,305.0,1.48,0.406
-25.0,307.0,1.562,0.636
-25.0,309.0,1.504,0.784
-25.0,311.0,1.526,0.428
-23.0,15.0,2.043,0.686
-23.0,17.0,1.859,0.818
-23.0,19.0,1.532,0.545
-23.0,21.0,1.712,0.748
-23.0,23.0,1.639,0.716
-23.0,25.0,1.725,0.637
-23.0,27.0,1.717,1.201
-23.0,29.0,1.779,0.538
-23.0,31.0,1.755,0.396
-23.0,33.0,1.819,0.02
-23.0,35.0,1.673,0.66
-23.0,45.0,1.608,0.806
-23.0,47.0,1.692,0.978
-23.0,115.0,1.884,0.11
-23.0,117.0,1.873,0.188
-23.0,119.0,1.729,0.347
-23.0,121.0,1.812,1.117
-23.0,123.0,1.812,0.61
-23.0,125.0,1.798,0.641
-23.0,127.0,1.755,0.163
-23.0,129.0,1.752,0.26
-23.0,131.0,1.764,0.52
-23.0,133.0,1.768,0.516
-23.0,135.0,1.815,0.211
-23.0,137.0,1.929,-0.091
-23.0,139.0,1.975,-0.675
-23.0,141.0,1.837,-0.98
-23.0,143.0,1.69,-0.829
-23.0,145.0,1.674,-0.626
-23.0,147.0,1.678,-0.526
-23.0,149.0,1.79,-0.427
-23.0,291.0,1.672,0.061
-23.0,293.0,1.472,-0.041
-23.0,295.0,1.423,0.316
-23.0,297.0,1.547,0.218
-23.0,299.0,1.501,-0.461
-23.0,301.0,1.414,0.052
-23.0,303.0,1.497,0.038
-23.0,305.0,1.54,0.009
-23.0,307.0,1.57,0.396
-23.0,309.0,1.633,0.639
-23.0,311.0,1.612,0.857
-23.0,313.0,1.649,0.381
-23.0,315.0,1.525,0.369
-21.0,15.0,1.876,0.152
-21.0,17.0,1.702,1.032
-21.0,19.0,1.557,0.588
-21.0,21.0,1.706,0.628
-21.0,23.0,1.652,0.886
-21.0,25.0,1.514,1.024
-21.0,27.0,1.747,0.985
-21.0,29.0,1.91,0.818
-21.0,31.0,1.781,1.468
-21.0,33.0,1.707,0.794
-21.0,35.0,1.584,1.146
-21.0,45.0,1.634,1.458
-21.0,47.0,1.818,1.273
-21.0,117.0,1.648,0.646
-21.0,119.0,1.448,0.239
-21.0,121.0,1.421,0.297
-21.0,123.0,1.484,0.023
-21.0,125.0,1.646,0.4
-21.0,127.0,1.709,0.255
-21.0,129.0,1.653,0.076
-21.0,131.0,1.719,0.491
-21.0,133.0,1.699,-0.208
-21.0,135.0,1.689,0.156
-21.0,137.0,1.703,0.386
-21.0,139.0,1.578,-0.836
-21.0,141.0,1.65,-1.131
-21.0,143.0,1.476,-0.764
-21.0,145.0,1.58,-0.738
-21.0,147.0,1.68,-0.708
-21.0,149.0,1.642,0.089
-21.0,165.0,2.413,1.581
-21.0,291.0,1.66,-0.1
-21.0,293.0,1.567,-0.196
-21.0,295.0,1.443,0.486
-21.0,297.0,1.456,-0.104
-21.0,299.0,1.505,-0.198
-21.0,301.0,1.426,-0.354
-21.0,303.0,1.537,0.052
-21.0,305.0,1.497,-0.093
-21.0,307.0,1.517,0.198
-21.0,309.0,1.596,0.967
-21.0,311.0,1.642,0.594
-21.0,313.0,1.652,0.549
-21.0,315.0,1.584,0.411
-21.0,317.0,1.604,0.291
-21.0,319.0,1.711,0.171
-19.0,13.0,2.114,0.159
-19.0,15.0,1.673,0.663
-19.0,17.0,1.597,0.791
-19.0,19.0,1.548,0.356
-19.0,21.0,1.484,0.531
-19.0,23.0,1.476,0.835
-19.0,25.0,1.483,1.023
-19.0,27.0,1.449,0.763
-19.0,29.0,1.75,1.625
-19.0,31.0,1.68,1.362
-19.0,33.0,1.583,1.347
-19.0,35.0,1.592,0.965
-19.0,45.0,1.639,1.46
-19.0,47.0,1.931,1.648
-19.0,49.0,1.862,1.121
-19.0,123.0,1.356,0.155
-19.0,125.0,1.388,-0.106
-19.0,127.0,1.448,-0.237
-19.0,129.0,1.501,-0.142
-19.0,131.0,1.558,-0.057
-19.0,133.0,1.568,-0.244
-19.0,135.0,1.481,0.122
-19.0,137.0,1.474,0.039
-19.0,139.0,1.457,-0.433
-19.0,141.0,1.405,-0.184
-19.0,143.0,1.584,-0.508
-19.0,145.0,1.537,-0.338
-19.0,291.0,1.495,-0.227
-19.0,293.0,1.819,0.841
-19.0,295.0,1.426,0.383
-19.0,297.0,1.671,0.101
-19.0,299.0,1.474,0.187
-19.0,301.0,1.544,0.328
-19.0,303.0,1.513,-0.123
-19.0,305.0,1.503,0.139
-19.0,307.0,1.599,0.132
-19.0,309.0,1.498,0.097
-19.0,311.0,1.627,-0.028
-19.0,313.0,1.51,0.38
-19.0,315.0,1.529,-0.028
-19.0,317.0,1.597,-0.059
-19.0,319.0,1.704,-0.06
-17.0,13.0,1.962,1.462
-17.0,15.0,1.933,2.32
-17.0,17.0,1.856,1.719
-17.0,19.0,1.68,1.07
-17.0,21.0,1.611,0.592
-17.0,23.0,1.581,1.046
-17.0,25.0,1.648,0.962
-17.0,27.0,1.517,0.822
-17.0,29.0,1.565,1.232
-17.0,31.0,1.589,1.392
-17.0,33.0,1.696,0.902
-17.0,35.0,1.64,1.077
-17.0,37.0,1.519,0.642
-17.0,45.0,1.791,1.399
-17.0,47.0,1.81,1.289
-17.0,49.0,1.712,1.058
-17.0,123.0,1.839,0.103
-17.0,125.0,1.609,0.047
-17.0,127.0,1.453,-0.612
-17.0,129.0,1.37,-0.431
-17.0,131.0,1.373,-0.315
-17.0,133.0,1.411,0.13
-17.0,135.0,1.328,0.011
-17.0,137.0,1.533,0.181
-17.0,139.0,1.775,-0.335
-17.0,141.0,2.119,-0.049
-17.0,143.0,1.536,0.077
-17.0,145.0,1.823,0.43
-17.0,289.0,1.669,-0.397
-17.0,291.0,1.427,0.374
-17.0,293.0,1.371,0.234
-17.0,295.0,1.661,1.005
-17.0,297.0,1.627,0.987
-17.0,299.0,1.596,0.367
-17.0,301.0,1.437,0.471
-17.0,303.0,1.438,0.235
-17.0,305.0,1.548,-0.06
-17.0,307.0,1.547,0.106
-17.0,309.0,1.562,-0.008
-17.0,311.0,1.639,-0.046
-17.0,313.0,1.631,-0.027
-17.0,315.0,1.574,0.204
-17.0,317.0,1.538,-0.184
-17.0,319.0,1.703,-0.243
-15.0,13.0,2.717,3.5
-15.0,15.0,2.792,4.113
-15.0,17.0,2.635,3.807
-15.0,19.0,2.0,2.236
-15.0,21.0,1.732,1.308
-15.0,23.0,1.774,1.175
-15.0,25.0,1.676,1.704
-15.0,27.0,1.715,0.902
-15.0,29.0,1.617,0.666
-15.0,31.0,1.545,0.868
-15.0,33.0,1.622,1.055
-15.0,35.0,1.62,1.038
-15.0,37.0,1.555,0.761
-15.0,39.0,1.609,0.999
-15.0,49.0,1.823,1.244
-15.0,127.0,1.77,-0.995
-15.0,129.0,1.772,0.145
-15.0,131.0,1.903,-0.264
-15.0,133.0,1.537,-0.241
-15.0,135.0,1.487,-0.104
-15.0,143.0,1.638,0.13
-15.0,145.0,1.587,-0.24
-15.0,285.0,1.911,-0.506
-15.0,287.0,1.587,0.422
-15.0,289.0,1.625,0.622
-15.0,291.0,1.523,-0.265
-15.0,293.0,1.73,0.712
-15.0,295.0,1.614,0.927
-15.0,297.0,1.639,0.839
-15.0,299.0,1.543,0.417
-15.0,301.0,1.467,0.294
-15.0,303.0,1.496,-0.213
-15.0,305.0,1.509,-0.107
-15.0,307.0,1.546,0.173
-15.0,309.0,1.474,0.217
-15.0,311.0,1.672,0.244
-15.0,313.0,1.527,-0.068
-15.0,315.0,1.482,0.042
-15.0,317.0,1.661,0.544
-15.0,319.0,1.537,0.497
-13.0,13.0,3.219,5.359
-13.0,15.0,2.222,2.637
-13.0,17.0,2.724,nan
-13.0,19.0,2.56,2.632
-13.0,21.0,1.917,2.225
-13.0,23.0,1.809,1.248
-13.0,25.0,1.709,1.532
-13.0,27.0,1.746,1.317
-13.0,29.0,1.872,1.712
-13.0,31.0,1.615,1.18
-13.0,33.0,1.576,1.377
-13.0,35.0,1.634,1.208
-13.0,37.0,1.588,1.215
-13.0,39.0,1.593,1.194
-13.0,49.0,1.765,1.19
-13.0,131.0,1.738,0.8
-13.0,133.0,1.657,0.741
-13.0,135.0,1.699,0.213
-13.0,143.0,1.499,0.615
-13.0,285.0,1.56,0.157
-13.0,287.0,1.652,0.716
-13.0,289.0,1.636,1.26
-13.0,291.0,1.859,0.519
-13.0,293.0,1.667,0.597
-13.0,295.0,1.71,0.454
-13.0,297.0,1.626,0.728
-13.0,299.0,1.639,0.972
-13.0,301.0,1.648,0.375
-13.0,303.0,1.641,0.257
-13.0,305.0,1.651,0.008
-13.0,307.0,1.633,0.533
-13.0,309.0,1.636,0.095
-13.0,311.0,1.633,-0.073
-13.0,313.0,1.606,-0.028
-13.0,315.0,1.474,-0.251
-13.0,317.0,1.495,0.48
-13.0,319.0,1.622,0.845
-13.0,321.0,1.537,0.24
-11.0,15.0,2.078,2.313
-11.0,17.0,2.769,2.91
-11.0,19.0,2.814,nan
-11.0,21.0,2.252,2.523
-11.0,23.0,1.852,1.815
-11.0,25.0,1.776,1.515
-11.0,27.0,1.743,1.204
-11.0,29.0,1.689,1.643
-11.0,31.0,1.755,1.268
-11.0,33.0,1.802,1.85
-11.0,35.0,1.602,1.358
-11.0,37.0,1.742,1.618
-11.0,39.0,1.902,2.697
-11.0,283.0,1.952,-0.405
-11.0,285.0,1.993,0.375
-11.0,287.0,1.927,1.567
-11.0,289.0,1.899,1.678
-11.0,291.0,2.029,0.495
-11.0,293.0,1.791,0.568
-11.0,295.0,1.704,0.602
-11.0,297.0,1.814,0.703
-11.0,299.0,1.84,0.856
-11.0,301.0,1.645,0.45
-11.0,303.0,1.609,0.23
-11.0,305.0,1.55,0.414
-11.0,307.0,1.741,0.332
-11.0,309.0,1.653,-0.065
-11.0,311.0,1.709,-0.321
-11.0,313.0,1.671,-0.267
-11.0,315.0,1.523,-0.084
-11.0,317.0,1.606,0.728
-11.0,319.0,1.675,1.036
-11.0,321.0,1.798,1.195
-9.0,15.0,2.279,2.253
-9.0,17.0,2.478,3.277
-9.0,19.0,2.593,2.845
-9.0,21.0,2.36,2.875
-9.0,23.0,1.913,1.757
-9.0,25.0,1.838,1.291
-9.0,27.0,1.549,1.31
-9.0,29.0,1.919,1.543
-9.0,31.0,1.894,2.168
-9.0,33.0,1.926,2.261
-9.0,35.0,1.948,1.541
-9.0,37.0,1.84,1.678
-9.0,39.0,1.909,2.085
-9.0,117.0,2.472,1.735
-9.0,125.0,1.902,1.96
-9.0,141.0,1.769,1.654
-9.0,143.0,1.607,1.443
-9.0,147.0,1.941,1.634
-9.0,161.0,2.338,2.397
-9.0,283.0,1.735,0.093
-9.0,285.0,1.999,0.472
-9.0,287.0,1.837,0.97
-9.0,289.0,1.859,1.021
-9.0,291.0,1.844,0.643
-9.0,293.0,1.84,0.102
-9.0,295.0,1.84,0.313
-9.0,297.0,1.741,0.228
-9.0,299.0,1.77,0.096
-9.0,301.0,1.715,0.581
-9.0,303.0,1.744,0.725
-9.0,305.0,1.663,0.53
-9.0,307.0,1.638,0.41
-9.0,309.0,1.605,-0.211
-9.0,311.0,1.569,-0.543
-9.0,313.0,1.57,0.069
-9.0,315.0,1.676,0.368
-9.0,317.0,1.592,0.348
-9.0,319.0,1.7,1.037
-9.0,321.0,1.895,1.081
-9.0,323.0,1.79,0.852
-7.0,13.0,3.051,4.688
-7.0,15.0,2.401,2.79
-7.0,17.0,2.129,2.671
-7.0,19.0,1.932,2.233
-7.0,21.0,1.762,1.982
-7.0,23.0,1.777,1.625
-7.0,25.0,1.725,1.136
-7.0,27.0,1.763,1.516
-7.0,29.0,1.954,2.372
-7.0,31.0,2.062,2.29
-7.0,33.0,1.941,1.963
-7.0,35.0,1.943,1.436
-7.0,37.0,2.071,1.647
-7.0,39.0,2.113,1.946
-7.0,107.0,2.143,2.004
-7.0,109.0,2.191,2.285
-7.0,111.0,2.237,2.121
-7.0,113.0,3.174,3.245
-7.0,139.0,1.629,1.415
-7.0,141.0,1.73,1.116
-7.0,143.0,1.828,1.704
-7.0,145.0,2.003,nan
-7.0,157.0,1.744,1.203
-7.0,281.0,1.897,-0.918
-7.0,283.0,1.623,0.864
-7.0,285.0,1.875,1.442
-7.0,287.0,1.674,0.541
-7.0,289.0,1.883,1.14
-7.0,291.0,1.646,0.462
-7.0,293.0,1.864,0.521
-7.0,295.0,1.686,-0.081
-7.0,297.0,1.568,-0.047
-7.0,299.0,1.608,0.471
-7.0,301.0,1.712,0.801
-7.0,303.0,1.861,0.943
-7.0,305.0,1.699,0.749
-7.0,307.0,1.585,0.395
-7.0,309.0,1.558,0.149
-7.0,311.0,1.613,0.08
-7.0,313.0,1.587,0.467
-7.0,315.0,1.704,0.789
-7.0,317.0,1.679,0.676
-7.0,319.0,1.649,1.13
-7.0,321.0,1.826,1.434
-7.0,323.0,2.056,1.222
-7.0,325.0,1.764,1.378
-5.0,13.0,2.161,2.433
-5.0,15.0,2.198,2.279
-5.0,17.0,1.88,1.818
-5.0,19.0,1.641,1.167
-5.0,21.0,1.665,0.827
-5.0,23.0,1.71,1.063
-5.0,25.0,1.852,0.921
-5.0,27.0,2.063,1.97
-5.0,29.0,1.644,1.652
-5.0,31.0,2.453,2.607
-5.0,33.0,2.044,2.366
-5.0,35.0,1.91,1.478
