nup,condicion,intensidad_relativa
Nup358,-VS,1.45
Nup358,-VS,0.55
Nup358,-VS,1.036
Nup358,-VS,0.926
Nup358,-VS,0.94
Nup358,-VS,1.113
Nup358,-VS,0.718
Nup358,-VS,0.644
Nup358,-VS,0.996
Nup358,-VS,0.822
Nup358,-VS,1.156
Nup358,-VS,0.636
Nup358,-VS,1.414
Nup358,-VS,0.637
Nup358,-VS,1.297
Nup358,-VS,0.798
Nup358,-VS,0.683
Nup358,-VS,1.215
Nup358,-VS,0.788
Nup358,-VS,1.004
Nup358,-VS,0.855
Nup358,-VS,1.375
Nup358,-VS,1.177
Nup358,-VS,0.908
Nup358,-VS,1.031
Nup358,-VS,0.75
Nup358,-VS,1.35
Nup358,-VS,0.856
Nup358,-VS,0.851
Nup358,-VS,1.426
Nup358,-VS,1.306
Nup358,-VS,0.787
Nup358,-VS,0.615
Nup358,-VS,1.02
Nup358,-VS,1.289
Nup358,-VS,1.58
Nup358,-VS,1.01
Nup358,-VS,1.582
Nup358,-VS,1.697
Nup358,-VS,0.68
Nup358,-VS,1.238
Nup358,-VS,0.979
Nup358,-VS,0.808
Nup358,-VS,1.013
Nup358,-VS,1.611
Nup358,-VS,1.365
Nup358,-VS,1.013
Nup358,-VS,0.665
Nup358,-VS,0.848
Nup358,-VS,0.981
Nup358,+VS,0.937
Nup358,+VS,0.705
Nup358,+VS,1.236
Nup358,+VS,1.243
Nup358,+VS,0.731
Nup358,+VS,0.965
Nup358,+VS,0.92
Nup358,+VS,0.783
Nup358,+VS,0.782
Nup358,+VS,1.054
Nup358,+VS,1.529
Nup358,+VS,0.659
Nup358,+VS,0.642
Nup358,+VS,0.723
Nup358,+VS,1.236
Nup358,+VS,0.637
Nup358,+VS,1.011
Nup358,+VS,1.018
Nup358,+VS,1.226
Nup358,+VS,0.989
Nup358,+VS,1.125
Nup358,+VS,1.505
Nup358,+VS,0.634
Nup358,+VS,0.968
Nup358,+VS,1.204
Nup358,+VS,0.9
Nup358,+VS,1.585
Nup358,+VS,0.598
Nup358,+VS,0.843
Nup358,+VS,0.981
Nup358,+VS,1.322
Nup358,+VS,0.618
Nup358,+VS,0.958
Nup358,+VS,1.219
Nup358,+VS,0.644
Nup358,+VS,0.834
Nup358,+VS,1.192
Nup358,+VS,1.283
Nup358,+VS,0.898
Nup358,+VS,0.624
Nup358,+VS,1.522
Nup358,+VS,0.944
Nup358,+VS,1.315
Nup358,+VS,0.809
Nup358,+VS,0.695
Nup358,+VS,0.909
Nup358,+VS,0.84
Nup358,+VS,0.906
Nup358,+VS,1.133
Nup358,+VS,1.06
Nup214,-VS,0.865
Nup214,-VS,1.102
Nup214,-VS,1.071
Nup214,-VS,1.251
Nup214,-VS,0.662
Nup214,-VS,0.86
Nup214,-VS,0.938
Nup214,-VS,0.895
Nup214,-VS,0.971
Nup214,-VS,1.15
Nup214,-VS,0.792
Nup214,-VS,0.548
Nup214,-VS,0.895
Nup214,-VS,1.132
Nup214,-VS,1.054
Nup214,-VS,1.215
Nup214,-VS,1.505
Nup214,-VS,1.314
Nup214,-VS,1.104
Nup214,-VS,1.17
