city,storm_type_code,storm_type,domain,urban_or_rural,hour,count
Dallas,SC,single_cell,city,urban,0,1009
Dallas,SC,single_cell,city,urban,1,384
Dallas,SC,single_cell,city,urban,2,52
Dallas,SC,single_cell,city,urban,3,13
Dallas,SC,single_cell,city,urban,4,1
Dallas,SC,single_cell,city,urban,5,0
Dallas,SC,single_cell,city,urban,6,0
Dallas,SC,single_cell,city,urban,7,0
Dallas,SC,single_cell,city,urban,8,0
Dallas,SC,single_cell,city,urban,9,0
Dallas,SC,single_cell,city,urban,10,0
Dallas,SC,single_cell,city,urban,11,0
Dallas,SC,single_cell,city,urban,12,0
Dallas,SC,single_cell,city,urban,13,0
Dallas,SC,single_cell,city,urban,14,0
Dallas,SC,single_cell,city,urban,15,0
Dallas,SC,single_cell,city,urban,16,0
Dallas,SC,single_cell,city,urban,17,0
Dallas,SC,single_cell,city,urban,18,0
Dallas,SC,single_cell,city,urban,19,0
Dallas,SC,single_cell,city,urban,20,0
Dallas,SC,single_cell,city,urban,21,0
Dallas,SC,single_cell,city,urban,22,0
Dallas,SC,single_cell,city,urban,23,0
Dallas,IS,isolated,city,urban,0,60
Dallas,IS,isolated,city,urban,1,67
Dallas,IS,isolated,city,urban,2,46
Dallas,IS,isolated,city,urban,3,19
Dallas,IS,isolated,city,urban,4,17
Dallas,IS,isolated,city,urban,5,17
Dallas,IS,isolated,city,urban,6,6
Dallas,IS,isolated,city,urban,7,8
Dallas,IS,isolated,city,urban,8,3
Dallas,IS,isolated,city,urban,9,1
Dallas,IS,isolated,city,urban,10,0
Dallas,IS,isolated,city,urban,11,1
Dallas,IS,isolated,city,urban,12,1
Dallas,IS,isolated,city,urban,13,1
Dallas,IS,isolated,city,urban,14,0
Dallas,IS,isolated,city,urban,15,0
Dallas,IS,isolated,city,urban,16,0
Dallas,IS,isolated,city,urban,17,0
Dallas,IS,isolated,city,urban,18,0
Dallas,IS,isolated,city,urban,19,0
Dallas,IS,isolated,city,urban,20,0
Dallas,IS,isolated,city,urban,21,0
Dallas,IS,isolated,city,urban,22,0
Dallas,IS,isolated,city,urban,23,0
Dallas,TS,tropical,city,urban,0,0
Dallas,TS,tropical,city,urban,1,0
Dallas,TS,tropical,city,urban,2,0
Dallas,TS,tropical,city,urban,3,0
Dallas,TS,tropical,city,urban,4,0
Dallas,TS,tropical,city,urban,5,0
Dallas,TS,tropical,city,urban,6,0
Dallas,TS,tropical,city,urban,7,1
Dallas,TS,tropical,city,urban,8,1
Dallas,TS,tropical,city,urban,9,0
Dallas,TS,tropical,city,urban,10,0
Dallas,TS,tropical,city,urban,11,0
Dallas,TS,tropical,city,urban,12,0
Dallas,TS,tropical,city,urban,13,0
Dallas,TS,tropical,city,urban,14,0
Dallas,TS,tropical,city,urban,15,0
Dallas,TS,tropical,city,urban,16,0
Dallas,TS,tropical,city,urban,17,1
Dallas,TS,tropical,city,urban,18,0
Dallas,TS,tropical,city,urban,19,1
Dallas,TS,tropical,city,urban,20,1
Dallas,TS,tropical,city,urban,21,0
Dallas,TS,tropical,city,urban,22,0
Dallas,TS,tropical,city,urban,23,2
Dallas,WF,warm_front,city,urban,0,5
Dallas,WF,warm_front,city,urban,1,5
Dallas,WF,warm_front,city,urban,2,5
Dallas,WF,warm_front,city,urban,3,5
Dallas,WF,warm_front,city,urban,4,5
Dallas,WF,warm_front,city,urban,5,11
Dallas,WF,warm_front,city,urban,6,8
Dallas,WF,warm_front,city,urban,7,5
Dallas,WF,warm_front,city,urban,8,7
Dallas,WF,warm_front,city,urban,9,7
Dallas,WF,warm_front,city,urban,10,9
Dallas,WF,warm_front,city,urban,11,6
Dallas,WF,warm_front,city,urban,12,6
Dallas,WF,warm_front,city,urban,13,3
Dallas,WF,warm_front,city,urban,14,1
Dallas,WF,warm_front,city,urban,15,1
Dallas,WF,warm_front,city,urban,16,1
Dallas,WF,warm_front,city,urban,17,1
Dallas,WF,warm_front,city,urban,18,1
Dallas,WF,warm_front,city,urban,19,1
Dallas,WF,warm_front,city,urban,20,1
Dallas,WF,warm_front,city,urban,21,2
Dallas,WF,warm_front,city,urban,22,0
Dallas,WF,warm_front,city,urban,23,0
Dallas,CF,cold_front,city,urban,0,7
Dallas,CF,cold_front,city,urban,1,9
Dallas,CF,cold_front,city,urban,2,10
Dallas,CF,cold_front,city,urban,3,7
Dallas,CF,cold_front,city,urban,4,14
Dallas,CF,cold_front,city,urban,5,18
Dallas,CF,cold_front,city,urban,6,30
Dallas,CF,cold_front,city,urban,7,24
Dallas,CF,cold_front,city,urban,8,20
Dallas,CF,cold_front,city,urban,9,22
Dallas,CF,cold_front,city,urban,10,20
Dallas,CF,cold_front,city,urban,11,14
Dallas,CF,cold_front,city,urban,12,15
Dallas,CF,cold_front,city,urban,13,13
Dallas,CF,cold_front,city,urban,14,7
Dallas,CF,cold_front,city,urban,15,6
Dallas,CF,cold_front,city,urban,16,9
Dallas,CF,cold_front,city,urban,17,3
Dallas,CF,cold_front,city,urban,18,6
Dallas,CF,cold_front,city,urban,19,0
Dallas,CF,cold_front,city,urban,20,1
Dallas,CF,cold_front,city,urban,21,0
Dallas,CF,cold_front,city,urban,22,2
Dallas,CF,cold_front,city,urban,23,1
Dallas,SC,single_cell,north,rural,0,1068
Dallas,SC,single_cell,north,rural,1,352
Dallas,SC,single_cell,north,rural,2,56
Dallas,SC,single_cell,north,rural,3,8
Dallas,SC,single_cell,north,rural,4,0
Dallas,SC,single_cell,north,rural,5,0
Dallas,SC,single_cell,north,rural,6,0
Dallas,SC,single_cell,north,rural,7,0
Dallas,SC,single_cell,north,rural,8,0
Dallas,SC,single_cell,north,rural,9,0
Dallas,SC,single_cell,north,rural,10,0
Dallas,SC,single_cell,north,rural,11,0
Dallas,SC,single_cell,north,rural,12,0
Dallas,SC,single_cell,north,rural,13,0
Dallas,SC,single_cell,north,rural,14,0
Dallas,SC,single_cell,north,rural,15,0
Dallas,SC,single_cell,north,rural,16,0
Dallas,SC,single_cell,north,rural,17,0
Dallas,SC,single_cell,north,rural,18,0
Dallas,SC,single_cell,north,rural,19,0
Dallas,SC,single_cell,north,rural,20,0
Dallas,SC,single_cell,north,rural,21,0
Dallas,SC,single_cell,north,rural,22,0
Dallas,SC,single_cell,north,rural,23,0
Dallas,IS,isolated,north,rural,0,54
Dallas,IS,isolated,north,rural,1,57
Dallas,IS,isolated,north,rural,2,26
Dallas,IS,isolated,north,rural,3,24
Dallas,IS,isolated,north,rural,4,21
Dallas,IS,isolated,north,rural,5,19
Dallas,IS,isolated,north,rural,6,4
Dallas,IS,isolated,north,rural,7,2
Dallas,IS,isolated,north,rural,8,2
Dallas,IS,isolated,north,rural,9,2
Dallas,IS,isolated,north,rural,10,1
Dallas,IS,isolated,north,rural,11,1
Dallas,IS,isolated,north,rural,12,0
Dallas,IS,isolated,north,rural,13,0
Dallas,IS,isolated,north,rural,14,0
Dallas,IS,isolated,north,rural,15,0
Dallas,IS,isolated,north,rural,16,1
Dallas,IS,isolated,north,rural,17,0
Dallas,IS,isolated,north,rural,18,0
Dallas,IS,isolated,north,rural,19,0
Dallas,IS,isolated,north,rural,20,0
Dallas,IS,isolated,north,rural,21,0
Dallas,IS,isolated,north,rural,22,0
Dallas,IS,isolated,north,rural,23,0
Dallas,TS,tropical,north,rural,0,0
Dallas,TS,tropical,north,rural,1,0
Dallas,TS,tropical,north,rural,2,0
Dallas,TS,tropical,north,rural,3,0
Dallas,TS,tropical,north,rural,4,0
Dallas,TS,tropical,north,rural,5,0
Dallas,TS,tropical,north,rural,6,0
Dallas,TS,tropical,north,rural,7,0
Dallas,TS,tropical,north,rural,8,0
Dallas,TS,tropical,north,rural,9,0
Dallas,TS,tropical,north,rural,10,0
Dallas,TS,tropical,north,rural,11,1
Dallas,TS,tropical,north,rural,12,0
Dallas,TS,tropical,north,rural,13,0
Dallas,TS,tropical,north,rural,14,0
Dallas,TS,tropical,north,rural,15,0
Dallas,TS,tropical,north,rural,16,0
Dallas,TS,tropical,north,rural,17,1
Dallas,TS,tropical,north,rural,18,0
Dallas,TS,tropical,north,rural,19,0
Dallas,TS,tropical,north,rural,20,1
Dallas,TS,tropical,north,rural,21,0
Dallas,TS,tropical,north,rural,22,0
Dallas,TS,tropical,north,rural,23,0
Dallas,WF,warm_front,north,rural,0,1
Dallas,WF,warm_front,north,rural,1,3
Dallas,WF,warm_front,north,rural,2,3
Dallas,WF,warm_front,north,rural,3,2
Dallas,WF,warm_front,north,rural,4,7
Dallas,WF,warm_front,north,rural,5,2
Dallas,WF,warm_front,north,rural,6,10
Dallas,WF,warm_front,north,rural,7,7
Dallas,WF,warm_front,north,rural,8,14
Dallas,WF,warm_front,north,rural,9,7
Dallas,WF,warm_front,north,rural,10,3
Dallas,WF,warm_front,north,rural,11,5
Dallas,WF,warm_front,north,rural,12,4
Dallas,WF,warm_front,north,rural,13,3
Dallas,WF,warm_front,north,rural,14,3
Dallas,WF,warm_front,north,rural,15,3
Dallas,WF,warm_front,north,rural,16,1
Dallas,WF,warm_front,north,rural,17,2
Dallas,WF,warm_front,north,rural,18,2
Dallas,WF,warm_front,north,rural,19,3
Dallas,WF,warm_front,north,rural,20,2
Dallas,WF,warm_front,north,rural,21,1
Dallas,WF,warm_front,north,rural,22,0
Dallas,WF,warm_front,north,rural,23,1
Dallas,CF,cold_front,north,rural,0,10
Dallas,CF,cold_front,north,rural,1,6
Dallas,CF,cold_front,north,rural,2,14
Dallas,CF,cold_front,north,rural,3,16
Dallas,CF,cold_front,north,rural,4,20
Dallas,CF,cold_front,north,rural,5,36
Dallas,CF,cold_front,north,rural,6,28
Dallas,CF,cold_front,north,rural,7,28
