anio,mes,dia,periodo,fuerza,inclinacion,latitud
1725,1,1,1725-1754,1.577,0.312,-0.212
1725,1,2,1725-1754,2.49,-0.447,0.182
1725,1,3,1725-1754,2.097,0.319,0.196
1725,1,4,1725-1754,0.972,-0.459,0.133
1725,1,5,1725-1754,0.557,-1.139,-0.498
1725,1,6,1725-1754,-0.402,-1.997,-1.733
1725,1,7,1725-1754,0.786,-1.131,-1.926
1725,1,8,1725-1754,1.146,-1.389,-1.072
1725,1,9,1725-1754,1.157,-2.619,-0.965
1725,1,10,1725-1754,1.791,-1.942,-0.517
1725,1,11,1725-1754,2.404,-2.551,-0.526
1725,1,12,1725-1754,2.2,-1.158,-0.303
1725,1,13,1725-1754,1.217,-0.437,0.158
1725,1,14,1725-1754,0.402,-0.876,-0.2
1725,1,15,1725-1754,-0.316,-0.327,0.543
1725,1,16,1725-1754,-0.763,0.725,0.532
1725,1,17,1725-1754,-0.433,0.112,0.68
1725,1,18,1725-1754,-0.369,-1.091,0.54
1725,1,19,1725-1754,-0.739,-1.335,0.731
1725,1,20,1725-1754,-0.748,-1.232,0.73
1725,1,21,1725-1754,-0.034,-1.734,0.501
1725,1,22,1725-1754,0.446,-1.52,0.259
1725,1,23,1725-1754,0.79,-1.612,-0.232
1725,1,24,1725-1754,0.225,-2.671,-0.788
1725,1,25,1725-1754,0.256,-1.983,-0.835
1725,1,26,1725-1754,1.317,-2.699,-0.509
1725,1,27,1725-1754,1.172,-0.447,0.552
1725,1,28,1725-1754,1.131,0.283,1.003
1725,1,29,1725-1754,1.771,0.651,1.084
1725,1,30,1725-1754,3.162,0.785,0.703
1725,1,31,1725-1754,2.606,1.262,0.499
1725,2,1,1725-1754,4.013,1.07,0.247
1725,2,2,1725-1754,1.398,0.233,1.046
1725,2,3,1725-1754,0.712,-0.117,1.272
1725,2,4,1725-1754,0.65,-0.479,1.68
1725,2,5,1725-1754,0.203,-0.951,1.984
1725,2,6,1725-1754,0.551,-0.946,1.982
1725,2,7,1725-1754,0.803,-0.855,1.755
1725,2,8,1725-1754,0.655,-0.546,1.703
1725,2,9,1725-1754,1.055,-0.272,1.654
1725,2,10,1725-1754,1.351,-0.149,1.625
1725,2,11,1725-1754,0.278,-0.6,1.718
1725,2,12,1725-1754,0.31,-1.341,1.741
1725,2,13,1725-1754,-0.713,-0.608,2.214
1725,2,14,1725-1754,-0.192,-0.836,2.463
1725,2,15,1725-1754,-0.74,-0.602,2.247
1725,2,16,1725-1754,0.197,-0.514,2.257
1725,2,17,1725-1754,-0.215,-0.302,2.417
1725,2,18,1725-1754,0.86,0.035,2.201
1725,2,19,1725-1754,0.711,-0.091,2.084
1725,2,20,1725-1754,1.302,-0.103,1.646
1725,2,21,1725-1754,0.682,-0.28,1.629
1725,2,22,1725-1754,0.727,-0.133,1.538
1725,2,23,1725-1754,0.627,-0.531,1.706
1725,2,24,1725-1754,1.39,-0.046,1.832
1725,2,25,1725-1754,1.929,0.155,1.788
1725,2,26,1725-1754,2.401,0.601,1.782
1725,2,27,1725-1754,2.053,0.348,1.938
1725,2,28,1725-1754,1.708,-0.56,1.73
1725,3,1,1725-1754,1.12,-0.854,1.355
1725,3,2,1725-1754,1.525,-0.825,1.392
1725,3,3,1725-1754,0.133,-0.673,1.247
1725,3,4,1725-1754,1.369,0.526,1.969
1725,3,5,1725-1754,1.313,0.154,1.768
1725,3,6,1725-1754,2.568,1.379,0.634
1725,3,7,1725-1754,2.658,1.574,-0.04
1725,3,8,1725-1754,0.077,3.051,-0.657
1725,3,9,1725-1754,1.423,2.165,-0.13
1725,3,10,1725-1754,0.651,0.374,-0.062
1725,3,11,1725-1754,1.574,1.527,-0.457
1725,3,12,1725-1754,1.731,0.65,0.281
1725,3,13,1725-1754,0.572,0.85,0.236
1725,3,14,1725-1754,1.428,0.276,0.211
1725,3,15,1725-1754,2.386,0.947,0.14
1725,3,16,1725-1754,0.093,2.028,0.098
1725,3,17,1725-1754,1.082,0.657,0.57
1725,3,18,1725-1754,0.22,1.443,0.009
1725,3,19,1725-1754,0.02,0.551,0.372
1725,3,20,1725-1754,-0.071,0.19,0.606
1725,3,21,1725-1754,1.271,-0.886,0.563
1725,3,22,1725-1754,0.851,-1.644,0.209
1725,3,23,1725-1754,-0.545,-1.049,0.148
1725,3,24,1725-1754,-0.611,-0.498,0.222
1725,3,25,1725-1754,-2.415,-0.093,0.289
1725,3,26,1725-1754,-2.536,0.293,0.546
1725,3,27,1725-1754,-1.6,0.866,0.37
1725,3,28,1725-1754,-1.574,0.93,0.209
1725,3,29,1725-1754,-0.57,-0.566,0.292
1725,3,30,1725-1754,-1.436,0.242,0.056
1725,3,31,1725-1754,-2.191,0.101,-0.499
1725,4,1,1725-1754,-2.17,0.642,-0.465
1725,4,2,1725-1754,0.375,0.469,-0.714
1725,4,3,1725-1754,-1.475,0.262,-1.058
1725,4,4,1725-1754,-0.151,0.676,-0.027
1725,4,5,1725-1754,0.738,0.415,0.55
1725,4,6,1725-1754,0.962,-1.268,0.393
1725,4,7,1725-1754,-0.827,-1.033,-0.043
1725,4,8,1725-1754,0.971,-0.929,0.485
1725,4,9,1725-1754,1.239,-0.175,0.791
1725,4,10,1725-1754,-0.593,0.964,0.806
1725,4,11,1725-1754,0.226,0.323,0.71
1725,4,12,1725-1754,-1.872,0.05,0.39
1725,4,13,1725-1754,-0.163,-0.804,0.213
1725,4,14,1725-1754,-0.591,-0.248,-0.318
1725,4,15,1725-1754,-0.133,-0.563,-0.011
1725,4,16,1725-1754,-1.076,-0.505,-0.304
1725,4,17,1725-1754,-0.231,-0.696,-0.333
1725,4,18,1725-1754,-0.387,-0.183,0.118
1725,4,19,1725-1754,-1.548,1.037,-0.168
1725,4,20,1725-1754,0.314,0.758,0.26
1725,4,21,1725-1754,-1.693,0.873,-0.039
1725,4,22,1725-1754,-1.897,0.996,0.088
1725,4,23,1725-1754,-0.215,0.224,-0.082
1725,4,24,1725-1754,0.426,0.363,-0.465
1725,4,25,1725-1754,-0.265,0.067,-0.499
1725,4,26,1725-1754,-1.115,-1.01,-0.833
1725,4,27,1725-1754,-1.723,-0.562,-1.103
1725,4,28,1725-1754,-1.5,-0.28,-1.331
1725,4,29,1725-1754,0.633,-0.591,-0.596
1725,4,30,1725-1754,-0.168,-1.285,-0.55
1725,11,1,1725-1754,-3.109,-0.663,0.334
1725,11,2,1725-1754,-2.536,-1.06,0.264
1725,11,3,1725-1754,-1.579,-1.283,0.265
1725,11,4,1725-1754,-0.497,-0.749,0.296
1725,11,5,1725-1754,-0.471,-0.68,0.439
1725,11,6,1725-1754,-0.551,-0.515,0.538
1725,11,7,1725-1754,-1.142,0.308,0.472
1725,11,8,1725-1754,-0.602,0.114,0.277
1725,11,9,1725-1754,0.189,-1.265,0.294
1725,11,10,1725-1754,1.229,-1.019,0.383
1725,11,11,1725-1754,2.079,0.082,0.942
1725,11,12,1725-1754,1.942,0.062,0.736
1725,11,13,1725-1754,1.981,-0.141,0.494
1725,11,14,1725-1754,2.919,0.144,0.587
1725,11,15,1725-1754,2.698,0.397,0.458
1725,11,16,1725-1754,2.941,-0.181,0.19
1725,11,17,1725-1754,1.48,-1.001,0.2
1725,11,18,1725-1754,0.779,-0.109,0.246
1725,11,19,1725-1754,-0.526,-3.494,-0.735
1725,11,20,1725-1754,-0.581,-2.545,-0.701
1725,11,21,1725-1754,0.402,-2.059,-0.708
1725,11,22,1725-1754,0.398,-1.14,-0.432
1725,11,23,1725-1754,0.111,0.249,0.064
1725,11,24,1725-1754,-0.038,0.835,0.455
1725,11,25,1725-1754,-1.397,0.648,0.495
1725,11,26,1725-1754,-2.335,-0.676,0.796
1725,11,27,1725-1754,-1.7,-1.444,0.464
1725,11,28,1725-1754,-0.905,-1.048,0.37
1725,11,29,1725-1754,-0.523,-1.0,0.051
1725,11,30,1725-1754,-0.756,-0.807,-0.073
1725,12,1,1725-1754,-0.124,0.72,0.198
1725,12,2,1725-1754,0.323,1.184,0.349
