anio,fuerza,inclinacion,latitud,n_dias
1791,0.2764,0.0859,-0.3093,181
1792,0.2759,0.0977,-0.1071,182
1793,-0.2784,-0.0982,-0.023,181
1794,0.1006,-0.2026,0.2483,181
1795,-0.007,0.0452,-0.102,181
1796,0.0169,0.0926,-0.0317,182
1797,0.2796,0.0278,0.312,181
1798,-0.0274,0.151,0.0038,181
1799,-0.5899,-0.14,-0.0104,181
1800,-0.2695,-0.3708,-0.2901,181
1801,0.2444,0.0607,-0.3112,181
1802,-0.1237,0.0611,-0.0482,181
1803,-0.4677,-0.2074,-0.2159,181
1804,-0.4639,-0.1881,-0.207,182
1805,0.0416,0.0728,-0.053,181
1806,0.0056,-0.0475,-0.3961,181
1807,0.1952,0.3867,-0.2058,181
1808,-0.0954,0.3168,-0.0028,182
1809,-0.0948,0.0187,-0.3258,181
1810,0.0004,0.0292,-0.2683,181
1811,0.4236,0.03,-0.0751,181
1812,-0.3156,0.2909,-0.216,182
1813,0.2016,0.1819,0.2115,181
1814,-0.5282,0.0051,-0.2384,181
1815,0.1404,0.0472,-0.0334,181
1816,0.0195,0.1487,-0.3637,182
1817,0.5591,0.4095,-0.0696,181
1818,0.4584,-0.102,-0.0513,181
1819,-0.1247,-0.0056,-0.3146,181
1820,-0.2895,0.0843,0.1618,182
1821,0.3363,-0.0737,-0.1899,181
1822,0.6858,0.3145,0.2817,181
1823,-0.1596,0.0551,-0.2435,181
1824,0.5439,0.2691,-0.2195,182
1825,0.171,0.2527,0.1485,181
1826,-0.2141,0.1751,0.1099,181
1827,0.2713,0.2803,-0.1572,181
1828,-0.0365,-0.0952,0.0397,182
1829,-0.9635,0.0866,-0.0585,181
1830,-0.1351,0.0504,-0.1229,181
1831,-0.1448,-0.0038,-0.2009,181
1832,-0.1824,-0.0432,0.2839,182
1833,0.1616,0.0558,-0.1866,181
1834,0.5575,0.3227,0.4546,181
1835,0.4866,0.2917,0.2553,181
1836,0.2021,0.0081,-0.4066,182
1837,-0.0982,0.1603,-0.0628,181
1838,-0.5459,-0.0976,-0.2211,181
1839,-0.1895,-0.0246,-0.0695,181
1840,0.0323,0.0344,0.2425,182
1841,-0.1135,-0.0785,-0.2149,181
1842,0.0249,0.0749,0.1614,181
1843,0.1595,0.1063,-0.0857,181
1844,-0.351,0.1021,-0.0359,182
1845,-0.1962,0.1522,-0.2395,181
1846,0.0755,0.0944,-0.1887,181
1847,-0.106,-0.0283,0.043,181
1848,-0.1587,-0.137,-0.2155,182
1849,-0.0431,0.2405,0.0152,181
1850,0.3038,0.291,0.0675,181
1851,-0.0545,0.0952,0.0706,181
1852,0.1782,-0.0499,-0.0319,182
1853,-0.9379,0.0312,-0.1952,181
1854,0.4384,0.411,0.103,181
1855,-0.6238,0.1816,-0.072,181
1856,0.126,0.0822,-0.1195,182
1857,-0.0732,-0.1828,0.3146,181
1858,0.1828,0.0672,0.2309,181
1859,0.6901,0.0407,0.0464,181
1860,-0.5585,-0.0259,-0.3357,182
1861,0.1813,0.0737,0.0911,181
1862,-0.4803,-0.0622,0.0108,181
1863,0.4983,0.1447,0.1617,181
1864,-0.3562,-0.0764,0.0992,182
1865,-0.2523,0.0526,-0.0375,181
1866,0.5881,-0.0159,-0.2779,181
1867,0.1378,0.2565,-0.1596,181
1868,0.4742,0.062,-0.0985,182
1869,-0.0195,0.0286,-0.0782,181
1870,-0.4499,0.013,0.05,181
1871,-0.0491,0.0088,0.069,181
1872,-0.1989,-0.5117,-0.3435,182
1873,0.1193,0.0615,0.021,181
1874,0.1622,0.1684,0.0248,181
1875,-0.2631,0.0961,0.1518,181
1876,-0.337,-0.313,-0.2393,182
1877,-0.1238,-0.0943,-0.2909,181
1878,0.126,0.2733,-0.1181,181
1879,-0.4779,0.1247,0.0049,181
1880,0.5348,0.0462,0.192,182
1881,-0.0312,-0.1564,0.0366,181
