x_dose_or_time,mineralizacion_pct
0.0,0.0
0.5,0.42456
1.0,0.7193
2.0,1.41228
4.0,2.10526
4.5,3.42105
5.1,7.36842
5.3,15.96491
5.5,18.77193
5.8,26.31579
6.0,39.82456
7.0,48.24561
8.0,64.03509
9.0,71.92982
10.0,81.05263
11.0,87.36842
12.0,96.84211
