rho_x,rho_y,mse
0.0,0.0,0.0018193219445982608
0.02,0.0,0.0017576372453920156
0.04,0.0,0.0017903056652931837
0.06,0.0,0.0017291080112166765
0.08,0.0,0.0017020869560893594
0.1,0.0,0.0016758950776757072
0.12,0.0,0.0015851209260661606
0.14,0.0,0.0015945146617544926
0.16,0.0,0.0016133671439817734
0.18,0.0,0.0015407119144732685
0.2,0.0,0.0015612054822682912
0.22,0.0,0.001503732250118163
0.24,0.0,0.001492872776025137
0.26,0.0,0.0014985697476954485
0.28,0.0,0.0014731861181699897
0.3,0.0,0.0014237403597735414
0.32,0.0,0.0014115042442247492
0.34,0.0,0.0014187859021832345
0.36,0.0,0.001436697816223832
0.38,0.0,0.0014253852688779402
0.4,0.0,0.0014451484921477057
0.42,0.0,0.0013895810404515644
0.44,0.0,0.0014470529660423799
0.46,0.0,0.00141319307677689
0.48,0.0,0.001410213507165946
0.5,0.0,0.0014218683558999022
0.52,0.0,0.0014719177985407287
0.54,0.0,0.001540604707890082
0.56,0.0,0.0015942305597234925
0.58,0.0,0.0016386559002555627
0.6,0.0,0.0016617290539865596
0.62,0.0,0.0016978169492777007
0.64,0.0,0.0017467465883075003
0.66,0.0,0.0018468109445268417
0.68,0.0,0.0018818807815851749
0.7,0.0,0.0019723827529810126
0.72,0.0,0.0020702583007139756
0.74,0.0,0.0021108608794290903
0.76,0.0,0.0022010431333922297
0.78,0.0,0.002427774738995471
0.8,0.0,0.0025058170795544555
0.0,0.02,0.0018331836135059242
0.02,0.02,0.0017629651439754635
0.04,0.02,0.0017296320470325606
0.06,0.02,0.0017203397610974953
0.08,0.02,0.0016939906113570724
0.1,0.02,0.0015919915820239276
0.12,0.02,0.001615311524348453
0.14,0.02,0.0015841565414208831
0.16,0.02,0.0015754126089573169
0.18,0.02,0.0015324856152301608
0.2,0.02,0.001480888795904591
0.22,0.02,0.0015125943782019822
0.24,0.02,0.0014753848763939738
0.26,0.02,0.0014627495031359341
0.28,0.02,0.0014516041316327262
0.3,0.02,0.0014134211835648682
0.32,0.02,0.0014283782004754582
0.34,0.02,0.0013952251253534537
0.36,0.02,0.0014020359625403053
0.38,0.02,0.0014256026810084228
0.4,0.02,0.001396612131963341
0.42,0.02,0.0013979096920377807
0.44,0.02,0.0014492138769359782
0.46,0.02,0.0014033346460247597
0.48,0.02,0.0014294539000623573
0.5,0.02,0.001467227622990367
0.52,0.02,0.001499074092549214
0.54,0.02,0.0015229834954632025
0.56,0.02,0.0015248104890255834
0.58,0.02,0.0016293664905789223
0.6,0.02,0.001664080345404569
0.62,0.02,0.0017297691982909773
0.64,0.02,0.001794132745236915
0.66,0.02,0.001817038096097675
0.68,0.02,0.0018963903539882176
0.7,0.02,0.00200312351638324
0.72,0.02,0.0020062268579770994
0.74,0.02,0.0021373864578837875
0.76,0.02,0.002272614818969376
0.78,0.02,0.0023789866251185143
0.8,0.02,0.0024838793394074553
0.0,0.04,0.0018097819785797865
0.02,0.04,0.0017612942562551478
0.04,0.04,0.0017192992898388713
0.06,0.04,0.0016300218535407964
0.08,0.04,0.0016789278761255957
0.1,0.04,0.001561953879241971
0.12,0.04,0.0015630161823879563
0.14,0.04,0.0015607747284276997
0.16,0.04,0.001572271627562287
0.18,0.04,0.001456699646843186
0.2,0.04,0.0014974588685207307
0.22,0.04,0.0014582098807790012
0.24,0.04,0.001506997315656284
0.26,0.04,0.0014477759192669882
0.28,0.04,0.0014089471482978436
0.3,0.04,0.0014164236409981378
0.32,0.04,0.0014299740931198732
0.34,0.04,0.0013964986788595139
0.36,0.04,0.001347624406744199
0.38,0.04,0.0014086121241068822
0.4,0.04,0.0013801412069007753
0.42,0.04,0.0014175166374979231
0.44,0.04,0.0013852713260945001
0.46,0.04,0.001395623346312198
0.48,0.04,0.0014283014161890148
0.5,0.04,0.0014430034422558647
0.52,0.04,0.0014504464442914387
0.54,0.04,0.001583339447245298
0.56,0.04,0.0015634849438309146
0.58,0.04,0.00158865655834951
0.6,0.04,0.0016561844798196937
0.62,0.04,0.0016597098269405762
0.64,0.04,0.0018329864655648777
0.66,0.04,0.0018822468740643595
0.68,0.04,0.0018831225521300293
0.7,0.04,0.0019310806048107206
0.72,0.04,0.0020712924196724775
0.74,0.04,0.00215988100952228
0.76,0.04,0.002274742097057932
0.78,0.04,0.002343181047478283
0.8,0.04,0.002469539219258404
0.0,0.06,0.0017512481639725254
0.02,0.06,0.0017162222688369665
0.04,0.06,0.0017271494897726698
0.06,0.06,0.0017332157655381185
0.08,0.06,0.0016814456109803806
0.1,0.06,0.0016087998704377797
0.12,0.06,0.001585937161633575
0.14,0.06,0.0015543814300022862
0.16,0.06,0.0015066301790883005
0.18,0.06,0.001466113289203551
0.2,0.06,0.0015206548785903996
0.22,0.06,0.0015048546873991998
0.24,0.06,0.0014110270722945777
0.26,0.06,0.0014264338586951607
0.28,0.06,0.0014384768963343734
0.3,0.06,0.001332745303622052
0.32,0.06,0.0013626132794995497
0.34,0.06,0.0013878802592849258
0.36,0.06,0.001343741128343393
0.38,0.06,0.001367336047423444
0.4,0.06,0.001430429976409613
0.42,0.06,0.0013997479561616412
0.44,0.06,0.0013565062822590399
0.46,0.06,0.0013715877696035606
0.48,0.06,0.0014131805824645748
0.5,0.06,0.0014348507212798172
0.52,0.06,0.0014154471691484936
0.54,0.06,0.0014886109354782639
0.56,0.06,0.0015139124072491902
0.58,0.06,0.001542391332664825
0.6,0.06,0.0016274967064412995
0.62,0.06,0.0017400950692519545
0.64,0.06,0.0017971205302689754
0.66,0.06,0.001888180377673067
0.68,0.06,0.0018873978798754805
0.7,0.06,0.002047246913042885
0.72,0.06,0.0020384568182775483
0.74,0.06,0.0021201173657101544
0.76,0.06,0.002230277701668601
0.78,0.06,0.0023705608679826964
0.8,0.06,0.0024627657123041744
0.0,0.08,0.0017437054813818308
0.02,0.08,0.0017864695839326747
0.04,0.08,0.0016714367309933445
0.06,0.08,0.0016918668137176913
0.08,0.08,0.0015784932821485576
0.1,0.08,0.0015822185777971854
0.12,0.08,0.0015407885960001947
0.14,0.08,0.0015465050645778568
0.16,0.08,0.0014606756208004658
