rho_x,rho_y,mse
0.0,0.0,0.001814670983588227
0.02,0.0,0.0018469791261966893
0.04,0.0,0.0018217139851768784
0.06,0.0,0.0018064586475495723
0.08,0.0,0.0017701964060739658
0.1,0.0,0.00174351918626227
0.12,0.0,0.0017707442450574915
0.14,0.0,0.001682564109655627
0.16,0.0,0.001718052983292199
0.18,0.0,0.001634223741415
0.2,0.0,0.0016701977313685272
0.22,0.0,0.001631852296386329
0.24,0.0,0.001645652577540215
0.26,0.0,0.0015796582050405811
0.28,0.0,0.0015756188401360974
0.3,0.0,0.0015394246222325816
0.32,0.0,0.0015095411625093882
0.34,0.0,0.001517538624749935
0.36,0.0,0.0015175590920268095
0.38,0.0,0.0015168092440113218
0.4,0.0,0.0014945665211597663
0.42,0.0,0.0015105997635978298
0.44,0.0,0.001495419418645415
0.46,0.0,0.001475718058859331
0.48,0.0,0.001505204286157274
0.5,0.0,0.001539562345689203
0.52,0.0,0.0015414247164097655
0.54,0.0,0.0015917434030462898
0.56,0.0,0.0015802274649616165
0.58,0.0,0.0016422284434084362
0.6,0.0,0.0017165032218531288
0.62,0.0,0.0016739818111440373
0.64,0.0,0.0017639111032470463
0.66,0.0,0.0018346990107070452
0.68,0.0,0.0018197703054163347
0.7,0.0,0.001821666777353799
0.72,0.0,0.00196222671344492
0.74,0.0,0.002085617691998772
0.76,0.0,0.0020633013622007716
0.78,0.0,0.0022107439289213437
0.8,0.0,0.0022460855393255062
0.0,0.02,0.0018894329253095498
0.02,0.02,0.0018375382709208176
0.04,0.02,0.0017559051179051942
0.06,0.02,0.0017515131636159692
0.08,0.02,0.001720914898334291
0.1,0.02,0.0017437369213364013
0.12,0.02,0.0017267620873567065
0.14,0.02,0.0016430359105398214
0.16,0.02,0.0016509183323201732
0.18,0.02,0.0016473563555907214
0.2,0.02,0.0016102472266349293
0.22,0.02,0.0016217298458145147
0.24,0.02,0.0015547796414520886
0.26,0.02,0.001588916803204422
0.28,0.02,0.001551576184080282
0.3,0.02,0.0015274816608462135
0.32,0.02,0.0015383131074685691
0.34,0.02,0.001502380223474764
0.36,0.02,0.001528624705697281
0.38,0.02,0.0015017770029766607
0.4,0.02,0.001512408113720284
0.42,0.02,0.001475381191909162
0.44,0.02,0.0014958858674051277
0.46,0.02,0.0014962651779555382
0.48,0.02,0.0015763633934014719
0.5,0.02,0.001561594539506783
0.52,0.02,0.0015479955795745896
0.54,0.02,0.00159720934780754
0.56,0.02,0.0015449855327082354
0.58,0.02,0.0016718451181058232
0.6,0.02,0.001697333392211331
0.62,0.02,0.0017311114007004349
0.64,0.02,0.001729761440862442
0.66,0.02,0.0017698581207265618
0.68,0.02,0.001932409269597396
0.7,0.02,0.001851961834689322
0.72,0.02,0.0019419594880778978
0.74,0.02,0.0020244405140194765
0.76,0.02,0.0021464497221682297
0.78,0.02,0.0021701495936049635
0.8,0.02,0.0022591896298636924
0.0,0.04,0.0018370809124186346
0.02,0.04,0.0017928338509707615
0.04,0.04,0.0017718524199784997
0.06,0.04,0.001774871631814598
0.08,0.04,0.001770412762020531
0.1,0.04,0.0017009743220989214
0.12,0.04,0.0017052766413586775
0.14,0.04,0.0016737719246390026
0.16,0.04,0.001647396595607543
0.18,0.04,0.0016424761182730926
0.2,0.04,0.0016149278210837337
0.22,0.04,0.0016092437023628862
0.24,0.04,0.0016001091930745262
0.26,0.04,0.001541206465259069
0.28,0.04,0.0015222720394527046
0.3,0.04,0.001542700477792482
0.32,0.04,0.0014879927280545483
0.34,0.04,0.0014845414535091083
0.36,0.04,0.0014747573142570123
0.38,0.04,0.0014578667697344094
0.4,0.04,0.0014706949291264466
0.42,0.04,0.0014883061868010312
0.44,0.04,0.0014458839448277107
0.46,0.04,0.001467509356225447
0.48,0.04,0.0014826424095632017
0.5,0.04,0.0015177637748848482
0.52,0.04,0.0015334365760558252
0.54,0.04,0.0015624483930160677
0.56,0.04,0.0015553666811154872
0.58,0.04,0.001609318318208617
0.6,0.04,0.0016506948917546817
0.62,0.04,0.0017587122466489065
0.64,0.04,0.0017611548298245277
0.66,0.04,0.0017851496236712793
0.68,0.04,0.0018605180861155609
0.7,0.04,0.0018977855222029197
0.72,0.04,0.0019563114402419758
0.74,0.04,0.002046826640779013
0.76,0.04,0.002103949612607927
0.78,0.04,0.0023144883372271355
0.8,0.04,0.0022731666344074477
0.0,0.06,0.0018113631707576698
0.02,0.06,0.001759196201669154
0.04,0.06,0.0017232199775813733
0.06,0.06,0.0017578287624992468
0.08,0.06,0.0017440916854400892
0.1,0.06,0.0017311415177114116
0.12,0.06,0.0016379473695016858
0.14,0.06,0.0016134549273681212
0.16,0.06,0.001650845875662711
0.18,0.06,0.0016151137186617673
0.2,0.06,0.0015544748967739515
0.22,0.06,0.0016129169505301978
0.24,0.06,0.0015325323286326429
0.26,0.06,0.0015269700466366116
0.28,0.06,0.0015477258506476303
0.3,0.06,0.0015195243581804492
0.32,0.06,0.0014851756372521645
0.34,0.06,0.0014574475424098225
