temperatura_K,cuentas_totales,radio_disco_px,mrad_por_px,fraccion_fuera_disco
300,33127287.0,14.184,0.64156,0.37847
500,34378867.0,14.65,0.62115,0.35772
900,34241580.0,12.041,0.75575,0.44618
