q_distancia,rama,tipo,frecuencia_THz,peso_msrd_x,peso_msrd_y
0.0,1,acustica,-0.0,0.0,0.0
0.0,2,acustica,0.0,0.0,0.0
0.0,3,acustica,0.0,0.0,0.0
0.0,4,optica,3.87831,0.0,0.04612811045387436
0.0,5,optica,3.87831,0.0,0.8115414381866123
0.0,6,optica,11.96848,0.05622042920808244,0.0
0.0,7,optica,11.96848,0.05622042920808244,0.0
0.0,8,optica,13.65277,0.0,0.0
0.0,9,optica,13.65277,0.0,0.0
0.0,10,optica,15.29027,0.014362901850625378,0.05854945782100796
0.0,11,optica,15.29027,0.04286409680469811,0.002550169986607339
0.0,12,optica,15.29027,0.02058092419169582,0.016708295039403357
0.00184,1,acustica,0.10399,0.0,0.0022125689718752914
0.00184,2,acustica,0.14701,0.0,5.78518409113173e-26
0.00184,3,acustica,0.10399,0.0,0.0176139787248703
0.00184,4,optica,3.87913,0.0,0.14224073986976568
0.00184,5,optica,3.87913,0.0,0.7150070461390254
0.00184,6,optica,11.89061,0.05680281961241338,0.0
0.00184,7,optica,12.04538,0.055656094764376614,0.0
0.00184,8,optica,13.65283,0.0,7.24360397279107e-06
0.00184,9,optica,13.65283,0.0,3.443224812119345e-07
0.00184,10,optica,15.28965,1.6752693974374504e-24,0.04732757642581926
0.00184,11,optica,15.29005,0.07780951900633962,7.052032326582572e-24
0.00184,12,optica,15.28965,6.934141227681052e-24,0.030483468397194367
0.00368,1,acustica,0.20792,0.0,0.0013649093178194139
0.00368,2,acustica,0.29399,0.0,0.0
0.00368,3,acustica,0.20792,0.0,0.018496071312116464
0.00368,4,optica,3.88158,0.0,0.004298946454688804
0.00368,5,optica,3.88158,0.0,0.8516878071453315
0.00368,6,optica,11.81178,0.05740396417371699,0.0
0.00368,7,optica,12.12132,0.05510915251562515,0.0
0.00368,8,optica,13.65301,0.0,2.8756880029271332e-05
0.00368,9,optica,13.65301,0.0,1.6072514235564633e-06
0.00368,10,optica,15.28781,3.4978002764159575e-25,0.07035799650624347
0.00368,11,optica,15.28939,0.07781430972943128,5.0999498596669255e-25
0.00368,12,optica,15.28781,2.356252250996119e-25,0.0074624041528304885
0.00552,1,acustica,0.31174,0.0,0.00026964774151328873
0.00552,2,acustica,0.44093,0.0,0.0
0.00552,3,acustica,0.31174,0.0,0.019648826351709097
0.00552,4,optica,3.88564,0.0,0.002711075813375094
0.00552,5,optica,3.88564,0.0,0.8511880474357931
0.00552,6,optica,11.73198,0.058024597700758476,0.0
0.00552,7,optica,12.19629,0.05457897110113924,0.0
0.00552,8,optica,13.65332,0.0,5.938340288552737e-05
0.00552,9,optica,13.65332,0.0,8.982304715484075e-06
0.00552,10,optica,15.28475,8.420040845523378e-26,0.07282802273814115
0.00552,11,optica,15.28829,0.07782230175348318,1.1206411452501574e-25
0.00552,12,optica,15.28475,4.7362729756069e-26,0.0050079372945070625
0.00737,1,acustica,0.4154,0.0,0.01821433682398297
0.00737,2,acustica,0.58781,0.0,0.0
0.00737,3,acustica,0.4154,0.0,0.0017848493875550421
0.00737,4,optica,3.89129,0.0,0.0025405291421770546
0.00737,5,optica,3.89129,0.0,0.8484651737036243
0.00737,6,optica,11.65123,0.058665493947069804,0.0
0.00737,7,optica,12.2703,0.0540649496665286,0.0
0.00737,8,optica,13.65376,0.0,0.00011216004822842857
0.00737,9,optica,13.65376,0.0,9.493812866519225e-06
0.00737,10,optica,15.28047,2.4422905018556817e-26,0.07765404647497975
0.00737,11,optica,15.28675,0.07783350629859694,2.441637092586986e-26
0.00737,12,optica,15.28047,7.974826128508347e-27,0.00020362579634647184
0.00921,1,acustica,0.51883,0.0,0.017496256121373188
0.00921,2,acustica,0.7346,0.0,0.0
0.00921,3,acustica,0.51883,0.0,0.0026070829393740028
0.00921,4,optica,3.89847,0.0,0.07732622245993849
0.00921,5,optica,3.89847,0.0,0.7700087599444781
0.00921,6,optica,11.56951,0.05932746811773434,0.0
0.00921,7,optica,12.34333,0.05356651609548724,0.0
0.00921,8,optica,13.65435,0.0,0.00015673494205944538
0.00921,9,optica,13.65435,0.0,3.357804591869652e-05
0.00921,10,optica,15.27497,2.5245812679989564e-27,0.05541555229890694
0.00921,11,optica,15.28476,0.07784793906150494,1.1249027194387464e-26
0.00921,12,optica,15.27497,1.508515226804315e-26,0.02246991384164558
0.01105,1,acustica,0.622,0.0,0.01547783050968627
0.01105,2,acustica,0.88127,0.0,0.0
0.01105,3,acustica,0.622,0.0,0.004753388817270597
0.01105,4,optica,3.90713,0.0,0.0022205935114634743
0.01105,5,optica,3.90713,0.0,0.8407019318649356
0.01105,6,optica,11.48684,0.060011379563299716,0.0
0.01105,7,optica,12.41539,0.05308312535256094,0.0
0.01105,8,optica,13.65508,0.0,0.00022839422784345852
0.01105,9,optica,13.65508,0.0,4.605515021477541e-05
0.01105,10,optica,15.26827,1.528173252786242e-27,0.04344777859255342
0.01105,11,optica,15.28233,0.07786562020198239,7.015692380198611e-27
0.01105,12,optica,15.26827,6.112693011144968e-27,0.03447147096816587
0.01289,1,acustica,0.72484,0.0,0.019909879653051365
0.01289,2,acustica,1.02781,0.0,0.0
0.01289,3,acustica,0.72484,0.0,0.0004732994837574722
0.01289,4,optica,3.91721,0.0,0.07241182641868474
0.01289,5,optica,3.91721,0.0,0.7653984033154592
0.01289,6,optica,11.40321,0.06071813467713663,0.0
0.01289,7,optica,12.48648,0.0526142579365397,0.0
0.01289,8,optica,13.65598,0.0,0.0003429851352175204
0.01289,9,optica,13.65598,0.0,3.1204409037363965e-05
0.01289,10,optica,15.26037,2.808924157484675e-28,0.03851647743359087
0.01289,11,optica,15.27945,0.07788657432776537,3.1154629731106147e-27
0.01289,12,optica,15.26037,3.776442478396063e-27,0.03944243180000483
0.01473,1,acustica,0.82729,0.0,0.020425709074633043
0.01473,2,acustica,1.1742,0.0,9.09428416164117e-28
