pipeline,valor
FIREFLy,410.173
FIREFLy,411.948
FIREFLy,409.949
FIREFLy,415.562
FIREFLy,412.248
FIREFLy,405.802
FIREFLy,409.695
FIREFLy,410.527
FIREFLy,405.883
FIREFLy,411.116
FIREFLy,400.567
FIREFLy,401.834
FIREFLy,410.917
FIREFLy,405.769
FIREFLy,401.89
FIREFLy,417.316
FIREFLy,406.014
FIREFLy,382.249
FIREFLy,411.509
FIREFLy,401.735
FIREFLy,409.808
FIREFLy,404.253
FIREFLy,405.197
FIREFLy,412.101
FIREFLy,411.098
FIREFLy,411.903
FIREFLy,394.683
FIREFLy,416.456
FIREFLy,407.66
FIREFLy,411.759
FIREFLy,407.911
FIREFLy,393.936
FIREFLy,400.306
FIREFLy,410.714
FIREFLy,414.844
FIREFLy,417.33
FIREFLy,414.684
FIREFLy,399.681
FIREFLy,387.272
FIREFLy,409.291
FIREFLy,412.574
FIREFLy,408.578
FIREFLy,385.291
FIREFLy,405.932
FIREFLy,410.851
FIREFLy,409.51
FIREFLy,407.381
FIREFLy,403.026
FIREFLy,404.904
FIREFLy,407.63
FIREFLy,409.856
FIREFLy,410.976
FIREFLy,380.486
FIREFLy,411.229
FIREFLy,405.339
FIREFLy,414.852
FIREFLy,399.755
FIREFLy,396.237
FIREFLy,405.808
FIREFLy,404.714
FIREFLy,406.717
FIREFLy,413.749
FIREFLy,403.961
FIREFLy,410.877
FIREFLy,409.574
FIREFLy,412.102
FIREFLy,416.163
FIREFLy,410.314
FIREFLy,409.656
FIREFLy,411.407
FIREFLy,390.519
FIREFLy,396.684
FIREFLy,392.352
FIREFLy,396.109
FIREFLy,414.032
FIREFLy,402.57
FIREFLy,402.74
FIREFLy,386.577
FIREFLy,408.079
FIREFLy,408.14
FIREFLy,409.943
FIREFLy,401.476
FIREFLy,408.615
FIREFLy,409.861
FIREFLy,402.169
FIREFLy,408.328
FIREFLy,401.015
FIREFLy,403.482
FIREFLy,409.996
FIREFLy,390.957
FIREFLy,409.076
FIREFLy,411.316
FIREFLy,414.0
FIREFLy,410.444
FIREFLy,414.02
FIREFLy,404.591
FIREFLy,397.268
FIREFLy,398.771
FIREFLy,401.452
FIREFLy,404.203
FIREFLy,401.057
FIREFLy,413.176
FIREFLy,396.361
FIREFLy,403.206
FIREFLy,411.127
FIREFLy,412.344
FIREFLy,403.091
FIREFLy,393.505
FIREFLy,399.869
FIREFLy,405.873
FIREFLy,404.284
FIREFLy,406.394
FIREFLy,413.222
FIREFLy,410.109
FIREFLy,408.633
FIREFLy,410.612
FIREFLy,403.553
FIREFLy,402.219
FIREFLy,403.766
FIREFLy,408.026
FIREFLy,405.492
FIREFLy,410.885
FIREFLy,406.198
FIREFLy,402.048
FIREFLy,408.078
FIREFLy,397.634
FIREFLy,410.253
FIREFLy,406.988
FIREFLy,411.224
FIREFLy,409.045
FIREFLy,396.891
FIREFLy,409.442
FIREFLy,398.078
FIREFLy,413.176
FIREFLy,411.625
FIREFLy,390.989
FIREFLy,408.897
FIREFLy,409.82
FIREFLy,410.44
FIREFLy,408.719
FIREFLy,399.356
FIREFLy,401.134
FIREFLy,406.369
FIREFLy,415.527
FIREFLy,392.376
FIREFLy,411.414
FIREFLy,395.979
FIREFLy,413.183
FIREFLy,412.196
FIREFLy,401.485
FIREFLy,407.504
FIREFLy,377.531
FIREFLy,410.831
FIREFLy,394.572
FIREFLy,384.07
FIREFLy,407.33
FIREFLy,396.097
FIREFLy,397.805
FIREFLy,407.408
FIREFLy,408.503
FIREFLy,404.665
FIREFLy,407.577
FIREFLy,402.163
FIREFLy,403.709
FIREFLy,403.464
FIREFLy,408.798
FIREFLy,409.97
FIREFLy,407.812
FIREFLy,406.694
FIREFLy,410.06
FIREFLy,402.831
FIREFLy,386.148
FIREFLy,403.77
FIREFLy,388.93
FIREFLy,392.158
FIREFLy,411.626
FIREFLy,409.242
FIREFLy,409.918
FIREFLy,410.719
FIREFLy,407.6
FIREFLy,405.525
FIREFLy,411.018
FIREFLy,410.512
FIREFLy,408.517
FIREFLy,396.475
FIREFLy,409.9
FIREFLy,408.363
FIREFLy,406.549
FIREFLy,399.702
FIREFLy,401.782
FIREFLy,403.988
FIREFLy,409.858
FIREFLy,400.267
FIREFLy,404.216
FIREFLy,398.18
FIREFLy,411.352
FIREFLy,408.137
FIREFLy,408.64
FIREFLy,404.315
FIREFLy,408.965
FIREFLy,394.394
FIREFLy,401.394
FIREFLy,401.314
FIREFLy,411.075
FIREFLy,397.42
FIREFLy,404.418
FIREFLy,409.725
FIREFLy,405.101
FIREFLy,407.04
FIREFLy,412.184
FIREFLy,408.723
FIREFLy,409.672
FIREFLy,408.965
FIREFLy,401.717
FIREFLy,404.447
FIREFLy,409.345
FIREFLy,410.74
FIREFLy,410.207
FIREFLy,410.172
FIREFLy,405.22
FIREFLy,411.788
FIREFLy,399.188
FIREFLy,409.513
FIREFLy,380.954
FIREFLy,419.806
FIREFLy,409.415
FIREFLy,411.449
FIREFLy,392.135
FIREFLy,402.523
FIREFLy,403.116
FIREFLy,417.476
FIREFLy,401.663
FIREFLy,397.406
FIREFLy,383.427
FIREFLy,408.308
FIREFLy,415.865
FIREFLy,399.651
FIREFLy,405.003
FIREFLy,402.081
FIREFLy,408.642
FIREFLy,403.413
FIREFLy,404.559
FIREFLy,400.86
FIREFLy,405.281
FIREFLy,409.259
FIREFLy,406.019
FIREFLy,396.534
FIREFLy,398.075
FIREFLy,395.964
FIREFLy,409.197
FIREFLy,403.181
FIREFLy,408.674
FIREFLy,411.333
FIREFLy,405.767
FIREFLy,403.866
FIREFLy,409.271
FIREFLy,397.983
FIREFLy,404.055
FIREFLy,383.413
FIREFLy,401.124
FIREFLy,409.967
FIREFLy,407.483
FIREFLy,390.63
FIREFLy,378.461
FIREFLy,396.83
FIREFLy,389.442
FIREFLy,392.895
FIREFLy,399.943
FIREFLy,402.892
FIREFLy,399.198
FIREFLy,414.525
FIREFLy,408.789
FIREFLy,411.673
FIREFLy,401.654
FIREFLy,395.9
FIREFLy,401.846
FIREFLy,404.886
FIREFLy,409.058
FIREFLy,410.053
FIREFLy,412.722
FIREFLy,408.872
FIREFLy,394.414
FIREFLy,398.083
FIREFLy,405.431
FIREFLy,408.464
FIREFLy,404.324
FIREFLy,399.343
FIREFLy,406.936
FIREFLy,403.69
FIREFLy,410.363
FIREFLy,388.925
FIREFLy,408.407
FIREFLy,405.238
FIREFLy,405.263
FIREFLy,405.014
FIREFLy,402.168
FIREFLy,409.923
FIREFLy,401.123
FIREFLy,397.761
FIREFLy,387.928
FIREFLy,400.5
FIREFLy,412.02
FIREFLy,399.143
FIREFLy,406.951
FIREFLy,416.4
FIREFLy,405.773
FIREFLy,407.892
FIREFLy,392.781
FIREFLy,409.557
FIREFLy,413.075
FIREFLy,403.667
FIREFLy,406.268
FIREFLy,402.23
FIREFLy,397.163
FIREFLy,411.938
FIREFLy,413.366
FIREFLy,406.159
FIREFLy,411.927
FIREFLy,410.405
FIREFLy,398.895
FIREFLy,407.537
FIREFLy,400.885
FIREFLy,398.51
FIREFLy,406.512
FIREFLy,393.447
FIREFLy,407.838
FIREFLy,394.575
FIREFLy,401.105
FIREFLy,407.467
FIREFLy,384.385
FIREFLy,390.579
FIREFLy,395.791
FIREFLy,408.185
FIREFLy,398.946
FIREFLy,405.955
FIREFLy,409.507
FIREFLy,407.909
FIREFLy,391.909
FIREFLy,411.583
FIREFLy,403.048
FIREFLy,411.98
FIREFLy,403.375
FIREFLy,402.189
FIREFLy,410.448
FIREFLy,400.582
FIREFLy,410.66
FIREFLy,402.985
FIREFLy,405.369
FIREFLy,405.475
FIREFLy,402.689
FIREFLy,409.854
FIREFLy,406.732
FIREFLy,410.369
FIREFLy,412.875
FIREFLy,407.002
FIREFLy,409.154
FIREFLy,401.125
FIREFLy,399.276
FIREFLy,408.666
FIREFLy,406.86
FIREFLy,410.249
FIREFLy,404.059
FIREFLy,375.933
FIREFLy,388.292
FIREFLy,385.722
FIREFLy,402.899
FIREFLy,402.457
FIREFLy,405.84
FIREFLy,402.349
FIREFLy,408.491
FIREFLy,401.297
FIREFLy,403.279
FIREFLy,396.013
FIREFLy,407.79
FIREFLy,408.1
FIREFLy,402.481
FIREFLy,398.993
FIREFLy,400.186
FIREFLy,412.357
FIREFLy,399.334
FIREFLy,395.473
FIREFLy,400.995
FIREFLy,399.068
FIREFLy,402.906
FIREFLy,405.882
FIREFLy,383.342
FIREFLy,405.351
FIREFLy,375.241
FIREFLy,410.47
FIREFLy,405.935
FIREFLy,405.687
FIREFLy,402.509
FIREFLy,381.996
FIREFLy,415.175
FIREFLy,404.103
FIREFLy,402.399
FIREFLy,401.87
FIREFLy,391.799
FIREFLy,404.41
FIREFLy,406.241
FIREFLy,406.619
FIREFLy,396.704
FIREFLy,403.469
FIREFLy,402.153
FIREFLy,390.982
FIREFLy,403.685
FIREFLy,405.91
FIREFLy,401.971
FIREFLy,395.918
FIREFLy,405.791
FIREFLy,394.583
FIREFLy,409.472
FIREFLy,399.156
FIREFLy,378.314
FIREFLy,400.509
FIREFLy,406.936
FIREFLy,412.07
FIREFLy,407.618
FIREFLy,402.823
FIREFLy,407.252
FIREFLy,409.952
FIREFLy,379.393
FIREFLy,400.954
FIREFLy,409.211
FIREFLy,405.754
FIREFLy,400.545
FIREFLy,400.095
FIREFLy,410.057
FIREFLy,409.855
FIREFLy,388.392
FIREFLy,409.531
FIREFLy,400.165
FIREFLy,409.734
FIREFLy,409.702
FIREFLy,405.355
FIREFLy,402.132
FIREFLy,380.547
FIREFLy,387.215
FIREFLy,392.573
FIREFLy,410.081
FIREFLy,410.441
FIREFLy,397.047
FIREFLy,406.924
FIREFLy,397.707
FIREFLy,401.696
FIREFLy,401.228
FIREFLy,403.748
FIREFLy,404.958
FIREFLy,405.32
FIREFLy,400.37
FIREFLy,410.171
FIREFLy,406.609
FIREFLy,407.648
FIREFLy,410.629
FIREFLy,395.215
FIREFLy,396.47
FIREFLy,404.658
FIREFLy,400.614
FIREFLy,377.558
FIREFLy,411.452
FIREFLy,409.009
FIREFLy,404.009
FIREFLy,397.199
FIREFLy,385.075
FIREFLy,406.722
FIREFLy,399.408
FIREFLy,400.147
FIREFLy,405.375
FIREFLy,397.339
FIREFLy,400.254
FIREFLy,400.483
FIREFLy,404.805
FIREFLy,401.94
FIREFLy,404.652
FIREFLy,395.953
FIREFLy,387.414
FIREFLy,408.031
FIREFLy,390.173
FIREFLy,406.371
FIREFLy,405.13
FIREFLy,400.427
FIREFLy,405.937
FIREFLy,399.994
FIREFLy,408.85
FIREFLy,404.67
FIREFLy,400.384
FIREFLy,405.058
FIREFLy,400.269
FIREFLy,400.951
FIREFLy,406.189
FIREFLy,405.42
FIREFLy,395.66
FIREFLy,388.562
FIREFLy,403.96
FIREFLy,391.834
FIREFLy,402.993
FIREFLy,388.179
FIREFLy,396.361
FIREFLy,406.291
FIREFLy,405.144
FIREFLy,397.398
FIREFLy,409.926
FIREFLy,396.327
FIREFLy,407.403
FIREFLy,399.162
FIREFLy,401.651
FIREFLy,410.329
FIREFLy,390.95
FIREFLy,402.842
FIREFLy,400.312
FIREFLy,401.379
FIREFLy,402.631
FIREFLy,408.815
FIREFLy,403.559
FIREFLy,409.73
FIREFLy,413.287
FIREFLy,410.446
FIREFLy,400.837
FIREFLy,385.164
FIREFLy,402.964
FIREFLy,390.715
FIREFLy,401.445
FIREFLy,395.896
FIREFLy,400.995
FIREFLy,409.608
FIREFLy,409.829
FIREFLy,396.139
FIREFLy,396.36
FIREFLy,398.95
FIREFLy,403.283
FIREFLy,402.335
FIREFLy,410.789
FIREFLy,383.235
FIREFLy,401.965
FIREFLy,396.532
FIREFLy,408.698
FIREFLy,407.509
FIREFLy,404.721
FIREFLy,385.326
FIREFLy,402.429
FIREFLy,401.301
FIREFLy,411.03
FIREFLy,404.051
FIREFLy,408.096
FIREFLy,408.968
FIREFLy,392.7
FIREFLy,403.556
FIREFLy,393.472
FIREFLy,403.416
FIREFLy,394.761
FIREFLy,410.618
FIREFLy,408.238
FIREFLy,399.861
FIREFLy,388.458
FIREFLy,408.485
FIREFLy,404.68
FIREFLy,403.203
FIREFLy,401.35
FIREFLy,402.49
FIREFLy,400.902
FIREFLy,403.802
FIREFLy,401.912
FIREFLy,407.894
FIREFLy,406.101
FIREFLy,396.262
FIREFLy,407.613
FIREFLy,405.637
FIREFLy,400.388
FIREFLy,398.961
FIREFLy,406.082
FIREFLy,397.099
FIREFLy,399.314
FIREFLy,411.285
FIREFLy,398.525
FIREFLy,407.557
FIREFLy,406.373
FIREFLy,411.857
FIREFLy,392.819
FIREFLy,411.063
FIREFLy,398.884
FIREFLy,413.271
FIREFLy,387.843
FIREFLy,397.621
FIREFLy,399.958
FIREFLy,403.092
FIREFLy,400.754
FIREFLy,408.988
FIREFLy,408.197
FIREFLy,392.087
FIREFLy,402.826
FIREFLy,404.611
FIREFLy,395.219
FIREFLy,393.418
FIREFLy,408.242
FIREFLy,384.318
FIREFLy,406.834
FIREFLy,407.398
FIREFLy,404.335
FIREFLy,406.81
FIREFLy,409.546
FIREFLy,414.1
FIREFLy,404.618
FIREFLy,369.347
FIREFLy,408.11
FIREFLy,408.618
FIREFLy,398.278
FIREFLy,386.418
FIREFLy,405.087
FIREFLy,406.736
FIREFLy,392.55
FIREFLy,390.379
FIREFLy,400.341
FIREFLy,388.542
FIREFLy,391.132
FIREFLy,397.775
FIREFLy,391.634
FIREFLy,394.721
FIREFLy,403.629
FIREFLy,409.528
FIREFLy,408.578
FIREFLy,395.545
FIREFLy,405.92
FIREFLy,391.154
FIREFLy,407.604
FIREFLy,381.713
FIREFLy,412.994
FIREFLy,402.036
FIREFLy,400.454
FIREFLy,394.278
FIREFLy,404.399
FIREFLy,405.051
FIREFLy,403.668
FIREFLy,405.812
FIREFLy,403.714
FIREFLy,407.639
FIREFLy,406.792
FIREFLy,405.885
FIREFLy,407.498
FIREFLy,402.584
FIREFLy,403.973
FIREFLy,405.978
FIREFLy,391.634
FIREFLy,407.4
FIREFLy,398.907
FIREFLy,403.602
FIREFLy,409.785
FIREFLy,405.444
FIREFLy,406.891
FIREFLy,409.274
FIREFLy,404.542
FIREFLy,388.649
FIREFLy,404.996
FIREFLy,394.433
FIREFLy,395.365
FIREFLy,402.016
FIREFLy,397.336
FIREFLy,412.44
FIREFLy,401.064
FIREFLy,411.116
FIREFLy,407.714
FIREFLy,391.808
FIREFLy,377.792
FIREFLy,405.053
FIREFLy,394.694
FIREFLy,409.69
FIREFLy,409.524
FIREFLy,401.843
FIREFLy,406.602
FIREFLy,374.691
FIREFLy,388.487
FIREFLy,404.721
FIREFLy,351.54
FIREFLy,385.289
FIREFLy,406.24
FIREFLy,406.77
FIREFLy,404.7
FIREFLy,410.703
FIREFLy,400.968
FIREFLy,402.665
FIREFLy,398.466
FIREFLy,415.484
FIREFLy,407.532
FIREFLy,406.892
FIREFLy,393.737
FIREFLy,403.117
FIREFLy,398.983
FIREFLy,401.231
FIREFLy,387.943
FIREFLy,406.946
FIREFLy,400.645
FIREFLy,404.153
FIREFLy,397.184
FIREFLy,401.349
FIREFLy,403.556
FIREFLy,391.048
FIREFLy,399.768
FIREFLy,403.409
FIREFLy,413.782
FIREFLy,399.334
FIREFLy,401.481
FIREFLy,397.468
FIREFLy,398.36
FIREFLy,409.651
FIREFLy,408.349
FIREFLy,409.507
FIREFLy,384.783
FIREFLy,398.031
FIREFLy,403.799
FIREFLy,401.747
FIREFLy,408.611
FIREFLy,407.556
FIREFLy,404.138
FIREFLy,399.995
FIREFLy,405.09
FIREFLy,393.433
FIREFLy,397.115
FIREFLy,408.09
FIREFLy,407.696
FIREFLy,399.024
FIREFLy,398.874
FIREFLy,396.178
FIREFLy,392.688
FIREFLy,391.022
FIREFLy,390.02
FIREFLy,407.4
FIREFLy,407.848
FIREFLy,385.815
FIREFLy,390.113
FIREFLy,396.611
FIREFLy,401.086
FIREFLy,414.107
FIREFLy,391.953
FIREFLy,404.596
FIREFLy,405.364
FIREFLy,397.95
FIREFLy,408.434
FIREFLy,405.018
FIREFLy,410.271
FIREFLy,405.335
FIREFLy,400.407
FIREFLy,410.143
FIREFLy,394.235
FIREFLy,398.509
FIREFLy,389.481
FIREFLy,404.116
FIREFLy,405.508
FIREFLy,402.997
