pipeline,wl_um,half_width_um,profundidad_pct,profundidad_err_pct
FIREFLy,0.55768,0.00513,56.4043,0.3283
FIREFLy,0.56832,0.00542,55.9757,0.2375
FIREFLy,0.57959,0.00574,55.8272,0.2268
FIREFLy,0.59151,0.00608,55.9034,0.2204
FIREFLy,0.60417,0.00645,55.9036,0.1742
FIREFLy,0.61761,0.00686,55.7995,0.1725
FIREFLy,0.63194,0.00732,55.8442,0.1627
FIREFLy,0.64723,0.00782,55.8895,0.1363
FIREFLy,0.66359,0.00837,55.9195,0.1279
FIREFLy,0.68112,0.00897,55.874,0.1166
FIREFLy,0.69994,0.00964,55.8209,0.1018
FIREFLy,0.72017,0.01038,55.8116,0.0988
FIREFLy,0.74199,0.01119,55.9072,0.0891
FIREFLy,0.76554,0.01209,55.857,0.0913
FIREFLy,0.79101,0.01307,55.9374,0.083
FIREFLy,0.81858,0.01416,55.7455,0.0871
FIREFLy,0.84844,0.01534,55.8836,0.0812
FIREFLy,0.8808,0.01661,55.8811,0.0766
FIREFLy,0.91582,0.01798,55.8235,0.0756
FIREFLy,0.95368,0.01941,55.8291,0.0733
FIREFLy,0.99447,0.02089,55.8667,0.0697
FIREFLy,1.03825,0.02239,55.7101,0.0668
FIREFLy,1.08499,0.02385,55.8687,0.0619
FIREFLy,1.13458,0.02524,55.6866,0.0634
FIREFLy,1.18679,0.02651,55.8264,0.0565
FIREFLy,1.24131,0.02761,55.6753,0.0585
FIREFLy,1.29779,0.02852,55.7551,0.0584
FIREFLy,1.3558,0.02921,55.7357,0.0572
FIREFLy,1.41492,0.0297,55.622,0.0664
FIREFLy,1.47476,0.03,55.7375,0.0661
FIREFLy,1.53495,0.03012,55.649,0.0659
FIREFLy,1.59517,0.03009,55.8532,0.0724
FIREFLy,1.65517,0.02994,55.7384,0.0699
FIREFLy,1.71473,0.02969,55.8786,0.0733
FIREFLy,1.77369,0.02937,55.7391,0.0799
FIREFLy,1.83195,0.029,55.8562,0.0981
FIREFLy,1.8894,0.02859,55.7314,0.088
FIREFLy,1.946,0.02815,55.7978,0.1005
FIREFLy,2.00171,0.02771,55.7148,0.0913
FIREFLy,2.05652,0.02725,55.4522,0.1038
FIREFLy,2.11041,0.02679,55.8355,0.1087
FIREFLy,2.1634,0.02634,55.7784,0.1091
FIREFLy,2.21549,0.0259,55.6929,0.1146
FIREFLy,2.2667,0.02546,55.673,0.1175
FIREFLy,2.31706,0.02504,55.9108,0.115
FIREFLy,2.36658,0.02462,55.8939,0.1176
FIREFLy,2.41528,0.02422,55.6333,0.1103
FIREFLy,2.4632,0.02383,55.691,0.1331
FIREFLy,2.51036,0.02345,55.6509,0.1262
FIREFLy,2.55678,0.02309,55.9178,0.1318
FIREFLy,2.60249,0.02274,55.7146,0.1454
FIREFLy,2.6475,0.0224,55.5908,0.1411
FIREFLy,2.69186,0.02207,55.67,0.1401
FIREFLy,2.73557,0.02175,55.6575,0.1516
FIREFLy,2.77866,0.02144,55.784,0.1656
FIREFLy,2.82115,0.02115,55.542,0.1644
FIREFLy,2.86306,0.02086,55.9685,0.1717
FIREFLy,2.90441,0.02058,55.4197,0.1571
FIREFLy,2.94522,0.02031,55.6592,0.1848
FIREFLy,2.9855,0.02006,55.688,0.1827
FIREFLy,3.02527,0.0198,55.8597,0.1995
FIREFLy,3.06456,0.01956,55.8353,0.1841
FIREFLy,3.10337,0.01933,55.5703,0.1804
FIREFLy,3.14171,0.0191,55.6934,0.2071
FIREFLy,3.17961,0.01888,55.3683,0.2027
FIREFLy,3.21708,0.01866,55.9749,0.2232
FIREFLy,3.25412,0.01845,55.8572,0.2125
FIREFLy,3.29076,0.01825,55.7458,0.2088
FIREFLy,3.327,0.01806,55.7681,0.193
FIREFLy,3.36286,0.01786,55.9442,0.2183
FIREFLy,3.39834,0.01768,55.9644,0.2189
FIREFLy,3.43345,0.0175,56.2051,0.2286
FIREFLy,3.46821,0.01732,56.0816,0.216
FIREFLy,3.50263,0.01715,55.8365,0.2178
FIREFLy,3.53671,0.01699,55.9514,0.2174
FIREFLy,3.57046,0.01682,55.6485,0.2525
FIREFLy,3.6039,0.01666,55.907,0.2557
FIREFLy,3.63702,0.01651,55.5786,0.2646
FIREFLy,3.66984,0.01636,55.6952,0.2586
FIREFLy,3.70236,0.01621,55.6513,0.2782
FIREFLy,3.7346,0.01607,55.1807,0.247
FIREFLy,3.76655,0.01593,55.2934,0.2795
FIREFLy,3.79823,0.01579,55.4215,0.2808
FIREFLy,3.82964,0.01566,55.577,0.2719
FIREFLy,3.86078,0.01553,55.1465,0.2869
FIREFLy,3.89167,0.0154,55.3549,0.2956
FIREFLy,3.92231,0.01528,55.8093,0.29
FIREFLy,3.9527,0.01516,55.2836,0.2954
FIREFLy,3.98285,0.01504,54.8048,0.2973
FIREFLy,4.01277,0.01492,55.4257,0.2895
FIREFLy,4.04246,0.01481,54.7597,0.301
FIREFLy,4.07192,0.01469,55.0237,0.2962
FIREFLy,4.10116,0.01458,55.0627,0.331
FIREFLy,4.13018,0.01448,55.2185,0.2939
FIREFLy,4.15899,0.01437,54.798,0.3154
FIREFLy,4.18759,0.01427,54.5284,0.3386
FIREFLy,4.21599,0.01417,54.7422,0.3443
