zygote_type,pronucleus,volume_um3
2PN,maternal_PN,3385.8
2PN,paternal_PN,4634.42
2PN,total_combined,8020.22
1PN,biparental_PN,6847.9
2PN,maternal_PN,2684.9
2PN,paternal_PN,5503.92
2PN,total_combined,8188.82
1PN,biparental_PN,8655.35
2PN,maternal_PN,1788.46
2PN,paternal_PN,4449.12
2PN,total_combined,6237.58
1PN,biparental_PN,7264.12
2PN,maternal_PN,3764.79
2PN,paternal_PN,4470.13
2PN,total_combined,8234.92
1PN,biparental_PN,8481.3
2PN,maternal_PN,3781.88
2PN,paternal_PN,4936.53
2PN,total_combined,8718.41
1PN,biparental_PN,8814.54
2PN,maternal_PN,3995.37
2PN,paternal_PN,4876.52
2PN,total_combined,8871.89
1PN,biparental_PN,8005.6
2PN,maternal_PN,3778.99
2PN,paternal_PN,4125.71
2PN,total_combined,7904.7
1PN,biparental_PN,7575.8
2PN,maternal_PN,2756.09
2PN,paternal_PN,6255.36
2PN,total_combined,9011.45
1PN,biparental_PN,9812.98
2PN,maternal_PN,3215.74
2PN,paternal_PN,3836.84
2PN,total_combined,7052.58
1PN,biparental_PN,7278.41
2PN,maternal_PN,3264.79
2PN,paternal_PN,4648.77
2PN,total_combined,7913.56
1PN,biparental_PN,7334.9
2PN,maternal_PN,2917.52
2PN,paternal_PN,4693.11
2PN,total_combined,7610.63
1PN,biparental_PN,8200.2
2PN,maternal_PN,3955.39
2PN,paternal_PN,4546.61
2PN,total_combined,8502
1PN,biparental_PN,7377.68
2PN,maternal_PN,3319.23
2PN,paternal_PN,5158.55
2PN,total_combined,8477.78
1PN,biparental_PN,7832.25
2PN,maternal_PN,1896.81
2PN,paternal_PN,4706.73
2PN,total_combined,6603.54
1PN,biparental_PN,8034.43
2PN,maternal_PN,2811.92
2PN,paternal_PN,5413.07
2PN,total_combined,8224.99
1PN,biparental_PN,6465.58
2PN,maternal_PN,1314.67
2PN,paternal_PN,4561.56
2PN,total_combined,5876.23
1PN,biparental_PN,7613.3
2PN,maternal_PN,2468.61
2PN,paternal_PN,5516.21
2PN,total_combined,7984.82
1PN,biparental_PN,6688.78
2PN,maternal_PN,3743.84
2PN,paternal_PN,5808.45
2PN,total_combined,9552.29
1PN,biparental_PN,6677.11
2PN,maternal_PN,4822.59
2PN,paternal_PN,3982.79
2PN,total_combined,8805.38
1PN,biparental_PN,6072.93
2PN,maternal_PN,3410.26
2PN,paternal_PN,4251.05
2PN,total_combined,7661.31
1PN,biparental_PN,6729.03
2PN,maternal_PN,2263.9
2PN,paternal_PN,4234.89
2PN,total_combined,6498.79
1PN,biparental_PN,7291.82
2PN,maternal_PN,2709.48
2PN,paternal_PN,3288.41
2PN,total_combined,5997.89
1PN,biparental_PN,6236.85
2PN,maternal_PN,1639.5
2PN,paternal_PN,3937.07
2PN,total_combined,5576.57
1PN,biparental_PN,8423.83
2PN,maternal_PN,2938.55
2PN,paternal_PN,4692.52
2PN,total_combined,7631.07
1PN,biparental_PN,6231.02
2PN,maternal_PN,1872.52
2PN,paternal_PN,4298.79
2PN,total_combined,6171.31
1PN,biparental_PN,7662.85
2PN,maternal_PN,1178.34
2PN,paternal_PN,3301.14
2PN,total_combined,4479.48
1PN,biparental_PN,6122.13
2PN,maternal_PN,1981.46
2PN,paternal_PN,4056.1
2PN,total_combined,6037.56
1PN,biparental_PN,6995.51
2PN,maternal_PN,2418.63
2PN,paternal_PN,3474.14
2PN,total_combined,5892.77
1PN,biparental_PN,6743.99
2PN,maternal_PN,2108.82
2PN,paternal_PN,4246.66
2PN,total_combined,6355.48
1PN,biparental_PN,6497.86
2PN,maternal_PN,1588.58
2PN,paternal_PN,3653.34
2PN,total_combined,5241.92
2PN,maternal_PN,1588.3
2PN,paternal_PN,3422.76
2PN,total_combined,5011.06
2PN,maternal_PN,2132.56
2PN,paternal_PN,3882.68
2PN,total_combined,6015.24
2PN,maternal_PN,2286.65
2PN,paternal_PN,4101.51
2PN,total_combined,6388.16
2PN,maternal_PN,1847.83
2PN,paternal_PN,3377.4
2PN,total_combined,5225.23
2PN,maternal_PN,1058.61
2PN,paternal_PN,3183.85
2PN,total_combined,4242.46
2PN,maternal_PN,1498.12
2PN,paternal_PN,3381.63
2PN,total_combined,4879.75
2PN,maternal_PN,2714.26
2PN,paternal_PN,4771.01
2PN,total_combined,7485.27
2PN,maternal_PN,1273.08
2PN,paternal_PN,2368.25
2PN,total_combined,3641.33
2PN,maternal_PN,2439.72
2PN,paternal_PN,4060.3
2PN,total_combined,6500.02
2PN,maternal_PN,2520.36
2PN,paternal_PN,4608.99
2PN,total_combined,7129.35
2PN,maternal_PN,2662.27
2PN,paternal_PN,4101.9
2PN,total_combined,6764.17
2PN,maternal_PN,2307.96
2PN,paternal_PN,4720.07
2PN,total_combined,7028.03
2PN,maternal_PN,1773.15
2PN,paternal_PN,3901.59
2PN,total_combined,5674.74
2PN,maternal_PN,1655.56
2PN,paternal_PN,4038.74
2PN,total_combined,5694.3
2PN,maternal_PN,1895.33
2PN,paternal_PN,4776.51
2PN,total_combined,6671.84
2PN,maternal_PN,2517.85
2PN,paternal_PN,3515.4
2PN,total_combined,6033.25
2PN,maternal_PN,2239.19
2PN,paternal_PN,6053.82
2PN,total_combined,8293.01
