year,west,central_east,total,n_clusters
1998,18,21,39,3
1999,20,23,43,3
2000,25,26,51,2
2001,23,24,47,2
2002,15,30,45,3
2003,25,31,56,3
2004,30,33,63,3
2005,30,42,72,4
2006,39,32,71,2
2007,35,31,66,3
2008,37,36,73,3
2009,27,41,68,3
2010,41,49,90,4
2011,48,52,100,4
2012,31,60,91,3
2013,20,64,84,4
2014,24,61,85,3
2015,32,65,97,3
2016,40,48,88,2
2017,41,69,110,6
2018,39,55,94,4
2019,47,77,124,2
2020,47,77,124,2
2021,43,46,89,2
2022,27,51,78,4
