year,cluster,region_name,n_individuals,all_members
1998,2,Central1,9,"AyeAye, Bartok, Dexter, Elvin, Grapelli, Mingus, Morton, Parker, Wynton"
1998,0,West,18,"Basie, Bessie, Coltrane, Corea, Ellington, Garrison, Getz, Hare, Lita, Mweya, Mzee, Ornette, Pincer, Rahsaan, Rollins, Rude, Stravinsky, Tatum"
1998,1,Central2,12,"Berg, Betty, Brownface, Brubeck, Carmen, Dizzy, Dolphy, Hodge, Lofty, Miles, Monk, Tyner"
1999,2,Central,11,"Bartok, Brubeck, Corea, Dolphy, Getz, Miles, Mweya, Parker, Pincer, Rahsaan, Webster"
1999,1,East,12,"AyeAye, Berg, Dexter, Dizzy, Ellington, Elvin, Fleming, Hare, Hodge, Lofty, Mingus, Tyner"
1999,0,West,20,"Bartoli, Basie, Branford, Brownface, Coltrane, Fitzgerald, Garrison, Grapelli, Monk, Morton, Mzee, Ornette, Richmond, Rollins, Rude, Stravinsky, Susanna, Tatum, Waller, Wynton"
2000,0,Central-East,26,"Aretha, AyeAye, Bartok, Basie, Berg, Cecilia, Corea, Dexter, Dizzy, Dolphy, Ellington, Getz, Hare, Hodge, Kanawa, Lofty, Miles, Mingus, Morton, Mweya, Parker, Rude, Stravinsky, Sutherland, Tyner, Webster"
2000,1,West,25,"Bessie, Branford, Brownface, Brubeck, Brunhilde, Carson, Coltrane, Dani, Elvin, Fleming, Garrison, Grapelli, Jackson, Jessye, Lady Day, Ma Rainey, Monk, Ornette, Pincer, Rahsaan, Richmond, Rollins, Tatum, Waller, Wynton"
2001,0,Central,24,"AyeAye, Bartok, Basie, Berg, Brubeck, Corea, Dolphy, Ellington, Elvin, Getz, Hare, Hodge, Jolie, Lofty, Miles, Morton, Mweya, Parker, Rude, Senta, Sills, Sutherland, Tyner, Webster"
2001,1,West,23,"Bessie, Branford, Brownface, Brunhilde, Carter, Cecilia, Dexter, Dizzy, Fitzgerald, Garrison, Grapelli, Mingus, Monk, Ornette, Pincer, Rahsaan, Richmond, Rollins, Salome, Stravinsky, Tatum, Waller, Wynton"
2002,0,Central-East,19,"Bartok, Bessie, Brubeck, Dani, Dexter, Dizzy, Ellington, Hare, Hodge, Jolie, Lofty, Merrill, Mingus, Monk, Morton, Mulligan, Porkpie, Sills, Tyner"
2002,2,Central,11,"AyeAye, Basie, Berg, Carter, Dolphy, Ellen, Getz, Miles, Mweya, Parker, Rude"
2002,1,West,15,"Branford, Brownface, Corea, Garrison, Grapelli, Ornette, Pincer, Rahsaan, Richmond, Rollins, Satchmo, Stravinsky, Tatum, Waller, Webster"
2003,2,Central,10,"Bartok, Basie, Dolphy, Evans, Hodge, Leonora, Marlene, Monk, Parker, Porkpie"
2003,1,Central-East,21,"AyeAye, Berg, Branford, Brunhilde, Carter, Corea, Dexter, Dizzy, Fitzgerald, Garett, Getz, Hare, Jolie, Lofty, Mingus, Mulligan, Mweya, Ornette, Sills, Tyner, Waller"
2003,0,West,25,"Bessie, Brownface, Brubeck, Fiona, Garbo, Garrison, Herbie, Isolde, Lady Day, Ma Rainey, Miles, Morton, Penelope, Pincer, Rahsaan, Richmond, Rollins, Rusalka, Satchmo, Senta, Stravinsky, Swank, Tatum, Tosca, Webster"
2004,1,East,21,"AyeAye, Basie, Berg, Brubeck, Cash, Dexter, Dizzy, Dolphy, Getz, Hodge, Kidman, Leonora, Lofty, Merrill, Mingus, Mulligan, Parker, Rusalka, Salome, Southpaw, Webster"
2004,0,West-Central,30,"Bartok, Bartoli, Branford, Brownface, Carter, Fleming, Garett, Garrison, Hare, Herbie, Jackson, Jolie, Lady Day, Ma Rainey, Monk, Morton, Mweya, Ornette, Penelope, Peterson, Pincer, Porkpie, Rahsaan, Richmond, Rollins, Sarah, Satchmo, Taylor, Thornton, Waller"
2004,2,Central2,12,"Aretha, Ava, Bessie, Brunhilde, Callas, Carmen, Corea, Garbo, Marlene, Miles, Stravinsky, Tatum"
2005,2,Central,18,"Bartok, Bartoli, Bessie, Corea, Django, Dolphy, Erroll, Fitzgerald, Hare, Leonora, Marlene, Miles, Morton, Mweya, Peterson, Porkpie, Stravinsky, Tosca"
2005,1,East,24,"AyeAye, Berg, Brunhilde, Carter, Cash, Dexter, Dizzy, Evans, Fiona, Garett, Getz, Halle, Hicks, Hodge, Kidman, Lofty, Mingus, Monk, Mulligan, Parker, Southpaw, Sutherland, Webster, Wes"
2005,0,West,28,"Bacall, Basie, Binoche, Branford, Brownface, Brubeck, Fleming, Garbo, Garrison, Herbie, Hutcherson, Ingrid, Jackson, Jolie, Lady Day, Ma Rainey, Ornette, Penelope, Pincer, Rahsaan, Richmond, Rollins, Rusalka, Satchmo, Tatum, Taylor, Waller, Wayne"
2005,3,West-Cecilia,2,"Benny, Cecilia"
2006,1,Central-East,32,"Aretha, AyeAye, Barron, Bartok, Brunhilde, Cash, Corea, Dizzy, Django, Dolphy, Evans, Fitzgerald, Garett, Getz, Hare, Hawkins, Hicks, Hodge, Leonora, Lofty, Marlene, Mingus, Morton, Mulligan, Mweya, Ornette, Porkpie, Sigourney, Sills, Southpaw, Sutherland, Webster"
2006,0,West-Central,39,"Anna, Bacall, Basie, Benny, Berg, Bessie, Binoche, Brownface, Brubeck, Carter, Cecilia, Dahlia, Dexter, Fleming, Garbo, Garrison, Herbie, Hutcherson, Jackson, Jolie, Lady Day, Ma Rainey, Miles, Monk, Parker, Penelope, Peterson, Pincer, Rahsaan, Richmond, Rollins, Rusalka, Satchmo, Senta, Swank, Tatum, Thornton, Wayne, Wes"
2007,1,Central,19,"Bartok, Booker, Dahlia, Django, Evans, Fiona, Garett, Getz, Hare, Jackson, Jolie, Marlene, Monk, Morton, Mweya, Porkpie, Scarlet, Sills, Taylor"
2007,2,East,12,"Cash, Dexter, Dizzy, Dolphy, Hawkins, Hicks, Hodge, Lofty, Lovano, Mingus, Mulligan, Webster"
2007,0,West,35,"Aretha, Bacall, Basie, Berg, Bessie, Binoche, Brownface, Brubeck, Carmen, Carter, Corea, Ellen, Fleming, Garbo, Garrison, Herbie, Hutcherson, Ingrid, Miles, Ornette, Parker, Penelope, Peterson, Pincer, Quinton, Rahsaan, Richmond, Rollins, Rusalka, Satchmo, Sutherland, Swank, Tatum, Wayne, Wes"
2008,2,Central,15,"Bartok, Basie, Berg, Bessie, Django, Erroll, Garett, Hare, Jackson, Jolie, Leonora, Mweya, Parker, Porkpie, Sutherland"
2008,1,East,21,"Carmen, Cash, Corea, Dexter, Dizzy, Dolphy, Evans, Fiona, Hawkins, Hicks, Hodge, Lofty, Marlene, Mingus, Monk, Mulligan, Pizan, Sills, Southpaw, Webster, Wilson"
2008,0,West-Central,37,"Abrams, Amelia, Anna, Aretha, Bacall, Barron, Binoche, Bronte, Brownface, Brubeck, Callas, Carter, Cecilia, Dahlia, Fleming, Garrison, Herbie, Hutcherson, Ingrid, Kanawa, Kundry, Lady Day, Ma Rainey, Miles, Morton, Ornette, Penelope, Peterson, Pincer, Rahsaan, Richmond, Rollins, Satchmo, Sigourney, Tatum, Wayne, Wes"
2009,1,East,25,"Anderson, Bartok, Bosko, Brubeck, Cash, Dexter, Dolphy, Evans, Fiona, Hawkins, Hicks, Julianne, Lofty, Lucy, Marlene, Mingus, Mitchell, Monk, Mulligan, Mweya, Ornette, Porkpie, Sills, Southpaw, Wilson"
2009,2,Central,16,"Aretha, Bessie, Bronte, Dizzy, Django, Erroll, Hare, Harper, Leonora, Miles, Morton, Natalie, Renee, Taylor, Wangari, Webster"
