year,n_active,n_edges,density,avg_degree
1998,39,463,0.0194,23.74
1999,43,769,0.0322,35.77
2000,51,755,0.0316,29.61
2001,47,723,0.0303,30.77
2002,45,751,0.0315,33.38
2003,56,709,0.0297,25.32
2004,63,925,0.0387,29.37
2005,72,1146,0.048,31.83
2006,71,1141,0.0478,32.14
2007,66,757,0.0317,22.94
2008,73,1024,0.0429,28.05
2009,68,1041,0.0436,30.62
2010,90,1240,0.0519,27.56
2011,100,1550,0.0649,31.0
2012,91,1484,0.0622,32.62
2013,84,1356,0.0568,32.29
2014,85,1355,0.0568,31.88
2015,97,1031,0.0432,21.26
2016,88,896,0.0375,20.36
2017,110,1101,0.0461,20.02
2018,94,817,0.0342,17.38
2019,124,957,0.0401,15.44
2021,89,581,0.0243,13.06
2022,78,450,0.0189,11.54
