dia,n_media,n_sd,n_espectros,B_mT,n_entero
0,91.639,0.459,177,993,92
1,91.621,0.445,69,993,92
2,92.224,0.312,188,136,92
3,92.166,0.327,49,136,92
4,92.018,0.417,250,136,92
5,92.019,0.425,205,136,92
6,91.963,0.35,272,136,92
7,91.957,0.492,365,880,92
8,91.929,0.447,232,880,92
9,92.198,0.327,358,136,92
10,92.024,0.313,362,136,92
11,91.96,0.327,303,136,92
12,91.993,0.304,364,136,92
13,91.993,0.813,151,136,92
14,91.946,0.398,362,136,92
15,91.946,0.3,342,136,92
16,91.919,0.372,159,136,92
17,91.756,0.35,357,136,92
18,91.732,0.568,361,136,92
19,91.841,0.374,361,136,92
20,91.793,0.46,360,136,92
21,92.001,0.576,346,136,92
22,92.159,0.349,334,136,92
23,91.557,0.739,322,993,92
24,91.643,0.5,238,993,92
25,91.969,0.665,344,993,92
26,90.953,1.015,104,993,91
27,89.845,0.429,52,993,90
28,91.185,0.334,255,993,91
29,91.265,0.399,362,993,91
30,91.119,0.349,361,993,91
31,91.043,0.5,262,993,91
32,91.093,0.627,241,993,91
