com_um,rendimiento,rendimiento_err
-165.081,0.0012,0.0256
-165.081,-0.0017,0.0234
-134.942,-0.0001,0.0237
-108.206,0.0086,0.0232
-81.545,0.0514,0.0232
-51.628,0.1775,0.0229
-24.874,0.3356,0.0221
2.657,0.4758,0.0227
30.199,0.7486,0.0214
57.738,0.8557,0.0211
85.264,0.9442,0.0203
99.019,0.9674,0.0203
112.767,0.9789,0.0204
126.506,0.9895,0.0202
