t_dias,n_antiprotones,B_mT
0.347,90.408,993
0.351,91.345,993
0.356,91.227,993
0.36,92.507,993
0.364,92.404,993
0.369,92.921,993
0.373,92.55,993
0.378,92.87,993
0.382,93.089,993
0.386,91.971,993
0.391,91.533,993
0.395,91.901,993
0.399,92.896,993
0.404,92.088,993
0.409,91.607,993
0.414,91.616,993
0.418,91.593,993
0.422,91.608,993
0.427,90.969,993
0.431,91.384,993
0.435,91.409,993
0.44,91.368,993
0.444,91.667,993
0.449,91.746,993
0.453,91.462,993
0.457,91.538,993
0.488,91.885,993
0.504,91.591,993
0.507,92.171,993
0.51,93.276,993
0.514,92.765,993
0.517,91.96,993
0.52,91.952,993
0.523,92.003,993
0.526,92.512,993
0.531,92.155,993
0.533,91.991,993
0.535,90.74,993
0.539,91.629,993
0.544,92.147,993
0.548,91.762,993
0.553,91.183,993
0.557,91.597,993
0.56,91.833,993
0.564,92.002,993
0.568,92.185,993
0.571,91.792,993
0.574,91.942,993
0.577,92.083,993
0.58,92.22,993
0.584,91.735,993
0.587,91.591,993
0.59,91.64,993
0.594,91.862,993
0.597,91.376,993
0.601,91.557,993
0.604,91.994,993
0.607,91.268,993
0.611,91.224,993
0.614,91.399,993
0.617,91.812,993
0.62,91.955,993
0.623,92.049,993
0.627,92.457,993
0.63,91.893,993
0.633,91.347,993
0.637,91.073,993
0.639,91.828,993
0.643,91.31,993
0.646,91.15,993
0.649,91.639,993
0.653,91.645,993
0.656,91.495,993
0.659,91.473,993
0.662,91.648,993
0.666,91.538,993
0.669,91.609,993
0.672,91.532,993
0.676,91.266,993
0.678,91.328,993
0.682,91.533,993
0.685,91.4,993
0.688,91.431,993
0.692,90.92,993
0.694,91.728,993
0.699,91.81,993
0.702,91.287,993
0.705,91.374,993
0.709,91.512,993
0.712,91.216,993
0.716,91.286,993
0.719,91.66,993
0.723,91.408,993
0.726,91.357,993
0.729,91.934,993
0.732,91.279,993
0.736,90.902,993
0.739,91.03,993
0.742,92.141,993
0.745,91.757,993
0.748,92.013,993
0.752,91.899,993
0.755,91.146,993
0.758,91.411,993
0.762,91.282,993
0.765,91.779,993
0.769,91.587,993
0.772,90.711,993
0.775,91.832,993
0.779,91.381,993
0.782,91.011,993
0.785,92.228,993
0.789,91.721,993
0.792,91.712,993
0.795,91.1,993
0.799,91.573,993
0.802,91.675,993
0.805,92.182,993
0.809,91.386,993
0.812,91.165,993
0.815,91.655,993
0.818,91.202,993
0.822,91.605,993
0.825,91.172,993
0.828,91.654,993
0.832,91.341,993
0.834,91.093,993
0.838,91.82,993
0.841,91.934,993
0.844,91.317,993
0.848,91.085,993
0.851,91.601,993
0.854,91.125,993
0.857,91.796,993
0.86,91.323,993
0.864,91.409,993
0.867,91.513,993
0.87,91.367,993
0.873,91.04,993
0.877,91.487,993
0.881,92.375,993
0.884,91.058,993
0.887,92.061,993
0.891,91.617,993
0.894,92.306,993
0.897,91.256,993
0.9,91.793,993
0.903,92.125,993
0.907,91.658,993
0.91,91.117,993
0.913,91.341,993
0.916,91.725,993
0.919,91.72,993
0.923,91.243,993
0.926,92.07,993
0.929,90.927,993
0.933,91.857,993
0.935,91.929,993
0.939,91.129,993
0.942,91.344,993
0.945,91.817,993
0.949,91.553,993
0.952,91.602,993
0.955,91.369,993
0.958,90.778,993
0.962,91.349,993
0.965,91.432,993
0.968,91.963,993
0.972,91.857,993
0.974,92.134,993
0.978,91.211,993
0.981,92.017,993
0.984,91.695,993
0.988,91.928,993
0.99,91.569,993
0.994,90.98,993
0.997,91.207,993
1.0,91.66,993
1.004,91.597,993
1.007,91.3,993
1.01,91.085,993
1.013,91.753,993
1.016,91.701,993
1.02,91.356,993
1.023,91.126,993
1.026,91.652,993
1.029,91.496,993
1.032,91.378,993
1.036,91.885,993
1.039,91.651,993
1.042,91.617,993
1.046,91.203,993
1.048,91.829,993
1.052,91.373,993
1.055,91.461,993
